#Data for spiral galaxies from Davis et al 2019ApJ...873...85D
#log10(MBH/Msun) errup errdn log10(Msph/Msun) err log10(Mstar/Msun) err log10(Mdisk/Msun) err
  6.25 0.12  0.10          10.12 0.20           10.62 0.18         10.46 0.19
  9.44 0.14  0.11          12.36 0.20           12.38 0.20         11.04 5.33
  7.26 0.04  0.03          9.89 0.11            11.03 0.10         10.99 0.10
  6.49 0.21  0.19          9.63 0.39            10.66 0.37         10.61 0.37
  6.51 0.05  0.04          9.90 0.20            10.97 0.10         10.93 0.12
  6.60 0.02  0.02          9.96 0.05            10.78 0.10         10.71 0.11
  6.33 0.13  0.10          9.90 0.11            10.66 0.09         10.57 0.10
  8.15 0.11  0.22          10.11 0.09           10.88 0.10         10.81 0.10
  7.00 0.30  0.30          9.76 0.09            10.71 0.08         10.66 0.08
  6.75 0.08  0.08          10.27 0.24           10.78 0.18         10.62 0.21
  8.38 0.04  0.03          10.83 0.20           11.40 0.10         11.27 0.13
  7.71 0.14  0.19          9.42 0.25            10.30 0.17         10.24 0.17
  6.78 0.34  0.24          10.25 0.40           10.58 0.40         10.30 0.41
  8.03 0.11  0.11          10.57 0.20           11.25 0.18         11.14 0.18
  6.97 0.09  0.09          9.98 0.20            10.77 0.19         10.69 0.20
  7.54 0.25  0.17          00000   00000        10.09 0.22         10.09 0.22
  7.06 0.17  0.16          10.44 0.36           10.86 0.34         10.65 0.35
  8.23 0.08  0.07          10.23 0.13           10.73 0.12         10.56 0.13
  7.83 0.07  0.11          10.16 0.11           10.65 0.08         10.47 0.10
  6.38 0.13  0.11          9.92 0.25            10.68 0.18         10.60 0.20
  7.88 0.14  0.13          10.04 0.17           10.80 0.14         10.72 0.15
  6.89 0.10  0.08          9.81 0.10            10.69 0.09         10.63 0.09
  7.49 0.16  0.05          10.23 0.12           11.00 0.10         10.92 0.10
  6.95 0.05  0.05          9.74 0.20            10.78 0.10         10.73 0.10
  7.68 0.58  0.15          10.27 0.15           10.62 0.14         10.36 0.16
  7.60 0.01  0.01          10.05 0.18           10.72 0.09         10.62 0.10
  6.58 0.26  0.07          9.42 0.10            10.48 0.09         10.44 0.09
  6.90 0.11  0.11          10.07 0.22           10.44 0.22         10.20 0.24
  5.64 0.12  0.22          00000 00000          9.45 0.08          9.45 0.08
  7.13 0.08  0.08          10.11 0.16           10.67 0.08         10.53 0.11
  8.81 0.03  0.03          10.81 0.20           11.03 0.14         10.63 0.40
  8.34 0.10  0.10          11.12 0.26           11.29 0.23         10.79 0.58
  6.78 0.11  0.09          9.89 0.09            10.37 0.08         10.19 0.09
  6.07 0.16  0.14          9.55 0.22            10.41 0.21         10.35 0.21
  6.15 0.30 0.30           9.39 0.19            10.52 0.09         10.48 0.09
  8.94 0.11  0.09          10.49 0.11           10.81 0.10         10.52 0.15
  7.04 0.09  0.08          10.54 0.12           11.31 0.10         11.23 0.10
  7.72 0.05 0.05           10.04 0.13           11.11 0.12         11.07 0.12
  7.51 0.06 0.06           10.01 0.15           11.06 0.14         11.02 0.14
  7.02 0.14  0.13          9.86 0.31            11.04 0.28         11.01 0.28
  7.74 0.74  0.26          0000 00000           11.31 0.08         11.31 0.08
  7.67 0.08  0.09          10.15 0.20           10.77 0.11         10.65 0.14
  7.06 0.05 0.05           10.18 0.14           10.74 0.13         10.60 0.13
  7.41 0.04 0.03           10.35 0.14           11.26 0.11         11.20 0.12
