#data from elliptical and S0 galaxies from Sahu et al. 2019ApJ...876..155
#log10(MBH/Msun) err log10(Msph/Msun) err log10(Mgal/Msun) err
  9.59 0.06     11.70 0.12     11.70 0.12
  9.04 0.09     11.47 0.26     11.49 0.12
  8.34 0.13     10.43 0.33     10.76 0.12
  4.85 0.13     7.96 0.27      9.12 0.12
  8.92 0.10     10.57 0.26     11.07 0.12
  7.81 0.04     10.71 0.33     10.94 0.12
  8.90 0.20     11.84 0.26     11.88 0.12
  8.76 0.05     10.22 0.26     10.52 0.12
  9.65 0.08     11.46 0.27     11.52 0.12
  9.57 0.06     11.13 0.12     11.13 0.12
  10.23 0.05    11.82 0.12     11.82 0.12
  7.60 0.06     9.13 0.26      9.99 0.12
  8.76 0.10     11.03 0.26     11.28 0.12
  9.45 0.13     11.40 0.15     11.40 0.12
  8.26 0.11     10.11 0.33     10.36 0.12
  7.63 0.33     9.67 0.26      10.17 0.12
  8.65 0.18     9.94 0.25      10.26 0.12
  8.86 0.41     10.28 0.26     10.55 0.12
  6.84 0.08     9.89 0.26      10.60 0.12
  8.18 0.09     10.46 0.26     10.90 0.12
  7.84 0.17     9.91 0.26      10.18 0.12
  8.76 0.24     9.46 0.33      9.46 0.12
  8.67 0.04     10.70 0.26     11.04 0.12
  8.67 0.05     10.88 0.25     10.95 0.12
  7.28 0.35     9.77 0.26      10.23 0.12
  9.67 0.10     11.44 0.12     11.44 0.12
  7.15 0.18     9.87 0.26      10.15 0.12
  9.15 0.05     10.49 0.26     10.72 0.12
  7.36 0.15     9.97 0.28      11.06 0.12
  8.02 0.09     10.98 0.27     11.35 0.12
  9.00 0.40     10.85 0.26     11.38 0.12
  9.67 0.15     11.49 0.12     11.49 0.12
  9.86 0.14     11.44 0.12     11.44 0.12
  9.52 0.06     11.44 0.12     11.44 0.12
  8.83 0.06     10.86 0.26     11.23 0.12
  8.41 0.22     10.12 0.26     10.32 0.12
  9.57 0.16     11.52 0.26     11.52 0.12
  9.30 0.08     10.94 0.29     11.02 0.12
  8.57 0.23     11.46 0.12     11.46 0.12
  7.11 0.20     10.22 0.34     10.84 0.12
  7.00 0.30     9.40 0.26      10.19 0.12
