# (g-r) colour distributions of galaxies in NYU-VAGC SDSS catalogue
# (Blanton etal 2005), calculated by Juan Gonzalez (03/06/2009)
# in same way as shown for (u-r) distribution in Fig.9 of Juan's paper 
#
# Absolute magnitudes & colours calculated within Petrosian aperture. 
# Magnitude values are AB for H0=100. 
# Normalized probability distributions calculated using 1/Vmax weightings.
#
#      (g-r)     Prob Dist (Mr_Pet=-17.5)
    -0.025       0.015 
     0.025       0.013 
     0.075       0.023 
     0.125       0.078 
     0.175       0.260 
     0.225       0.542 
     0.275       1.147 
     0.325       2.283 
     0.375       2.924 
     0.425       3.137 
     0.475       2.560 
     0.525       1.784 
     0.575       1.382 
     0.625       0.958 
     0.675       1.289 
     0.725       1.083 
     0.775       0.325 
     0.825       0.118 
     0.875       0.017 
     0.925       0.000 
     0.975       0.004 
     1.025       0.007 
#      (g-r)     Prob Dist (Mr_Pet=-18.25)
    -0.025       0.005 
     0.025       0.013 
     0.075       0.010 
     0.125       0.044 
     0.175       0.108 
     0.225       0.267 
     0.275       0.722 
     0.325       1.449 
     0.375       2.478 
     0.425       2.889 
     0.475       2.642 
     0.525       1.939 
     0.575       1.463 
     0.625       1.148 
     0.675       1.516 
     0.725       2.132 
     0.775       0.854 
     0.825       0.199 
     0.875       0.045 
     0.925       0.012 
     0.975       0.003 
     1.025       0.008 
#      (g-r)     Prob Dist (Mr_Pet=-19.00)
    -0.025       0.003 
     0.025       0.003 
     0.075       0.009 
     0.125       0.023 
     0.175       0.043 
     0.225       0.097 
     0.275       0.250 
     0.325       0.714 
     0.375       1.366 
     0.425       2.185 
     0.475       2.328 
     0.525       2.256 
     0.575       1.744 
     0.625       1.582 
     0.675       1.667 
     0.725       2.968 
     0.775       2.276 
     0.825       0.367 
     0.875       0.068 
     0.925       0.011 
     0.975       0.006 
     1.025       0.009 
#      (g-r)     Prob Dist (Mr_Pet=-19.75)
    -0.025       0.000 
     0.025       0.000 
     0.075       0.004 
     0.125       0.000 
     0.175       0.004 
     0.225       0.036 
     0.275       0.078 
     0.325       0.160 
     0.375       0.535 
     0.425       0.995 
     0.475       1.601 
     0.525       1.769 
     0.575       2.072 
     0.625       1.797 
     0.675       1.879 
     0.725       3.170 
     0.775       4.383 
     0.825       1.209 
     0.875       0.200 
     0.925       0.043 
     0.975       0.043 
     1.025       0.004 
#      (g-r)     Prob Dist (Mr_Pet=-20.50)
    -0.025       0.000 
     0.025       0.000 
     0.075       0.000 
     0.125       0.006 
     0.175       0.000 
     0.225       0.000 
     0.275       0.023 
     0.325       0.023 
     0.375       0.110 
     0.425       0.366 
     0.475       0.703 
     0.525       1.115 
     0.575       1.858 
     0.625       2.062 
     0.675       2.230 
     0.725       2.927 
     0.775       5.918 
     0.825       2.218 
     0.875       0.366 
     0.925       0.052 
     0.975       0.017 
     1.025       0.000 
#      (g-r)     Prob Dist (Mr_Pet=-21.25)
    -0.025       0.000 
     0.025       0.000 
     0.075       0.000 
     0.125       0.000 
     0.175       0.000 
     0.225       0.000 
     0.275       0.000 
     0.325       0.018 
     0.375       0.036 
     0.425       0.089 
     0.475       0.197 
     0.525       0.626 
     0.575       1.252 
     0.625       1.807 
     0.675       2.325 
     0.725       2.916 
     0.775       6.279 
     0.825       3.882 
     0.875       0.447 
     0.925       0.107 
     0.975       0.000 
     1.025       0.018 
