# (u-r) colour distributions of galaxies in NYU-VAGC SDSS catalogue
# (Blanton etal 2005), as shown in Fig.9 of Juan's paper (1st submitted
# version). (19/01/09)
#
# Absolute magnitudes & colours calculated within Petrosian aperture. 
# Magnitude values are AB for H0=100. 
# Normalized probability distributions calculated using 1/Vmax weightings.
#
#      (u-r)     Prob Dist (Mr_Pet=-17.5)
   -0.0450000   0.00242811
    0.0450000      0.00000
     0.135000      0.00000
     0.225000   0.00192097
     0.315000   0.00788913
     0.405000    0.0118356
     0.495000    0.0244981
     0.585000    0.0434754
     0.675000    0.0887078
     0.765000     0.184981
     0.855000     0.328849
     0.945000     0.546753
      1.03500     0.802430
      1.12500      1.01949
      1.21500      1.29682
      1.30500      1.09738
      1.39500     0.947308
      1.48500     0.864990
      1.57500     0.679605
      1.66500     0.512443
      1.75500     0.491638
      1.84500     0.400870
      1.93500     0.382252
      2.02500     0.355998
      2.11500     0.303654
      2.20500     0.208822
      2.29500     0.150756
      2.38500     0.100353
      2.47500    0.0642414
      2.56500    0.0598533
      2.65500    0.0245652
      2.74500    0.0114920
      2.83500    0.0236875
      2.92500    0.0122493
      3.01500   0.00757859
      3.10500   0.00254277
      3.19500   0.00283558
      3.28500   0.00803152
      3.37500   0.00410001
#      (u-r)     Prob Dist (Mr_Pet=-18.25)
    -0.225000   0.00127641
    -0.135000      0.00000
   -0.0450000   0.00129192
    0.0450000      0.00000
     0.135000      0.00000
     0.225000   0.00398838
     0.315000   0.00293342
     0.405000   0.00462101
     0.495000   0.00432618
     0.585000    0.0185232
     0.675000    0.0638456
     0.765000     0.107357
     0.855000     0.159881
     0.945000     0.342404
      1.03500     0.587325
      1.12500     0.831727
      1.21500      1.04324
      1.30500      1.06865
      1.39500      1.00758
      1.48500     0.900956
      1.57500     0.714737
      1.66500     0.620695
      1.75500     0.476809
      1.84500     0.402377
      1.93500     0.445872
      2.02500     0.500010
      2.11500     0.492155
      2.20500     0.461536
      2.29500     0.327541
      2.38500     0.171923
      2.47500     0.109371
      2.56500    0.0641694
      2.65500    0.0354669
      2.74500    0.0211893
      2.83500    0.0217098
      2.92500    0.0190095
      3.01500   0.00640839
      3.10500   0.00591909
      3.19500   0.00588292
#      (u-r)     Prob Dist (Mr_Pet=-19.00)
    0.0450000   0.00158416
     0.135000      0.00000
     0.225000   0.00158416
     0.315000   0.00316831
     0.405000      0.00000
     0.495000   0.00316831
     0.585000    0.0126732
     0.675000    0.0174253
     0.765000    0.0253461
     0.855000    0.0396039
     0.945000     0.104558
      1.03500     0.245542
      1.12500     0.437221
      1.21500     0.609891
      1.30500     0.866519
      1.39500     0.868110
      1.48500     0.926718
      1.57500     0.882359
      1.66500     0.678012
      1.75500     0.589299
      1.84500     0.541772
      1.93500     0.518011
      2.02500     0.594049
      2.11500     0.685929
      2.20500     0.796819
      2.29500     0.723947
      2.38500     0.475240
      2.47500     0.199600
      2.56500    0.0902958
      2.65500    0.0554444
      2.74500    0.0300986
      2.83500    0.0285144
      2.92500   0.00633662
      3.01500   0.00633662
      3.10500   0.00792078
#      (u-r)     Prob Dist (Mr_Pet=-19.75)
    0.0450000   0.00198450
     0.135000      0.00000
     0.225000      0.00000
     0.315000      0.00000
     0.405000      0.00000
     0.495000   0.00396899
     0.585000   0.00198450
     0.675000   0.00198450
     0.765000   0.00595349
     0.855000   0.00992248
     0.945000    0.0218293
      1.03500    0.0654884
      1.12500     0.125023
      1.21500     0.184558
      1.30500     0.369114
      1.39500     0.484214
      1.48500     0.571532
      1.57500     0.752119
      1.66500     0.724337
      1.75500     0.730290
      1.84500     0.613205
      1.93500     0.595345
      2.02500     0.662816
      2.11500     0.712429
      2.20500     0.938660
      2.29500      1.17680
      2.38500      1.12520
      2.47500     0.664802
      2.56500     0.283781
      2.65500     0.103192
      2.74500    0.0456431
      2.83500    0.0377052
      2.92500    0.0218292
      3.01500    0.0178605
      3.10500    0.0198448
      3.19500   0.00595349
      3.28500   0.00396899
      3.37500   0.00198450
      3.46500   0.00198450
#      (u-r)     Prob Dist (Mr_Pet=-20.50)
     0.765000   0.00322955
     0.855000      0.00000
     0.945000    0.0129191
      1.03500   0.00969027
      1.12500    0.0322972
      1.21500    0.0516815
      1.30500    0.0839803
      1.39500     0.180878
