#"log(MHI/Mstar)(log(SSFR/yr^-1))        created by Plot Digitizer        2.6.8"
#"Date: 20/06/22        12:05:35 PM"
#log(SSFR/yr^-1)       log(MHI/Mstar)_mean low high bin
#all
-11.8365       -1.26231         -1.29523          -1.24581       0
-11.0180       -0.715922        -0.757073         -0.699461      0
-10.0038       0.00210214       -0.0309972        0.0267038      0 
-9.33732       0.467127         0.425931          0.516509       0 
#Mhalo < 12
-11.7247       -0.530488          -0.571684          -0.497701   1
-11.0089       -0.304453          -0.386800          -0.238700   1
-9.87988       0.248253           0.207057           0.264669    1
-9.35125       0.574210           0.532613           0.615272    1
#Mhalo 12-13
-11.7910       -0.809916          -0.949831            -0.661682 2
-10.9804       -0.386934          -0.444724            -0.362332 2
-10.0108       0.0515283          0.0267038            0.0678551 2
-9.32249       0.549341           0.475135             0.590581  2
#Mhalo 13-14
-11.8441       -1.34457          -1.37758           -1.27046     3
-11.0181       -0.740613         -0.773668          -0.732383    3
-10.0552       -0.170422         -0.211528          -0.162236    3
-9.38166       0.253408          0.204026           0.319205     3
#Mhalo > 14
-11.8462       -1.78901         -1.87949          -1.69856       4
-11.0644       -1.34939         -1.38235          -1.32474       4
-10.0344       -0.351621        -0.392773         -0.277460      4
-9.32433       0.162518         0.0801708         0.261281       4
