#Adams et al. (2023): arXiv230413721
#"log(rho_SFR)(redshift)  created by Plot Digitizer  2.6.5"
#
#
#rho_SFR in units of Msun/yr/Mpc^3
#H0 = 70 km s−1 Mpc−1   ΩM = 0.3 and ΩΛ = 0.7.                                                
#IMF=Chabrier03
#redshift log(rho_SFR) err_dn err_up
7.99672 -2.80006 -3.04137 -2.49191 
7.98325 -2.32446 -2.42496 -2.23071 
8.08248 -2.34352 -2.42397 -2.24302 
8.68037 -2.85316 -3.04076 -2.60509 
8.87737 -2.66347 -2.84437 -2.52953 
8.99310 -2.81637 -3.05092 -2.69593 
8.97664 -2.68923 -2.80313 -2.47477 
9.03833 -2.54787 -2.67506 -2.46093 
9.09694 -2.74157 -2.89589 -2.68110 
9.98195 -3.28839 -3.40229 -3.13429 
10.0812 -3.30745 -3.46144 -3.15340 
10.4863 -3.03516 -3.48412 -2.56638 
10.5352 -2.52541 -3.00106 -2.02971 
10.5320 -3.65113 -3.92594 -3.34287 
10.7299 -2.79138 -2.87842 -2.71103 
11.9852 -3.33430 -3.54876 -3.07306 
12.2449 -3.15736 -3.31151 -3.03022 
12.4900 -3.97224 -5.49299 -3.43629 
12.5935 -3.02637 -3.40844 -2.59103 
12.8838 -3.55936 -3.78722 -3.29152 
13.0406 -3.61131 -3.85922 -3.36352 
