#Data from Driver et al. (2018, MNRAS 475, 2891)
#hobs = 0.7
#LBT zdown zup density(log(Msun/yr/Mpc^3)) Edd_bias Delta_poisson DeltaCV DeltaAGN
0.85 0.02 0.08 5.17  0.05  0.01  0.08  0.00
1.52 0.06 0.14 5.25  0.06  0.00  0.05  0.01
2.16 0.14 0.20 5.24  0.07  0.00  0.04  0.01
2.90 0.20 0.28 5.24  0.06  0.00  0.03  0.02
3.65 0.28 0.36 5.27  0.04  0.00  0.04  0.04
4.35 0.36 0.45 5.18  0.12  0.01  0.09  0.02
5.11 0.45 0.56 5.20  0.12  0.01  0.12  0.02
5.86 0.56 0.68 5.32  0.15  0.01  0.08  0.02
6.59 0.68 0.82 5.39  0.18  0.01  0.09  0.00
7.36 0.82 1.00 5.65  0.14  0.01  0.08  0.01
8.11 1.00 1.20 5.54  0.14  0.01  0.08  0.20
8.82 1.20 1.45 5.55  0.11  0.01  0.07  0.09
9.50 1.45 1.75 5.34  0.14  0.01  0.08  0.14

