#Data from Driver et al. (2018, MNRAS 475, 2891)
#chabrier IMF
#hobs = 0.7
#zdown zup density(log(Msun/yr/Mpc^3)) Edd_bias Delta_poisson DeltaCV DeltaAGN
 0.02 0.08  -1.95  0.03  0.00  0.07  0.00
 0.06 0.14  -1.82  0.03  0.01  0.05  0.01
 0.14 0.20  -1.90  0.02  0.00  0.04  0.00
 0.20 0.28  -1.77  0.01  0.00  0.05  0.00
 0.28 0.36  -1.75  0.01  0.00  0.06  0.01
 0.36 0.45  -1.79  0.01  0.01  0.06  0.01
 0.45 0.56  -1.73  0.04  0.01  0.09  0.03
 0.56 0.68  -1.56  0.05  0.00  0.07  0.02
 0.68 0.82  -1.42  0.06  0.01  0.06  0.04
 0.82 1.00  -1.29  0.05  0.00  0.07  0.01
 1.00 1.20  -1.31  0.04  0.00  0.05  0.01
 1.20 1.45  -1.27  0.03  0.00  0.06  0.02
 1.45 1.75  -1.17  0.02  0.00  0.06  0.03
 1.75 2.20  -1.30  0.04  0.01  0.07  0.06
 2.20 2.60  -1.29  0.04  0.01  0.04  0.09
 2.60 3.25  -1.28  0.04  0.01  0.04  0.11
 3.25 3.75  -1.33  0.03  0.01  0.03  0.08
 3.75 4.25  -1.42  0.04  0.04  0.05  0.02
 4.25 5.00  -1.45  0.03  0.04  0.04  0.04
