#Data from Driver et al. (2018, MNRAS 475, 2891)
#chabrier IMF
#hobs = 0.7
#LBT zdown zup density(log(Msun/Mpc^3)) Edd_bias Delta_poisson DeltaCV DeltaAGN
0.85 0.02 0.08  8.30  0.01  0.01  0.08  0.00 
1.52 0.06 0.14  8.33  0.01  0.00  0.05  0.00
2.16 0.14 0.20  8.27  0.02  0.00  0.03  0.00
2.90 0.20 0.28  8.28  0.00  0.00  0.04  0.00
3.65 0.28 0.36  8.30  -0.01 0.00  0.04  0.00
4.35 0.36 0.45  8.18  -0.01 0.00  0.06  0.01
5.11 0.45 0.56  8.09  -0.01 0.00  0.07  0.02
5.86 0.56 0.68  8.29  -0.03 0.01  0.09  0.01
6.59 0.68 0.82  8.23  0.01  0.01  0.07  0.02
7.36 0.82 1.00  8.29  0.01  0.00  0.07  0.00
8.11 1.00 1.20  8.08  0.01  0.00  0.07  0.01
8.82 1.20 1.45  8.02  0.01  0.00  0.06  0.02
9.50 1.45 1.75  7.97  0.01  0.00  0.05  0.02
10.21 1.75 2.20 7.92  0.01  0.01  0.07  0.07
10.78 2.20 2.60 7.75  0.01  0.01  0.05  0.15
11.29 2.60 3.25 7.54  0.04  0.03  0.05  0.23
11.69 3.25 3.75 7.33  0.05  0.03  0.04  0.13
11.95 3.75 4.25 7.33  0.01  0.08  0.04  0.09
12.19 4.25 5.00 7.11  0.02  0.02  0.03  0.12
