# From Rhee et al. (2018,  MNRAS, 473, 1879)
# HI gas density evolution  unit h70
#                  z    zer    zer     time   err  err     Omega_HI  err   err     
# data source   redshift -      +    lookbackT -    +     HI_density  -     +      
#                                      Gyr                10^3 h70
 Zwaan05         0.000  0.000  0.000   0.00   0.00  0.00   0.375    0.043  0.043   
 Martin10        0.000  0.000  0.000   0.00   0.00  0.00   0.430    0.030  0.030   
 Braun12         0.000  0.000  0.000   0.00   0.00  0.00   0.568    0.091  0.091   
 Delhaize13      0.028  0.028  0.012   0.38   0.38  0.16   0.403    0.084  0.043   
 Delhaize13_2    0.096  0.056  0.034   1.25   0.71  0.40   0.456    0.084  0.061   
 Freudling11     0.125  0.025  0.025   1.60   0.30  0.29   0.480    0.230  0.230   
 Hoppmann15      0.065  0.065  0.067   0.87   0.87  0.81   0.330    0.036  0.036   
 Rhee13          0.100  0.019  0.023   1.30   0.23  0.28   0.326    0.054  0.054   
 Rhee13_2        0.200  0.036  0.024   2.43   0.39  0.25   0.337    0.089  0.089   
 Philip07        0.240  0.022  0.013   2.84   0.22  0.13   0.690    0.320  0.320   
 VVDS14h         0.320  0.020  0.020   3.60   0.18  0.18   0.500    0.180  0.180   
 zCOSMOS         0.366  0.020  0.020   4.00   0.18  0.18   0.420    0.160  0.160   
 Rao06           0.609  0.499  0.291   5.77   4.34  1.53   0.750    0.280  0.280   
 Rao06           1.219  0.319  0.431   8.49   1.19  1.11   0.720    0.220  0.220   
 Rao17           0.464  0.354  0.146   4.84   3.42  1.03   0.592    0.200  0.200   
 Rao17           0.731  0.121  0.159   6.60   0.73  0.83   0.515    0.123  0.123   
 Rao17           1.172  0.282  0.478   8.60   1.17  1.38   0.577    0.223  0.223   
 Kanekar16       1.265  0.085  0.075   8.61   0.24  0.25   0.270    0.180  0.180   
 Neeleman16      0.623  0.613  0.977   5.85   5.71  3.64   0.184    0.088  0.147   
 Prochaska05     1.940  0.240  0.260  10.14   0.44  0.39   0.648    0.194  0.175   
 Noterdaeme09    2.440  0.210  0.160  10.83   0.26  0.17   0.630    0.070  0.070   
 Noterdaeme09    2.740  0.140  0.140  11.13   0.13  0.12   0.650    0.070  0.070   
 Noterdaeme09    3.020  0.140  0.180  11.37   0.12  0.13   0.790    0.080  0.080   
 Noterdaeme09    3.490  0.290  1.700  11.69   0.19  0.67   0.990    0.120  0.120   
 Noterdaeme12    2.150  0.150  0.150  10.46   0.22  0.20   0.760    0.040  0.040   
 Noterdaeme12    2.450  0.150  0.150  10.84   0.18  0.16   0.670    0.030  0.030   
 Noterdaeme12    2.750  0.150  0.150  11.14   0.14  0.13   0.800    0.040  0.040   
 Noterdaeme12    3.050  0.150  0.150  11.39   0.12  0.11   0.850    0.060  0.060   
 Noterdaeme12    3.350  0.150  0.150  11.60   0.10  0.09   0.980    0.100  0.100   
 Zafar13         1.840  0.330  0.160   9.97   0.68  0.27   0.640    0.190  0.190   
 Zafar13         2.270  0.270  0.230  10.62   0.38  0.27   0.690    0.220  0.220   
 Zafar13         2.730  0.230  0.270  11.12   0.23  0.23   0.740    0.220  0.220   
 Zafar13         3.250  0.250  0.250  11.54   0.18  0.16   0.770    0.220  0.220   
 Zafar13         3.770  0.270  0.230  11.84   0.15  0.11   0.580    0.160  0.160   
 Zafar13         4.200  0.200  0.800  12.04   0.09  0.28   0.590    0.190  0.190   
 Crighton15      4.010  0.440  0.450  11.95   0.23  0.18   0.980    0.210  0.220   
 Crighton15      4.880  0.430  0.430  12.28   0.14  0.12   0.820    0.150  0.160   
 Bird17          2.085  0.085  0.085  10.37   0.13  0.12   0.770    0.044  0.049   
 Bird17          2.250  0.080  0.080  10.60   0.11  0.10   0.705    0.029  0.035   
 Bird17          2.415  0.085  0.085  10.80   0.10  0.10   0.740    0.037  0.042   
 Bird17          2.585  0.085  0.085  10.98   0.09  0.08   0.698    0.028  0.032   
 Bird17          2.750  0.080  0.080  11.14   0.08  0.07   0.781    0.029  0.033   
 Bird17          2.915  0.085  0.085  11.29   0.07  0.07   0.815    0.030  0.030   
 Bird17          3.085  0.085  0.085  11.42   0.07  0.06   0.946    0.035  0.039   
 Bird17          3.250  0.080  0.080  11.54   0.06  0.05   0.952    0.044  0.051   
 Bird17          3.415  0.085  0.085  11.64   0.05  0.05   1.093    0.095  0.115   
 Bird17          3.585  0.085  0.085  11.74   0.05  0.05   1.254    0.162  0.215   
 Bird17          3.750  0.080  0.080  11.83   0.04  0.04   1.103    0.257  0.288   
 Bird17          3.915  0.085  0.085  11.91   0.04  0.04   0.855    0.116  0.151   
 Bird17          4.085  0.085  0.085  11.99   0.04  0.04   1.103    0.202  0.220   
 Bird17          4.250  0.080  0.080  12.06   0.03  0.03   1.271    0.146  0.162   
 Bird17          4.415  0.085  0.085  12.12   0.03  0.03   2.324    0.714  1.260   
 Bird17          4.585  0.085  0.085  12.18   0.03  0.03   2.601    0.451  0.510   
 Bird17          4.750  0.080  0.080  12.23   0.03  0.03   1.920    0.410  0.453   
 Bird17          4.915  0.085  0.085  12.29   0.03  0.03   1.330    0.639  0.783   
