#redshift log10(CSFRD[Msun/yr/cMpc^3]) down up
#Willot+24
9.01180 -2.86811 -3.01956 -2.77345
10.2823 -3.49393 -3.61698 -3.35195
11.7984 -4.05373 -4.21462 -3.87385
#Adams+23
9.84519 -2.85944 -2.96354 -2.78375
10.5044 -3.25754 -3.52253 -2.98307
12.5103 -3.87459 -4.15853 -3.57177
#Weibel+25
9.72180 -2.99182 -3.13375 -2.84986
12.7047 -4.14923 -4.62244 -3.46784
#McLeod+23
11.0439 -3.22020 -3.39052 -2.99302
13.5397 -3.88503 -4.11219 -3.65788
#Harikane+23
12.0208 -3.76056 -4.13916 -3.37255
#Bouwens+26
8.14072 -2.36323 -2.46450 -2.30416
8.90244 -2.74341 -2.85311 -2.60839
9.73903 -2.92109 -3.01388 -2.74386
10.5260 -3.16626 -3.28431 -2.98061
11.1887 -3.64765 -3.97674 -3.35227
12.5653 -4.21382 -4.99019 -3.66531
13.7734 -3.97821 -4.44235 -3.59004
