#redshift log10(CSFRD[Msun/yr/cMpc^3]) down up
#Moutard+20
0.0870358 -2.25744 -2.33331 -2.18146
0.259894 -2.16471  -2.25757 -2.10561
0.555379 -2.18175  -2.23238 -2.11420
0.777943 -1.99622  -2.09747 -1.94557
1.05001 -1.76009 -1.83606 -1.70945
1.49344 -1.74346 -1.81101 -1.68439
#Bouwens+2022
2.06030 -1.66783 -1.72691 -1.60880
3.04617 -1.53336 -1.58399 -1.46585
3.76017 -1.59284 -1.66040 -1.51689
4.96605 -1.80448 -1.87199 -1.72851
5.95054 -1.95694 -2.00761 -1.88100
6.81176 -2.13464 -2.21057 -2.05869
7.91856 -2.46437 -2.50658 -2.39686
8.95065 -2.96284 -3.03035 -2.87002
