#redshift_dn redshift_up log(phi_sfr) err_up err_dn
 0.01 0.1              -1.82 0.09 -0.02
 0.2 0.4               -1.50 0.05 -0.05
 0.4 0.6               -1.39 0.15 -0.08
 0.6 0.8               -1.20 0.31 -0.13
 0.8 1.2               -1.25 0.31 -0.13
 0.05 0.05             -1.77 0.08 -0.09
 0.05 0.2              -1.75 0.18 -0.18
 0.2 0.4               -1.55 0.12 -0.12
 0.4 0.6               -1.44 0.10 -0.10
 0.6 0.8               -1.24 0.10 -0.10
 0.8 1.0               -0.99 0.09 -0.08
 1.0 1.2               -0.94 0.09 -0.09
 1.2 1.7               -0.95 0.15 -0.08
 1.7 2.5               -0.75 0.49 -0.09
 2.5 3.5               -1.04 0.26 -0.15
 3.5 4.5               -1.69 0.22 -0.32
 0.92 1.33             -1.02 0.08 -0.08
 1.62 1.88             -0.75 0.12 -0.12
 2.08 2.37             -0.87 0.09 -0.09
 1.9 2.7               -0.75 0.09 -0.11
 2.7 3.4               -0.97 0.11 -0.15
 3.8  3.8             -1.29 0.05 -0.05
 4.9  4.9             -1.42 0.06 -0.06
 5.9  5.9             -1.65 0.08 -0.08
 7.0  7.0             -1.79 0.10 -0.10
 7.9  7.9             -2.09 0.11 -0.11
 7.0  7.0             -2.00 0.10 -0.11
 0.03 0.03            -1.72 0.02 -0.03
 0.03 0.03            -1.95 0.20 -0.20
 0.40 0.70             -1.34 0.22 -0.11
 0.70 1.00             -0.96 0.15 -0.19
 1.00 1.30             -0.89 0.27 -0.21
 1.30 1.80             -0.91 0.17 -0.21
 1.80 2.30             -0.89 0.21 -0.25
 0.40 0.70             -1.22 0.08 -0.11
 0.70 1.00             -1.10 0.10 -0.13
 1.00 1.30             -0.96 0.13 -0.20
 1.30 1.80             -0.94 0.13 -0.18
 1.80 2.30             -0.80 0.18 -0.15
 0.00 0.30             -1.64 0.09 -0.11
 0.30 0.45             -1.42 0.03 -0.04
 0.45 0.60             -1.32 0.05 -0.05
 0.60 0.80             -1.14 0.06 -0.06
 0.80 1.00             -0.94 0.05 -0.06
 1.00 1.20             -0.81 0.04 -0.05
 1.20 1.70             -0.84 0.04 -0.04
 1.70 2.00             -0.86 0.02 -0.03
 2.00 2.50             -0.91 0.09 -0.12
 2.50 3.00             -0.86 0.15 -0.23
 3.00 4.20             -1.36 0.23 -0.50
