#redshift_dn redshift_up log10(SMD) err_up err_dn
 0.3   0.3      8.78 0.12  0.16
 0.5   0.5      8.64 0.09  0.11
 0.7   0.7      8.62 0.08  0.10
 0.9   0.9      8.70 0.11  0.15
 1.1   1.1      8.51 0.08  0.11
 1.35  1.35     8.39 0.10  0.13
 1.75  1.75     8.13 0.10  0.13
 0.1   0.35     8.58 0 0
 0.35  0.55     8.49 0 0
 0.55  0.75     8.50 0 0
 0.75  1.00     8.42 0 0
 0.5   1.0      8.63 0 0
 1.0   1.5      8.30 0 0
 1.5   2.5      8.04 0 0
 2.5   3.5      7.74 0 0
 1.3   2.0      8.11 0.02  0.02
 2.0   3.0      7.75 0.05  0.04
 3.0   4.0      7.47 0.37  0.13
 1.9   2.7      8.10 0.03  0.03
 2.7   3.4      7.87 0.03  0.03
 3.0   3.5      7.32 0.04  0.02
 3.5   4.25     7.05 0.11  0.10
 4.25  5.0      6.37 0.14  0.54
 3.8   3.8      7.24 0.06   0.06
 5.0   5.0      6.87 0.08   0.09
 5.9   5.9      6.79 0.09   0.09
 6.8   6.8      6.46 0.14   0.17
 3.7   3.7      7.30 0.07   0.09
 5.0   5.0      6.75 0.33   0.16
 5.0   5.0      7.19 0.19   0.35
 8.0   8.0      5.78 0.22   0.30
