#Weaver et al. (2022) COSMOS 2020
#rho_star in units of 1e7 Msun/Mpc^3
#H0=0.7 and Chabrier IMF
#zlow zup rho_star_likelihood errup errdn rho_star_chi2 errup errdn
  0.2   0.5 15.90 1.82  1.74    15.87 7.50 4.09
  0.5   0.8 15.14 1.24  1.20    16.62 7.61  7.24
  0.8   1.1 16.45 1.36  1.33    19.48 11.75 7.67
  1.1   1.5 12.15 0.83  0.83    12.54 3.90  4.99
  1.5   2.0 7.55 0.64  0.64     8.75 4.29 3.56
  2.0   2.5 4.41 0.59  0.47     4.82 2.58  2.13
  2.5   3.0 3.45 0.42  0.43     3.17 1631.82 3.24
  3.0   3.5 2.53 0.34  0.30     2.64 0.80  0.75
  3.5   4.5 0.95 0.10  0.08     0.83 0.88 0.40
  4.5   5.5 0.43 0.07  0.06     0.41 0.31 0.16
  5.5   6.5 0.13 0.03  0.03     0.14 0.03 0.03
  6.5   7.5 0.06 0.04  0.03     0.06 0.04 0.03
