#"12+log(O/H)(log(Mstar/Msun))  created by Plot Digitizer  2.6.5"
#"Date: 1/8/23  9:52:19 pm"
#
#
#75
#log(Mstar/Msun) 12+log(O/H)  low  high
7.95866 8.14918 7.98960 8.31939
8.10814 8.28331 8.15139 8.40884
8.23654 8.31742 8.21531 8.42381
8.39178 8.33027 8.23878 8.43241
8.54684 8.39843 8.30057 8.48142
8.70733 8.44320 8.35809 8.53256
8.86784 8.48371 8.40072 8.56668
8.99622 8.52421 8.44123 8.60506
9.15141 8.55195 8.46472 8.63281
9.30661 8.57969 8.49671 8.66691
9.46177 8.61594 8.53295 8.69678
9.61160 8.64794 8.56495 8.72240
9.76143 8.67780 8.59696 8.76291
9.91126 8.70767 8.62895 8.78427
10.0611 8.73328 8.66946 8.79924
10.2163 8.74826 8.69293 8.80571
10.3555 8.76323 8.71642 8.81642
10.5054 8.78246 8.72927 8.82288
10.6500 8.78679 8.73573 8.83147
10.7999 8.79538 8.74857 8.84432 
10.9551 8.79546 8.74866 8.84653
11.1104 8.79554 8.75087 8.84448
11.2550 8.79562 8.75944 8.84882
11.4157 8.78507 8.73400 8.84252
11.5603 8.78302 8.71919 8.84472 
