#"12+log10(O/H)(log10(Mstar/Msun))  created by Plot Digitizer  2.6.5"
#"Date: 1/8/23  10:10:00 pm"
#metallicities derived in nearby galaxies from stellar spectroscopy of red and blue supergiants respectively. From Davies B. et al.  2017  ApJ  847  112
#
#23
#log10(Mstar/Msun) 12+log10(O/H)
7.40225 7.69480 
7.68758 7.82090 
8.01100 7.89722 
8.10198 8.02546 
8.18794 8.09200 
8.19825 8.17032 
8.70107 8.04041 
8.70084 8.07837 
9.33191 8.16218 
9.30989 8.23096 
9.16947 8.24266 
9.20669 8.33525 
8.97956 8.40142 
8.99543 8.45364 
9.58899 8.49231 
10.3058 8.68537 
10.5743 8.90636 
10.6178 8.84709 
10.5001 8.68322 
10.7913 8.73340 
10.7963 8.79985 
10.9149 8.82609 
11.0178 8.76214 
