#"log(O/H)+12 vs log(Mstars/Msun)
#From Kewley & Ellison (2008)
#h=0.72
#IMF: Kroupa
#log(M/Msun) log(O/H)+12
#P05(10)
8.51468 8.23396 
8.75434 8.20834 
8.98177 8.20650 
9.25696 8.21553 
9.47818 8.23530 
9.73526 8.25944 
9.95042 8.28569 
10.2134 8.31633 
10.4286 8.34041 
10.6618 8.35803 
10.8830 8.37780 
11.0087 8.38230 
#P05(9)
8.50729 8.36584 
8.66924 8.33147 
8.81903 8.31438 
9.02239 8.32548 
9.25555 8.34742 
9.45272 8.37797 
9.68563 8.42370 
9.93039 8.48026 
10.1334 8.52811 
10.3544 8.56301 
10.5038 8.58052 
10.6534 8.58938 
10.8270 8.58529 
10.9468 8.56600 
11.0188 8.55097 
#PP04 N2 (8)
8.50262 8.24259 
8.94425 8.35780 
9.16496 8.42514 
9.37388 8.47516 
9.54683 8.53162 
9.70797 8.57292 
9.91689 8.62294 
10.1378 8.66866 
10.3767 8.72089 
10.6635 8.75588 
10.9505 8.78006 
#PP04 O3N2 (7)
8.52043 8.25559 
8.71732 8.31208 
8.91414 8.37506 
9.15273 8.44890 
9.33763 8.50754 
9.53440 8.57484 
9.74926 8.62920 
9.89841 8.67265 
10.1372 8.72704 
10.2985 8.75537 
10.3942 8.76199 
10.5317 8.77299 
10.7111 8.78622 
10.8428 8.77991 
10.9506 8.77358 
#D02 (6)
8.50777 8.32043 
8.81758 8.45060 
8.99050 8.50922 
9.22309 8.58522 
9.39015 8.63302 
9.58112 8.68302 
9.75434 8.71353 
10.0171 8.76363 
10.2143 8.79634 
10.4055 8.81822 
10.6028 8.83580 
10.7524 8.84249 
10.9258 8.85138 
#M91 (5)
8.49962 8.52367 
8.49962 8.52367 
8.72076 8.54992 
8.94175 8.59131 
9.12085 8.63265 
9.36547 8.70218 
9.58634 8.75438 
9.80716 8.81090 
10.0221 8.85445 
10.2671 8.89587 
10.5182 8.91784 
10.7395 8.92464 
10.9192 8.91408 
11.0210 8.90773 
#T04 (1)
8.50773 8.32476 
8.71004 8.43315 
8.90037 8.54369 
9.12075 8.64129 
9.24573 8.70633 
9.43650 8.77579 
9.63918 8.84959 
9.80610 8.91036 
9.99703 8.96468 
10.2000 9.01470 
10.2896 9.02996 
10.4986 9.06917 
10.6421 9.08450 
10.8393 9.10856 
10.9650 9.11090 
#M91
8.51195 8.48909 
8.67293 8.54553 
8.91153 8.61938 
9.07856 8.66934 
9.28714 8.75180 
9.43629 8.79525 
9.60933 8.84306 
9.78833 8.89304 
9.93753 8.93217 
10.0988 8.96266 
10.2720 8.99750 
10.4393 9.02152 
10.5948 9.03038 
10.7742 9.03928 
10.9239 9.03517 
10.9778 9.02659 
#KD02
8.48665 8.61662 
8.70785 8.63856 
8.88699 8.67556 
9.03616 8.71685 
9.19723 8.76465 
9.34629 8.81675 
9.50729 8.87103 
9.65635 8.92313 
9.85925 8.97746 
10.0204 9.01661 
10.1935 9.05793 
10.3548 9.08194 
10.5223 9.09082 
10.6839 9.09321 
10.8695 9.08050 
10.9954 9.06121 
#Z94
8.50442 8.63395 
8.68342 8.68393 
8.87435 8.73825 
9.10705 8.80344 
9.29805 8.85127 
9.53082 8.90998 
9.75767 8.96219 
10.0025 9.01010 
10.2176 9.04283 
10.3850 9.05820 
10.6901 9.07160 
10.8757 9.06321 
10.9716 9.05037 
