#"12+log(O/H) vs log(Mstars/Msun)
#"Date: 2/8/18  11:42:05 AM"
# From Tremonti et al. (2004)
# IMF: Kroupa
# h = 0.7
#log(mass) 12+log(O/H) 16th_percentile 84th_percentile
8.54243 8.43924 8.25003 8.63766 
8.66023 8.48277 8.31186 8.64690 
8.74449 8.57184 8.36221 8.70182 
8.84920 8.61078 8.44218 8.72017 
8.95427 8.62464 8.50157 8.74549 
9.05239 8.66357 8.56785 8.82090 
9.15078 8.68426 8.59309 8.82108 
9.25559 8.71636 8.61612 8.86000 
9.34730 8.74388 8.65506 8.88069 
9.45859 8.78284 8.68717 8.91504 
9.56988 8.82179 8.70784 8.94034 
9.64847 8.84701 8.72849 8.96788 
9.75989 8.87684 8.76052 8.99992 
9.85818 8.90437 8.79947 9.00926 
9.94963 8.95013 8.83386 9.05270 
10.0480 8.97310 8.86137 9.06431 
10.1463 8.99835 8.88893 9.09412 
10.2710 9.01909 8.92789 9.10342 
10.3628 9.03977 8.94858 9.11955 
10.4546 9.06501 8.97384 9.12426 
10.5663 9.07204 8.98768 9.14264 
10.6582 9.08816 9.00381 9.14966 
10.7633 9.09974 9.01312 9.15896 
10.8554 9.10217 9.01787 9.16144 
10.9604 9.11604 9.03169 9.17988 
11.0525 9.11619 9.03637 9.17773 
11.1511 9.12548 9.04565 9.19156 
11.2300 9.13018 9.04124 9.19174 
