#Photon dominates Region UCL_PDR outputs. Based on Bayet et al. (2011).
#Units of each variable are:
#FUV in units of the GUV_MW (Drain value) (GUV_MW=1.6e=3 erg/cm^2/s).
#TK: temperature in Kelvin
#met: metallicity of the gas in units of solar metallicity (as in Asplund et al. 2005).
#CR: cosmic rays field in units of s^-1.
#XCO: conversion factor between molecular hydrogen and CO luminosity in units of cm^-2 (K km/s)^-1.
#-------------------------------------------------------------------------------------------------------------------------------------
#FUV     TK(3mag)      TK(8mag)    n(H2)   met     CR      X10_av=3 X21_av=3 X32_av=3  X43_av=3 X54_av=3  X65_av=3  X76_av=3 X87_av=3  X98_av=3 X109_av=3  X10_av=8  X21_av=8 X32_av=8 X43_av=8 X54_av=8 X65_av=8  X76_av=8 X87_av=8  X98_av=8 X109_av=8                                    		
#-------------------------------------------------------------------------------------------------------------------------------------
1E3 5.06916E+01 8.78019E+00 1E4 1 5E-17 8.86400E+19 5.34305E+19 5.52768E+19 6.91931E+19 1.03839E+20 2.04706E+20 6.12256E+20 2.43894E+21 1.09048E+22 4.58403E+22 8.09324E+19 7.54890E+19 8.67353E+19 1.10126E+20 1.55443E+20 2.63116E+20 6.77140E+20 2.85617E+21 1.55183E+22 8.33307E+22  
1E3 5.19955E+01 7.86921E+00 1E4 2 5E-17 3.03246E+19 1.94724E+19 1.98748E+19 2.38295E+19 3.29283E+19 5.55451E+19 1.31117E+20 4.19927E+20 1.43176E+21 4.05952E+21 3.74398E+19 3.42975E+19 3.85570E+19 4.76040E+19 6.44222E+19 1.00116E+20 2.09402E+20 7.01385E+20 2.89040E+21 1.01445E+22     
1 8.41990E+00 1.04750E+01 1E4 1 5E-17 7.78643E+19 8.45345E+19 1.13795E+20 1.86731E+20 4.61299E+20 3.00170E+21 4.40487E+22 8.35544E+23 1.84308E+25 4.24218E+26 1.88318E+20 2.08212E+20 2.80801E+20 4.58697E+20 1.10838E+21 7.34045E+21 1.12470E+23 2.15996E+24 4.79072E+25 1.10755E+27     
1 7.41511E+00 8.72761E+00 1E4 2 5E-17 3.94775E+19 4.26569E+19 5.78685E+19 9.72326E+19 2.55737E+20 1.81822E+21 2.72849E+22 5.06449E+23 1.07121E+25 2.34940E+26 1.01559E+20 1.11727E+20 1.52152E+20 2.55859E+20 6.68946E+20 4.88067E+21 7.47670E+22 1.39259E+24 2.94657E+25 6.46265E+26 
10 1.43014E+01 1.02207E+01 1E4 1 5E-17 4.84356E+19 4.61014E+19 5.56392E+19 7.68869E+19 1.30499E+20 3.44736E+20 1.87767E+21 1.48735E+22 1.33350E+23 1.17074E+24 1.13964E+20 1.13343E+20 1.39284E+20 1.95413E+20 3.35600E+20 8.92418E+20 4.89913E+21 3.89885E+22 3.50218E+23 3.07660E+24
10 1.39286E+01 8.64271E+00 1E4 2 5E-17 2.38593E+19 2.27727E+19 2.74580E+19 3.78722E+19 6.39165E+19 1.66439E+20 8.95363E+20 7.04672E+21 6.27864E+22 5.46857E+23 5.96369E+19 5.92436E+19 7.26621E+19 1.01666E+20 1.73342E+20 4.53556E+20 2.45256E+21 1.93658E+22 1.72772E+23 1.50543E+24
1 3.86413E+01 3.93773E+01 1E4 0.01 5E-17 1.22446E+21 5.40320E+20 5.16135E+20 7.06544E+20 1.38164E+21 4.22409E+21 1.80323E+22 8.78406E+22 4.72715E+23 2.77102E+24 3.58538E+20 2.28197E+20 2.33506E+20 2.85764E+20 4.12790E+20 7.80329E+20 2.40921E+21 1.10602E+22 6.12828E+22 3.77029E+23     
1 2.18696E+01 1.79546E+01 1E4 0.05 5E-17 4.57700E+20 4.24232E+20 5.42356E+20 8.87141E+20 2.18666E+21 1.20430E+22 1.20003E+23 1.19106E+24 1.03927E+25 8.45546E+25 3.21216E+20 3.25944E+20 4.00737E+20 5.64620E+20 8.98115E+20 1.86126E+21 1.00043E+22 1.21475E+23 2.06832E+24 3.30947E+25     
1 1.45853E+01 1.94404E+01 1E4 0.1 5E-17 4.25761E+20 4.12915E+20 5.59253E+20 1.00116E+21 3.02010E+21 2.10423E+22 2.45742E+23 3.18699E+24 4.51559E+25 6.86893E+26 3.17709E+20 3.23375E+20 4.16826E+20 6.33760E+20 1.11374E+21 2.74825E+21 2.18343E+22 3.58949E+23 9.22900E+24 2.65792E+26     
10 1.45778E+01 1.87345E+01 1E4 0.1 5E-17 3.83040E+20 2.94443E+20 3.61289E+20 5.92842E+20 1.49929E+21 6.26160E+21 3.43790E+22 2.06281E+23 1.32068E+24 9.00989E+24 2.97098E+20 2.70476E+20 3.27467E+20 4.82408E+20 9.04745E+20 2.66636E+21 1.93999E+22 1.79347E+23 1.45942E+24 1.06158E+25     
1E3 4.93198E+01 1.63397E+01 1E4 0.1 5E-17 2.73901E+21 1.15256E+21 1.17631E+21 1.84153E+21 4.34442E+21 1.46850E+22 6.22042E+22 2.96670E+23 1.55712E+24 8.73393E+24 3.05950E+20 2.68797E+20 3.23794E+20 4.74644E+20 9.47374E+20 3.40430E+21 1.95177E+22 1.18519E+23 7.35013E+23 4.70526E+24     
1E3 5.64553E+01 5.98320E+01 1E4 0.1 5E-15 1.12905E+21 3.72197E+20 2.89331E+20 3.20299E+20 4.48301E+20 8.13284E+20 1.93358E+21 5.40335E+21 1.64294E+22 5.29030E+22 2.72271E+20 1.60139E+20 1.53642E+20 1.74249E+20 2.23180E+20 3.28717E+20 6.02021E+20 1.58396E+21 5.81069E+21 2.44474E+22     
1E3 3.75309E+01 3.88298E+01 1E4 1 5E-15 1.64257E+20 9.68773E+19 1.09378E+20 1.65041E+20 3.69917E+20 1.35557E+21 6.89266E+21 4.07126E+22 2.66051E+23 1.89473E+24 2.26303E+20 1.63902E+20 1.85372E+20 2.53129E+20 4.45666E+20 1.23859E+21 5.66806E+21 3.33018E+22 2.24366E+23 1.61080E+24     
1 5.36506E+01 6.08103E+01 1E4 0.1 5E-15 5.76324E+20 2.88008E+20 2.77846E+20 3.33495E+20 4.79556E+20 9.00522E+20 2.54019E+21 9.82921E+21 4.52877E+22 2.30610E+23 2.38983E+20 1.63952E+20 1.65308E+20 1.89565E+20 2.37035E+20 3.28955E+20 5.50948E+20 1.32287E+21 4.94501E+21 2.35428E+22     
10 3.79968E+01 3.91396E+01 1E4 1 5E-15 1.30561E+20 7.31135E+19 7.83952E+19 1.08485E+20 2.03094E+20 5.92234E+20 2.47237E+21 1.22736E+22 6.79446E+22 4.04712E+23 2.00331E+20 1.37770E+20 1.51839E+20 2.03035E+20 3.42901E+20 8.69105E+20 3.55349E+21 1.87081E+22 1.12678E+23 7.18246E+23     
100 3.23411E+01 1.80074E+01 1E4 0.1 5E-17 8.48299E+20 4.70322E+20 5.24862E+20 8.16214E+20 1.91779E+21 6.97454E+21 3.30658E+22 1.74376E+23 9.79019E+23 5.73339E+24 3.17408E+20 2.85278E+20 3.44131E+20 5.07576E+20 9.84970E+20 3.30362E+21 2.25733E+22 1.62799E+23 1.04687E+24 6.37837E+24     
