#"m(log(sigma_dust))  created by Plot Digitizer  2.6.6"
#"Date: 6/7/19  9:27:32 AM"
#
#
#48
#log(sigma_dust) m
#4.11824 -1.28304     -2.45044      -1.01322 
#4.35135 -1.40419     -2.10903      -1.03524 
4.58953 -1.35463     -2.03744      -1.02423 
4.82264 -1.34361     -1.96586      -1.03524 
5.05574 -1.27753     -1.67952      -0.930617 
5.29392 -1.18392     -1.48128      -0.914097 
5.53209 -1.04075     -1.29956      -0.787445 
5.76520 -0.875551    -1.12335      -0.666300 
6.00338 -0.743392    -0.936123     -0.534141 
6.23649 -0.616740    -0.798458     -0.435022 
6.46959 -0.523128    -0.693833     -0.363436 
6.70270 -0.440529    -0.660793     -0.275330 
6.94088 -0.396476    -0.616740     -0.220264 
7.17905 -0.335903    -0.462555     -0.148678 
7.42230 -0.269824    -0.457048     -0.148678 
7.64527 -0.308370    -0.390969     -0.176211 
