#redshift Num_density_Passive_RefL100(1e10) Num_density_Passive_AGNT9L150(1e10) Num_density_Passive_RefL100(3e10) Num_density_Passive_AGNT9L150(3e10)
  0.00   0.0033479999999999998  0.0036719999999999999               0.0013320000000000001  0.001488 
  0.10   0.0031809999999999998  0.00332                             0.0013159999999999999  0.0013680000000000001 
  0.18   0.0029789999999999999  0.0030000000000000001               0.0012669999999999999  0.0012880000000000001 
  0.27   0.0026540000000000001  0.0025119999999999999               0.001181  0.0012639999999999999 
  0.37   0.0022899999999999999  0.0022000000000000001               0.0010579999999999999  0.0011119999999999999 
  0.50   0.0017700000000000001  0.0015839999999999999               0.00087699999999999996  0.00084800000000000001 
  0.62   0.001431  0.0012639999999999999                            0.00072800000000000002  0.00066399999999999999 
  0.74   0.0011540000000000001  0.0010560000000000001               0.00059299999999999999  0.00051199999999999998 
  0.87   0.00091799999999999998  0.00084800000000000001             0.00048099999999999998  0.000368 
  1.00   0.00070200000000000004  0.00076000000000000004             0.00035100000000000002  0.000328 
  1.26   0.00047899999999999999  0.00052800000000000004             0.000214  0.00020799999999999999 
  1.49   0.00033399999999999999  0.00040000000000000002             0.000136  0.000136 
  1.74   0.00022900000000000001  0.00021599999999999999             7.7999999999999999e-05  9.6000000000000002e-05 
  2.01   0.00015799999999999999  0.000224                           5.0000000000000002e-05  8.7999999999999998e-05 
  2.24   0.00012999999999999999  0.00016799999999999999             4.5000000000000003e-05  3.1999999999999999e-05 
  2.48   8.2000000000000001e-05  0.000184                           1.4e-05  4.0000000000000003e-05 
  3.02   3.4999999999999997e-05  6.3999999999999997e-05             6.0000000000000002e-06  7.9999999999999996e-06 
  3.53   2.1999999999999999e-05  1.5999999999999999e-05             3.9999999999999998e-06  0.0 
  3.98   6.0000000000000002e-06  7.9999999999999996e-06             9.9999999999999995e-07  0.0 
  4.49   5.0000000000000004e-06  0.0                                9.9999999999999995e-07  0.0 
  5.04   0.0  0.0                                                   0.0  0.0 
  5.49   0.0  0.0                                                   0.0  0.0 
  5.97   0.0  0.0                                                   0.0  0.0 
  7.05  0.0  0.0 0.0  0.0 
  8.07  0.0  0.0 0.0  0.0
  8.99  0.0  0.0 0.0  0.0
