#log10(MBH/Msun) log10(SSFR/yr^-1) log10(SSFR_16th/yr^-1)  log10(SSFR_84th/yr^-1)
5.1 -9.74302864074707 -9.841468811035156 -9.615983009338379
5.3 -9.735910415649414 -9.837547302246094 -9.582747459411621
5.5 -9.740288734436035 -9.821542739868164 -9.603926658630371
5.7 -9.726676940917969 -9.844134330749512 -9.608373641967773
5.9 -9.705833435058594 -9.821206092834473 -9.576005935668945
6.1000000000000005 -9.707842826843262 -9.815622329711914 -9.557637214660645
6.300000000000001 -9.713235855102539 -9.821615219116211 -9.574759483337402
6.500000000000001 -9.728729248046875 -9.848326683044434 -9.575130462646484
6.700000000000001 -9.74854564666748 -9.879517555236816 -9.575730323791504
6.900000000000001 -9.77145004272461 -9.926665306091309 -9.566847801208496
7.100000000000001 -9.821121215820312 -10.022392272949219 -9.592755317687988
7.300000000000002 -9.918012619018555 -10.695064544677734 -9.619033813476562
7.500000000000002 -10.40312385559082 -11.378680229187012 -9.710162162780762
7.700000000000002 -10.851871490478516 -11.630789756774902 -9.922991752624512
7.900000000000002 -11.0557279586792 -11.729728698730469 -10.2794189453125
8.100000000000003 -11.088339805603027 -11.636579513549805 -10.525582313537598
8.300000000000002 -11.052053451538086 -11.56454086303711 -10.576416969299316
8.500000000000002 -11.031950950622559 -11.431288719177246 -10.650943756103516
8.700000000000003 -10.948139190673828 -11.331878662109375 -10.611950874328613
8.900000000000004 -10.908345222473145 -11.227983474731445 -10.610176086425781
9.100000000000003 -10.889364242553711 -11.196200370788574 -10.565686225891113
9.300000000000002 -10.906110763549805 -11.164360046386719 -10.59853744506836
9.500000000000004 -10.922064781188965 -11.211535453796387 -10.668813705444336
9.700000000000005 -11.03353500366211 -11.285886764526367 -10.727378845214844
9.900000000000004 -11.055811882019043 -11.331428527832031 -10.759880065917969
10.100000000000003 -11.153301239013672 -11.341466903686523 -10.918270111083984
10.300000000000004 -11.177257537841797 -11.27098560333252 -11.057191848754883
