#log(M/Msun) phi_bin1_all phi_bin1_sats   phi_bin2_all phi_bin2_sats          phi_bin3_all phi_bin3_sats                phi_bin4_all phi_bin4_sats
5.1 -3.27321378377 -5.54913457949        -5.45736420613 -5.52431099576        -4.77098332911 -4.77098332911              -4.67577977991 -4.67577977991
5.3 -2.81759321343 -5.14611504529        -5.34821973671 -5.3646101529         -4.28265385279 -4.28542890685              -4.16468628483 -4.16468628483
5.5 -2.58520793339 -4.8930927757         -4.91035178114 -4.92225100444        -3.8737876205 -3.8737876205                -3.68476312051 -3.68476312051
5.7 -2.30840918256 -4.57275762484        -4.6524787025 -4.6557318599          -3.46298419877 -3.46340340197              -3.27443352255 -3.27443352255
5.9 -2.03045036144 -4.27989641825        -4.29244512539 -4.29957655791        -3.09734814397 -3.09843275094              -2.92838632469 -2.92838632469
6.1 -1.76535286851 -3.97612638522        -4.03062063961 -4.03685836956        -2.80204279492 -2.80240882485              -2.6343249239 -2.6343249239
6.3 -1.58802071328 -3.74096333892        -3.81156778687 -3.81863730513        -2.57052446674 -2.57071236262              -2.41595272076 -2.41595272076
6.5 -1.51380609823 -3.52965174423        -3.56526960344 -3.56846295961        -2.40049563822 -2.40096759884              -2.24197845872 -2.24197845872
6.7 -1.51579125635 -3.33898923903        -3.37372510155 -3.37732211841        -2.26095113319 -2.26121434995              -2.09871338188 -2.09871338188
6.9 -1.57873847252 -3.2062476608         -3.21633979973 -3.22003594529        -2.14582224773 -2.14604435194              -1.96342840528 -1.96342840528
7.1 -1.63267134132 -3.14651922818        -3.13741586646 -3.13900269438        -2.0700930557 -2.07027961196               -1.83420355631 -1.83420355631
7.3 -1.5916202508 -3.16553039488         -3.10197654815 -3.10453876491        -2.02938377304 -2.02948413707              -1.72806825277 -1.72807210996
7.5 -1.50368043458 -3.21503578911        -3.11185044833 -3.11484753235        -2.01922134031 -2.0193269255               -1.65066752241 -1.65066752241
7.7 -1.42755928782 -3.28626489264        -3.10665481043 -3.11101123168        -2.02867416658 -2.02885916956              -1.6061087702 -1.6061087702
7.9 -1.38336148036 -3.37835533337        -3.14651922818 -3.15427104991        -2.04470369808 -2.04480766611              -1.5971089302 -1.5971089302
8.1 -1.37643894825 -3.46131142066        -3.16500263387 -3.17417070272        -2.07950312333 -2.079745775                -1.64263791969 -1.64264108809
8.3 -1.40198951574 -3.61911496975        -3.22051516683 -3.23800425692        -2.16209039977 -2.16231050003              -1.75638867655 -1.75638867655
8.5 -1.45429161017 -3.76716812611        -3.26463749556 -3.28920358086        -2.2941176169 -2.29448699951               -1.9317333274 -1.9317333274
8.7 -1.55808580304 -3.9971108767         -3.33632051341 -3.40944065382        -2.46675054162 -2.46782963981              -2.15826178596 -2.15826178596
8.9 -1.69358335798 -4.20671189867        -3.3106456952 -3.51476567786         -2.64578920026 -2.64809315517              -2.41090620546 -2.41094337229
9.1 -1.84204554952 -4.47208746295        -3.18907603886 -3.63532072711        -2.83347527043 -2.83802238063              -2.6686572586 -2.6686572586
9.3 -2.01564663271 -4.88748889818        -2.87443549901 -3.75386811697        -2.96473683226 -2.97667301145              -2.87519258086 -2.87519258086
9.5 -2.28170055844 -5.26106956099        -2.49402619186 -3.9068446734         -3.05391684055 -3.07698065953              -3.02233934985 -3.02233934985
9.7 -2.76975032226 -5.93448546085        -2.30041143537 -4.07201332477        -3.12782105349 -3.16458088634              -3.13870472217 -3.13870472217
9.9 -3.50014471258 0.0                   -2.28251556447 -4.26770013989        -3.16111700867 -3.22521549988              -3.19979990425 -3.19979990425
10.1 -4.51241177247 -6.77958350087        -2.34674243393 -4.57275762484        -3.10536555529 -3.27199746111              -3.26410705949 -3.26437219654
10.3 -5.77958350087 0.0                   -2.44545156854 -4.80185989558        -2.8303399103 -3.29400402388               -3.30711960426 -3.30726595455
10.5 -6.4785535052 0.0                    -2.76919872937 -5.34821973671        -2.50911429441 -3.33273579071              -3.33820261595 -3.33835982663
10.7 0.0 0.0                              -3.60581467773 -6.00143225048        -2.5330603009 -3.54203976273               -3.50983712774 -3.51077159713
10.9 0.0 0.0                              -4.97340352688 0.0                   -2.79129215896 -3.91035178114              -3.70513278191 -3.7110266058
11.1 0.0 0.0                              0.0 0.0                              -3.06895848581 -4.38513182004              -3.94579912621 -3.96667014423
11.3 0.0 0.0                              0.0 0.0                              -3.38181724474 -5.00873148923              -4.06358015723 -4.18851889384
11.5 0.0 0.0                              0.0 0.0                              -3.82437696333 -5.66564014856              -4.00433724113 -4.53903425259
11.7 0.0 0.0                              0.0 0.0                              -4.60060655357 -6.30246224615              -4.00726179415 -4.92225100444
11.9 0.0 0.0                              0.0 0.0                              -5.82534099143 0.0                         -4.29814087237 -5.34821973671
12.1 0.0 0.0                              0.0 0.0                              -6.4785535052 -6.77958350087               -4.63345546519 -5.73819081571
12.3 0.0 0.0                              0.0 0.0                              0.0 0.0                                    -5.11682566919 -6.17752350954
12.5 0.0 0.0                              0.0 0.0                              0.0 0.0                                    -5.73819081571 0.0
12.7 0.0 0.0                              0.0 0.0                              0.0 0.0                                    -6.30246224615 0.0
