#redshift LBT/Gyr log(rho_SFR) log(rho_sfr_d) log(rho_sfr_b)
16.7999 13.5795 -7.46816613412 -8.68725112969 -7.49521528893
16.5144 13.5739 -7.60441150322 -8.10987198094 -7.76699773798
16.2334 13.5681 -7.0629408875 -7.99191427821 -7.11735798904
15.9569 13.5622 -7.13180103659 -7.46361637972 -7.40408422451
15.6847 13.5561 -6.73720126467 -7.17344493925 -6.93527097875
15.4171 13.5499 -6.65684422183 -6.94888471794 -6.96705373154
15.1535 13.5435 -6.4008721708 -6.7497910409 -6.65877336868
14.8945 13.5369 -6.0920953058 -6.5738358162 -6.26589523162
14.6394 13.5302 -5.84594663028 -6.41967581238 -5.98075510561
14.3884 13.5234 -5.8018375449 -6.20333475031 -6.02133091432
14.1417 13.5164 -5.61340945098 -6.02262414844 -5.82790113834
13.8987 13.5092 -5.37492724472 -5.86977623025 -5.54241881962
13.6595 13.5018 -5.21002429118 -5.72368664526 -5.36893680355
13.4244 13.4942 -5.06510445395 -5.57565582998 -5.22539860397
13.1929 13.4865 -4.92115313696 -5.43623341499 -5.07944064678
12.9651 13.4785 -4.76670242816 -5.30243354079 -4.91621056989
12.7412 13.4704 -4.63324137105 -5.16000960744 -4.78648701091
12.5206 13.4621 -4.48851293996 -5.03433353423 -4.63394193112
12.3037 13.4535 -4.38195753419 -4.89720811593 -4.54017017386
12.0902 13.4448 -4.27484123091 -4.76092672483 -4.44651881523
11.8801 13.4358 -4.14598471651 -4.64269411956 -4.31260354777
11.6735 13.4267 -4.02620052012 -4.5321654479 -4.18855789097
11.4702 13.4173 -3.92153250425 -4.42314556392 -4.08587706393
11.2701 13.4076 -3.82473215094 -4.31258988212 -3.99555309251
11.0732 13.3977 -3.72428334817 -4.21101323993 -3.89564885103
10.8794 13.3876 -3.62836599992 -4.11108598467 -3.8016847295
10.6889 13.3773 -3.54628947979 -4.0126749452 -3.72784982304
10.5014 13.3667 -3.45753175335 -3.91937554249 -3.64146812344
10.3168 13.3558 -3.37543572016 -3.83045750498 -3.56301324674
10.1352 13.3446 -3.2957490882 -3.7426406169 -3.48778274216
9.9565 13.3332 -3.21878422287 -3.65883743984 -3.41466767657
9.78074 13.3215 -3.14830239914 -3.57676482926 -3.35093300725
9.60783 13.3096 -3.07346039552 -3.49872348515 -3.27800431475
9.43754 13.2973 -3.00926986298 -3.42285212605 -3.22099492449
9.2701 13.2847 -2.94171764433 -3.35140008521 -3.15591086107
9.1053 13.2718 -2.87558554095 -3.28375020665 -3.09074918375
8.94313 13.2586 -2.81057793572 -3.2188174723 -3.02569357751
8.78359 13.2451 -2.75116233206 -3.15512825731 -2.96903975872
8.62668 13.2312 -2.69730191857 -3.09279748998 -2.9207879703
8.47221 13.2171 -2.63875958299 -3.03472563685 -2.86192930462
8.32019 13.2025 -2.58511272588 -2.97860296087 -2.80995352391
8.17069 13.1876 -2.53922795081 -2.9233561633 -2.77053479312
8.02356 13.1724 -2.48912997532 -2.87101336716 -2.72202271794
7.87871 13.1567 -2.44124315582 -2.82146108801 -2.675321583
7.73629 13.1407 -2.39593410986 -2.77368221697 -2.63178529019
7.59609 13.1243 -2.35195773584 -2.72825007396 -2.58886196871
7.45816 13.1075 -2.30819954799 -2.68457557996 -2.54504307465
7.32244 13.0902 -2.26708757483 -2.6427208926 -2.50447052554
7.18894 13.0726 -2.23106957203 -2.60161618335 -2.47219018137
7.05756 13.0545 -2.19258173921 -2.56338723404 -2.43351028148
6.92827 13.036 -2.15672120449 -2.52606312089 -2.39873821349
6.80104 13.017 -2.12034402832 -2.49049282449 -2.36176016795
6.67589 12.9976 -2.08274483461 -2.45716367362 -2.32101328746
6.5527 12.9777 -2.04847692639 -2.42502698829 -2.28519428732
6.43152 12.9573 -2.01521326287 -2.39419923433 -2.25017378322
6.31229 12.9364 -1.98609743991 -2.36418605791 -2.22170318264
6.19497 12.915 -1.956267723 -2.33567399528 -2.19092682205
6.0795 12.8931 -1.92984649726 -2.30759344384 -2.16569851465
5.96592 12.8706 -1.90102095063 -2.28126078524 -2.13508373432
5.85415 12.8476 -1.87394509002 -2.2558372548 -2.10683160751
5.74418 12.824 -1.84925962652 -2.23137413504 -2.08198844491
5.63596 12.7999 -1.82318834096 -2.20764259784 -2.05426600272
5.5295 12.7751 -1.79836589373 -2.18480761857 -2.02805285167
5.42471 12.7498 -1.77385570469 -2.16291904908 -2.00172465613
5.32163 12.7238 -1.7516393335 -2.14175233782 -1.97878556824
5.22022 12.6972 -1.73000542223 -2.12082535682 -1.95666657645
5.1204 12.67 -1.70596337709 -2.10149095631 -1.9294278901
5.02221 12.6421 -1.68455918213 -2.0820406057 -1.90671392438
4.92557 12.6135 -1.66438626464 -2.06346580914 -1.88547698143
4.8305 12.5843 -1.6443245192 -2.04545131981 -1.8640616584
4.73694 12.5543 -1.6269718813 -2.02778658925 -1.84691468189
4.6449 12.5236 -1.60789293544 -2.010467333 -1.82667934082
4.55432 12.4921 -1.58781964365 -1.9943323778 -1.80404583412
4.4652 12.4599 -1.56956085512 -1.97858584677 -1.78417374539
4.37753 12.4269 -1.55404816186 -1.96289078651 -1.76877764813
4.29123 12.3931 -1.53971229203 -1.947370778 -1.75520081207
4.20633 12.3585 -1.52120633466 -1.93297811528 -1.7340727314
4.12279 12.3231 -1.50879935221 -1.91786208052 -1.72338812564
4.0406 12.2867 -1.49629657486 -1.90293469991 -1.71244187878
3.95973 12.2496 -1.48280068005 -1.88868429031 -1.69943328335
3.88014 12.2115 -1.46943578855 -1.87532868456 -1.68606238623
3.80185 12.1725 -1.45220648705 -1.86347639726 -1.66539064145
3.7248 12.1326 -1.44141713564 -1.85115914548 -1.65557237876
3.64898 12.0917 -1.43237389024 -1.83895430338 -1.6485564179
3.5744 12.0498 -1.42254191545 -1.82749566074 -1.6397769883
3.501 12.0069 -1.4155089855 -1.81523151312 -1.63617344076
3.42878 11.963 -1.40480354928 -1.8043030906 -1.62561571302
3.35772 11.918 -1.38944729593 -1.79561227306 -1.60589801698
3.2878 11.872 -1.37620041512 -1.78700845782 -1.58967753003
3.219 11.8248 -1.36518908595 -1.77822296065 -1.57725903516
3.15131 11.7766 -1.36868018604 -1.76319878905 -1.59282493962
3.0847 11.7272 -1.35899313826 -1.75207189609 -1.58411321747
3.01916 11.6766 -1.34981374319 -1.74180492276 -1.5756741362
2.95466 11.6248 -1.34163823121 -1.73227892968 -1.5684222475
2.89122 11.5718 -1.33416393796 -1.72284964935 -1.56229362165
2.82878 11.5175 -1.32549385271 -1.71427087495 -1.55356045676
2.76734 11.4619 -1.31296671889 -1.70768238706 -1.53697840529
2.7069 11.4051 -1.30981181941 -1.69938592263 -1.5373287324
2.64743 11.3469 -1.30666255076 -1.69203532653 -1.53709614671
2.5889 11.2873 -1.3049972423 -1.6841206544 -1.53985914113
2.53131 11.2264 -1.29787405137 -1.6777460499 -1.53219973631
