#redshifts[ind], us.look_back_time(redshifts[ind]), np.log10(sfr[ind]*pow(h0,2.0)), np.log10(sfrd[ind]*pow(h0,2.0)), np.log10(sfrb[ind]*pow(h0,2.0))):
17.090052 13.58505 -8.486675679502916 -8.486675679502916 -inf
16.799929 13.579536 -7.2616485815300695 -8.518181641471251 -7.286398128789423
16.514362 13.573886 -7.1271837236077795 -8.244004240967367 -7.161706924292251
16.233356 13.568096 -7.060766122962413 -7.871878888396128 -7.133644973899593
15.956912 13.562165 -7.074439318059251 -7.437920899990507 -7.320879569081431
15.684742 13.556086 -6.484804509212874 -7.206065894488824 -6.576315975120869
15.417127 13.549861 -6.433934543205975 -6.9467502542373625 -6.593221649888679
15.153523 13.543476 -6.24192189608094 -6.715290429546659 -6.419901746400587
14.894461 13.536943 -5.989303814642451 -6.498190513757314 -6.1503431733079434
14.639418 13.530246 -5.7409375441083945 -6.336433266955941 -5.868086605242359
14.388403 13.523382 -5.5787780783059 -6.155971304279168 -5.71233253311391
14.14165 13.516357 -5.4151921262501945 -5.973913575279981 -5.555594490107586
13.898689 13.509154 -5.181563131146651 -5.834547997601611 -5.290772664586584
13.659533 13.501773 -5.075520441452433 -5.664605583785268 -5.204871721939095
13.424395 13.494215 -4.915036980744643 -5.5302763869218845 -5.035669983463485
13.192852 13.486465 -4.793341302445082 -5.388969204839799 -4.920445413647497
12.965116 13.47853 -4.639821924946054 -5.243218472262859 -4.764316055397089
12.741171 13.470404 -4.492000072457801 -5.104942620627389 -4.613371056920041
12.520639 13.462072 -4.358599222571955 -4.9732291141329785 -4.47942756034072
12.30371 13.453538 -4.246387511111165 -4.838258627278336 -4.374776360550128
12.090204 13.444793 -4.112264841012157 -4.715542364654785 -4.236798490851004
11.880125 13.435832 -3.997292804216389 -4.594942430839037 -4.123711671819468
11.673468 13.426655 -3.873053411816137 -4.491720167746968 -3.9925947391395784
11.470227 13.417256 -3.7791176447647117 -4.374912275196943 -3.906165083365601
11.270089 13.40762 -3.6668459675613705 -4.2743550755395745 -3.7899834201859885
11.073212 13.39775 -3.5778815653158365 -4.169417974271857 -3.7063856028932176
10.879447 13.387635 -3.4722430507747193 -4.07251651663929 -3.5977789327447156
10.688934 13.37728 -3.382053142132244 -3.9774591809070015 -3.5092327123213627
10.501391 13.366666 -3.294521984935303 -3.8847426195579233 -3.423479999732785
10.316826 13.35579 -3.2177474349533344 -3.7938230990320587 -3.3517049716085916
10.135238 13.344648 -3.139574813475665 -3.7050279757138207 -3.2774351899090064
9.956503 13.333229 -3.055157293858769 -3.621972460985267 -3.192509918861673
9.780742 13.321537 -2.981893498442875 -3.541568020571058 -3.1219326596050125
9.607828 13.309561 -2.9101895900533172 -3.462953495536683 -3.0528874553130194
9.437542 13.297279 -2.842522557012569 -3.386568752739425 -2.9886593324479516
9.270103 13.284707 -2.774338608448395 -3.3132345643926215 -2.9225528503045712
9.105297 13.271821 -2.705739840886439 -3.2434780355105923 -2.8544258765180106
8.943126 13.258619 -2.638133364610925 -3.177832155009368 -2.786021484643842
8.783587 13.245095 -2.5827396025791414 -3.1110190672355063 -2.7353473710752367
8.6266775 13.231247 -2.5302563974918817 -3.0445770687034344 -2.6888783665261875
8.472209 13.217053 -2.471947243489355 -2.9832285403933687 -2.6319159385345157
8.320186 13.202507 -2.418855207757084 -2.9233923510400768 -2.581861352768004
8.170694 13.187615 -2.3685069296184964 -2.865861254789035 -2.5348244993768003
8.023561 13.172354 -2.320937290584266 -2.8095597919168167 -2.491390164406505
7.878708 13.156711 -2.274936340055151 -2.755734425277301 -2.4492007916690994
7.7362947 13.140697 -2.2282891567386662 -2.7037507206793405 -2.405212645749471
7.596087 13.124282 -2.183228610153528 -2.654433675923529 -2.362308463296663
7.458162 13.107469 -2.145016377615392 -2.6051162511046515 -2.329875216014775
7.322445 13.090244 -2.104384914834024 -2.5582734904514397 -2.292575834983118
7.1889353 13.072601 -2.0676750390057883 -2.512556378411585 -2.260830570316472
7.0575633 13.054527 -2.031324828826907 -2.4682123085779373 -2.229022945369133
6.928265 13.036007 -1.9920582300090337 -2.426815163264353 -2.1909894052332453
6.801042 13.017033 -1.9532249179608565 -2.386991559909212 -2.152732488728554
6.6758933 12.9976 -1.9261356959054752 -2.346280490412525 -2.1337879015551766
6.552699 12.977684 -1.8931888153567749 -2.3081858484130615 -2.1040273781491705
6.4315186 12.957287 -1.8576806498156504 -2.2730990520278587 -2.06825608765523
6.3122935 12.936394 -1.8283995556020958 -2.2382399788272105 -2.0424920814946983
6.194969 12.9149885 -1.801273921547865 -2.204051502380297 -2.01992730234944
6.0794954 12.893055 -1.7765781381600572 -2.170371583178552 -2.001213422964149
5.965923 12.870595 -1.7465000096581635 -2.139207824711225 -1.971872239349808
5.8541503 12.847583 -1.7205504160353646 -2.1092167507195154 -1.9486934884816334
5.7441797 12.824011 -1.6983342937105115 -2.0801670588546592 -1.9312629642519055
5.6359644 12.799862 -1.6759296760976141 -2.052135140321225 -1.9128969431628795
5.5295033 12.775129 -1.6522640608651513 -2.0255732645864937 -1.891345327675522
5.424712 12.749784 -1.6319388166696094 -1.9996020102130139 -1.8752122078572147
5.321632 12.723829 -1.6117416569922143 -1.974476748663239 -1.8587529152160394
5.2202206 12.697247 -1.5917394679207273 -1.9504415456587596 -1.841865887927566
5.1204004 12.670008 -1.569876137982056 -1.9278981548014906 -1.8205329260854644
5.02221 12.642114 -1.5511674223775944 -1.9061673632010565 -1.8041990756519293
4.925575 12.613536 -1.5312579116503577 -1.885954228871551 -1.7845298015255864
4.830496 12.584265 -1.5184768438778795 -1.8653929667850477 -1.778008934521651
4.7369385 12.554282 -1.5022353514340332 -1.8467823277361002 -1.7637144429784588
4.6449018 12.523579 -1.4859741395485657 -1.828618401674462 -1.7490310095574872
4.5543213 12.492123 -1.469834596330089 -1.8115609314289793 -1.7336571733201473
4.4651976 12.459905 -1.4554562780674596 -1.79488131094165 -1.7212116558740358
4.3775296 12.426916 -1.442080796122001 -1.778889737802661 -1.710056422387488
4.2912292 12.393115 -1.4289408444227307 -1.7642654005121419 -1.698187311297724
4.206327 12.3585 -1.4167154457403848 -1.7501935695243027 -1.6875540284392616
4.122793 12.3230505 -1.4080957701190355 -1.7359675078330188 -1.6838468646474918
4.040602 12.286747 -1.3956522211250537 -1.7234890757015922 -1.67143425618772
3.959727 12.249564 -1.3859776338037897 -1.7118112220471913 -1.6635444212127952
3.8801436 12.211483 -1.3730048889820163 -1.701457808794053 -1.6482411775125483
3.8018515 12.172491 -1.3670707462409073 -1.6907396215750838 -1.6465837407491397
3.7248037 12.132555 -1.3605291026615278 -1.6805056772196683 -1.6434046478572235
3.648979 12.09165 -1.3557005487751133 -1.6703145763946237 -1.643558544014812
3.574398 12.049778 -1.3481942421725563 -1.6613553442252769 -1.6374228007185054
3.500997 12.006891 -1.3399709130871915 -1.6525099341678382 -1.6297890210213184
3.4287765 11.962978 -1.33260401733852 -1.6453280084312258 -1.6222466563568667
3.3577163 11.918015 -1.3292121060124997 -1.6376064875160672 -1.6230005152174773
3.287797 11.871976 -1.3211242708131996 -1.630628242968641 -1.6138424751371452
3.2189999 11.824839 -1.3103970884349594 -1.6249191297321637 -1.5983415917143082
3.1513069 11.776577 -1.3082086322562394 -1.6189873937408759 -1.5997039003784066
3.0847003 11.727165 -1.3099354410548782 -1.611329426534239 -1.6106017517142726
3.0191634 11.67658 -1.3011030071668157 -1.606458187178154 -1.5978504690362199
2.9546638 11.624783 -1.301408990348207 -1.6005832802078659 -1.6043026551387354
2.8912172 11.571772 -1.296338433411071 -1.5964677951684454 -1.5982709345858115
2.828777 11.517496 -1.2958185585730764 -1.591862145641554 -1.6018928805652124
2.767344 11.461945 -1.289631087779604 -1.5891916684181062 -1.5921354870493385
2.7069027 11.405088 -1.28797035466684 -1.586190166235507 -1.5918288367435178
2.6474252 11.346888 -1.2888975663740025 -1.5831400993750766 -1.5968227904569674
2.588899 11.287319 -1.2880450318671857 -1.5812475116841296 -1.5970462162281407
2.5313103 11.226352 -1.2879262944621928 -1.5794314067502662 -1.5986947650707102
2.4746473 11.163961 -1.2889959307506067 -1.5779836233007343 -1.6024116899081713
2.418897 11.100121 -1.2933033221434056 -1.5763361533940334 -1.613108648120696
2.364047 11.0348015 -1.291752549294808 -1.5755924739695564 -1.61068116843752
2.3100636 10.96795 -1.292557050582125 -1.5757139524056132 -1.6122273834036513
2.2569578 10.899567 -1.2962404722893996 -1.5751731161488 -1.6205527137719506
2.204697 10.8295965 -1.299490558387031 -1.5743874363543304 -1.6283274538415289
2.153281 10.758025 -1.3020141565833487 -1.57367835007628 -1.6345405231082557
2.1026897 10.6848135 -1.2997536273047925 -1.574585923477409 -1.628663656701597
2.0529037 10.609919 -1.3044774878223508 -1.5743031160258782 -1.6391286776236762
2.003914 10.533315 -1.3085632986715818 -1.5741498627267705 -1.6481884383863803
1.9557203 10.4549885 -1.3134719974490918 -1.5736295017718671 -1.6596245362312014
1.9082956 10.374884 -1.3099903495761807 -1.5751000237199235 -1.6501817002256667
1.8616315 10.292974 -1.3117545986693822 -1.576499853154589 -1.652379542530759
1.8157116 10.209221 -1.3173503082749687 -1.5775620899771037 -1.6634366934256097
