#redshift LBT/Gyr log10(SMD) log10(SMD_d) log10(SMD_b)
16.7999 13.5795 -0.966681544249 -1.90060127378 -1.02044260825
16.5144 13.5739 -0.735150791865 -1.4398877105 -0.830630962634
16.2334 13.5681 -0.341914873112 -1.16596216999 -0.412471500938
15.9569 13.5622 -0.159875567253 -0.74809850293 -0.289526390237
15.6847 13.5561 0.112156014242 -0.398688480608 -0.048007345778
15.4171 13.5499 0.309003234771 -0.108868065336 0.0999513186548
15.1535 13.5435 0.532736299351 0.143953911776 0.304673401096
14.8945 13.5369 0.797271615 0.368532787119 0.594805248197
14.6394 13.5302 1.05834544544 0.570001635702 0.887758554394
14.3884 13.5234 1.23804795172 0.781117255864 1.05149814173
14.1417 13.5164 1.42422737221 0.984534059768 1.22813866048
13.8987 13.5092 1.63347197439 1.18074917554 1.44464745082
13.6595 13.5018 1.83016180007 1.35622076092 1.65247165745
13.4244 13.4942 2.01216636578 1.52603607536 1.8405104986
13.1929 13.4865 2.18505263112 1.68962646121 2.01783240816
12.9651 13.4785 2.35530427974 1.849298531 2.19296541205
12.7412 13.4704 2.51712617767 2.00532146579 2.35739037507
12.5206 13.4621 2.67702563723 2.15901044079 2.52002250962
12.3037 13.4535 2.8241446341 2.30841389784 2.66614285608
12.0902 13.4448 2.9630294484 2.45936997249 2.79962295506
11.8801 13.4358 3.10205172013 2.60117364575 2.93736866962
11.6735 13.4267 3.23867554393 2.73875459678 3.07355044044
11.4702 13.4173 3.36956175727 2.87278703 3.20297347069
11.2701 13.4076 3.49452475723 3.00349478435 3.32522430668
11.0732 13.3977 3.61600565298 3.13320783669 3.44272509112
10.8794 13.3876 3.73388983016 3.2583888599 3.55698615634
10.6889 13.3773 3.84582128793 3.37611071759 3.66597672061
10.5014 13.3667 3.95495379782 3.49164147378 3.77178985309
10.3168 13.3558 4.06048737211 3.60315541941 3.87415270817
10.1352 13.3446 4.16275246915 3.71129668114 3.97323633523
9.9565 13.3332 4.26198867732 3.81639728734 4.06923034659
9.78074 13.3215 4.35751057117 3.91919551729 4.16063334509
9.60783 13.3096 4.45103000935 4.01998458934 4.24992779625
9.43754 13.2973 4.54103939393 4.11761437079 4.33538600352
9.2701 13.2847 4.62878367221 4.21198633014 4.41906642527
9.1053 13.2718 4.71454501514 4.30287194322 4.50161616866
8.94313 13.2586 4.79849425628 4.39223896882 4.58210187287
8.78359 13.2451 4.8799974373 4.47973275602 4.65969158507
8.62668 13.2312 4.95858471448 4.56469072543 4.73401752446
8.47221 13.2171 5.03564290679 4.64627923626 4.80798103863
8.32019 13.2025 5.11064467266 4.72470774238 4.88060551549
8.17069 13.1876 5.18270665473 4.80198586999 4.94898704233
8.02356 13.1724 5.25305371749 4.87711725672 5.01589112812
7.87871 13.1567 5.32166940386 4.95036085558 5.08111351006
7.73629 13.1407 5.38838751175 5.02043121599 5.14533409528
7.59609 13.1243 5.45341787334 5.0909399895 5.20620946932
7.45816 13.1075 5.51695262663 5.15727140147 5.26758723767
7.32244 13.0902 5.57888540743 5.22170651414 5.3275690243
7.18894 13.0726 5.6387878067 5.28440155746 5.38527027045
7.05756 13.0545 5.6973002829 5.34643751202 5.44096908483
6.92827 13.036 5.75431247882 5.40567024364 5.49618682047
6.80104 13.017 5.81008967507 5.46328317412 5.55046792144
6.67589 12.9976 5.86493374791 5.5200497166 5.60373283597
6.5527 12.9777 5.91861486618 5.57510498308 5.65627735885
6.43152 12.9573 5.9711376336 5.6294043692 5.70732084796
6.31229 12.9364 6.0222028242 5.68204297965 5.75706664418
6.19497 12.915 6.0720921706 5.73275232391 5.80626488465
