#HI_density H2_density
#GD14
-2.58065163094 -1.53400421344
-2.36464356145 -1.54580078578
-2.16467574383 -1.56777973724
-1.98716379327 -1.58527733722
-1.83984466059 -1.54103310572
-1.7108634515 -1.41453377543
-1.61306754316 -1.32467007346
-1.53460415816 -1.33428294287
-1.47812376635 -1.37250036609
-1.4409636795 -1.40866720609
-1.41363525804 -1.48100549198
-1.39248033228 -1.56998806887
-1.37154206708 -1.66754519427
-1.32995393489 -1.75542634641
-1.24386795253 -1.83912678534
-1.16475797042 -1.92393110931
-1.11788815692 -2.00652148388
-1.1229564145 -2.09233107796
-1.18880183419 -2.1929961962
-1.28680356205 -2.36050382962
-1.40184390028 -2.61238435757
-1.53308738207 -2.91199817432
-1.72639745792 -3.23341113255
-2.05500455033 -3.55712716419
-2.49583011754 -3.90742722812
-3.00506653514 -4.30829178981
-3.51927355507 -4.68967838943
-4.02600044198 -4.97340352688
-4.51476567786 -5.27443352255
-5.08061349653 -5.87649351388
-5.41785566485 -5.66564014856
-5.77958350087 -6.30246224615
-6.17752350954 -6.4785535052
-6.4785535052 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
