#log10(Mstar/Msun) log10(SFR/Msun)
5.1 -5.84922027588
5.3 -5.35920381546
5.5 -4.87448692322
5.7 -4.86153841019
5.9 -5.11378574371
6.1 -5.58673477173
6.3 -5.69260263443
6.5 -5.45924091339
6.7 -4.78219079971
6.9 -3.40251851082
7.1 -2.95869708061
7.3 -2.75088763237
7.5 -2.54395842552
7.7 -2.33612060547
7.9 -2.12352824211
8.1 -1.88943314552
8.3 -1.63365787268
8.5 -1.3728569746
8.7 -1.1094930172
8.9 -0.849668562412
9.1 -0.601635456085
9.3 -0.377168789506
9.5 -0.175370849669
9.7 0.00613880623132
9.9 0.16511939466
10.1 0.297443062067
10.3 0.352116510272
10.5 -0.132497429848
10.7 -0.249869532883
10.9 -0.137902349234
11.1 0.0659323111176
11.3 0.317444965243
11.5 0.554774433374
11.7 0.726257383823
11.9 0.868448972702
12.1 0.91982960701
12.3 1.10768842697
12.5 1.43480157852
