#model: Shark-Lagos18-final-no-stellar-no-agn-feedback-no-reionisation-no-diskins
#SMF 
#z=0                   z=0.5                 z=1                 z=2                 z=3                 z=4
-2.10785541263 -2.24730060633 -2.38908997436 -2.6232464 -2.81400554296 -2.97845431329
-2.0320008057 -2.16895527237 -2.29390465436 -2.49364382106 -2.64995804883 -2.79627301507
-1.9640588805 -2.09025687955 -2.20047472759 -2.36708935362 -2.47974946022 -2.57758588129
-1.89849570392 -2.01607314892 -2.11114167003 -2.23516815983 -2.29168189084 -2.3362422692
-1.83450901239 -1.94224131681 -2.0248224757 -2.09792626392 -2.10722699134 -2.08909503525
-1.77731805971 -1.87155982973 -1.94047642773 -1.97185234046 -1.94386756985 -2.03225716184
-1.71564622828 -1.80627088042 -1.86722857162 -1.90310585434 -2.06748964774 -2.324997771
-1.65872013647 -1.75114239336 -1.82058028996 -1.97749424299 -2.07790328721 -2.07997988901
-1.60540153773 -1.70943845991 -1.80240424757 -1.87113065314 -1.81487613221 -1.85020034205
-1.55153236084 -1.64990005225 -1.70888084115 -1.70381762265 -1.7953848455 -1.925107419
-1.48416815561 -1.5661640357 -1.6074741011 -1.70670156 -1.68201733053 -1.77976159812
-1.41980491673 -1.50009450803 -1.56724671662 -1.5928785529 -1.6541803176 -1.72066424015
-1.35626552364 -1.4344823928 -1.48024838514 -1.54345956997 -1.59578143872 -1.66896012563
-1.27942115342 -1.36250559146 -1.41806908805 -1.49208633157 -1.55258170488 -1.62009150363
-1.19963536067 -1.29154634501 -1.36211180766 -1.44220811144 -1.50012645571 -1.56628095225
-1.12682192228 -1.23388680773 -1.311106197 -1.39490041336 -1.4423259588 -1.51034616424
-1.05766329575 -1.17589795125 -1.26858566652 -1.344732078 -1.37950335924 -1.46695557548
-0.987719589585 -1.14074594965 -1.24077107124 -1.27623005517 -1.31555323086 -1.44078846924
-0.99601648734 -1.13843771415 -1.19126248339 -1.19354785288 -1.26692311422 -1.48883678526
-0.989647602139 -1.07100794805 -1.08950177056 -1.11667180514 -1.29953916993 -1.66414607589
-0.871204119543 -0.943816221359 -0.983290926065 -1.10774999618 -1.46802458645 -1.84868538646
-0.777805236229 -0.865077447749 -0.939202607555 -1.23325186694 -1.58659533695 -1.81487142163
-0.800795579281 -0.894016492112 -1.02195216645 -1.30313012529 -1.53717128695 -1.80267438958
-0.912259819521 -1.01722458747 -1.13739804759 -1.36892940532 -1.62665947228 -1.94293663313
-1.08256874212 -1.18493133548 -1.28754147851 -1.50105624917 -1.7856977768 -2.14834272063
-1.24738093714 -1.34591605414 -1.44318981682 -1.67488816933 -1.99864004629 -2.408681996
-1.43572607267 -1.52910006692 -1.62914944863 -1.8811819673 -2.24788749085 -2.7091392509
-1.64278052068 -1.73357636275 -1.84061370365 -2.11856633076 -2.51594743228 -3.0296926596
-1.85641722687 -1.94528362798 -2.05420281595 -2.35745347523 -2.80622470098 -3.39112704817
-2.06687488732 -2.14929804082 -2.26929324423 -2.60494230821 -3.12042821993 -3.79505618752
-2.26828850617 -2.35783154429 -2.48516136776 -2.88732189395 -3.49357637879 -4.25713926736
-2.46241891554 -2.55874348503 -2.71764120884 -3.19888656116 -3.92467047856 -4.82054210855
-2.63807101799 -2.77234796332 -2.96780747927 -3.53259280163 -4.3904174165 -5.45736420613
-2.8447316979 -2.99703921686 -3.23862869194 -3.9541573831 -5.00873148923 -6.08061349653
-3.05334545407 -3.25479805155 -3.54531937649 -4.40118559992 -5.70040225482 0.0
-3.26997779626 -3.51665803154 -3.91566612391 -5.05530763127 -6.4785535052 0.0
-3.51476567786 -3.8365839075 -4.32019101311 -5.87649351388 -6.77958350087 0.0
-3.76928354423 -4.18188831494 -4.85530421481 -6.30246224615 0.0 0.0
-4.07629212275 -4.65900956966 -5.3816434922 -6.77958350087 0.0 0.0
-4.44312376702 -5.03922081137 -5.77958350087 0.0 0.0 0.0
-4.79731226783 -5.70040225482 -6.77958350087 0.0 0.0 0.0
-5.28822180703 -6.30246224615 0.0 0.0 0.0 0.0
-5.93448546085 -6.77958350087 0.0 0.0 0.0 0.0
-6.77958350087 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0
#Shark-Lagos18-final-no-stellar-no-agn-feedback
-3.20740918726 -2.8703484975 -2.48797048393 -2.62351918853 -2.8204943865 -2.9900027887
-3.09446903182 -2.76640909099 -2.3876432657 -2.49308212191 -2.6470356584 -2.79537133411
-2.98810338485 -2.6577283187 -2.2933372643 -2.36342581124 -2.48199805557 -2.57181453113
-2.87061620045 -2.57728594473 -2.2036570597 -2.2294285559 -2.29193615335 -2.34102533108
-2.76645122482 -2.47977123537 -2.11234541345 -2.09838750486 -2.10608338236 -2.08944060301
