#Simu=mini-SURFS
#SMF 
#z=0                   z=0.5                 z=1                 z=2                 z=3                 z=4
-3.98162385713 -4.20555223314 -4.38864839376 -4.84508504962 -5.3816434922 -5.73819081571
-3.89252912282 -4.05122971885 -4.29244512539 -4.73426052208 -5.15633421047 -5.57546351821
-3.81016758851 -4.01391494611 -4.15530140503 -4.47423213142 -4.96667014423 -5.50082989992
-3.75264187291 -3.89028179836 -4.03139547386 -4.33087718096 -4.72650505738 -5.2232810001
-3.67237353122 -3.82727549121 -3.93510632512 -4.23304083739 -4.6242474634 -4.92225100444
-3.61523064508 -3.74215700293 -3.86312955232 -4.05041871118 -4.357979574 -4.79731226783
-3.56052316842 -3.67852414596 -3.7377961819 -3.97069763351 -4.23675807391 -4.59489207005
-3.52046765668 -3.58368384846 -3.64924973237 -3.78176042012 -4.03607373614 -4.26370965716
-3.4526335067 -3.52551904795 -3.56447491982 -3.63813372747 -3.80231728844 -3.99854656225
-3.37185277284 -3.43696345831 -3.45695078918 -3.49718799613 -3.56052316842 -3.69643935773
-3.3185354092 -3.36965037754 -3.38988595266 -3.42145821559 -3.65442767129 -4.1807929941
-3.26001799999 -3.33553870495 -3.38513182004 -3.60961532687 -3.90163654924 -4.13711898063
-3.16892333778 -3.28154877718 -3.34389836293 -3.44653947104 -3.51311660543 -3.61911496975
-3.03232710343 -3.09952007339 -3.15499204174 -3.21020959125 -3.39112704817 -3.8491439061
-2.90614663765 -2.9901438163 -3.06066681485 -3.21550952189 -3.34421699426 -3.54128643299
-2.82514801454 -2.91164484998 -2.97859163961 -3.0952768548 -3.30726595455 -3.54964581496
-2.76005181634 -2.84726196888 -2.91816858223 -3.04960921517 -3.21622109138 -3.49696138799
-2.69258338007 -2.78942230797 -2.8586778967 -2.98481670293 -3.17384760699 -3.47380234961
-2.63218546152 -2.71132340709 -2.78561850267 -2.93803633561 -3.10924485974 -3.40428576265
-2.56889052005 -2.64623623528 -2.72569871047 -2.86917256095 -3.07448989032 -3.39219367453
-2.52061116976 -2.58529121932 -2.64371968707 -2.8058093069 -3.03046583851 -3.40245945852
-2.46901762858 -2.52334696766 -2.58668167476 -2.75170409166 -3.00506653514 -3.43993334325
-2.43231204606 -2.48269902533 -2.53821137071 -2.71307122301 -3.00660205052 -3.52334696766
-2.41774238541 -2.46133229067 -2.51982243407 -2.71098951989 -3.07767028966 -3.65900956966
-2.41781790175 -2.4696766653 -2.52843215769 -2.74024871213 -3.18254683589 -3.84407623504
-2.43440588433 -2.48566875984 -2.54337384715 -2.79862618464 -3.29928904087 -4.01916101744
-2.44128641064 -2.49839099726 -2.5711152706 -2.86677710821 -3.41522014625 -4.09924798745
-2.43775344395 -2.49519789087 -2.60456482493 -2.99625173798 -3.56104799565 -4.29244512539
-2.50890466472 -2.60797404465 -2.74849835283 -3.1664819839 -3.72115747641 -4.521904926
-2.64582111608 -2.77221984656 -2.93467162696 -3.35781509966 -3.99998700961 -4.95350869817
-2.82810027012 -2.97592157763 -3.15068393645 -3.58534675214 -4.37134353556 -5.57546351821
-3.06963548436 -3.21776683655 -3.40009668715 -4.01317065376 -4.82534099143 -6.00143225048
-3.34215005707 -3.50289197202 -3.73191930627 -4.4085156386 -5.54913457949 -6.4785535052
-3.58645890251 -3.76338614736 -4.05530763127 -4.89876990859 -6.17752350954 0.0
-3.84156440339 -4.07031353989 -4.46995333344 -5.63345546519 0.0 0.0
-4.08235415811 -4.45530104557 -4.91035178114 -5.87649351388 0.0 0.0
-4.41222757984 -4.79731226783 -5.33242546953 -6.77958350087 0.0 0.0
-4.71139763912 -5.16679964415 -5.93448546085 0.0 0.0 0.0
-5.18851889384 -5.82534099143 -6.4785535052 0.0 0.0 0.0
-5.45736420613 -6.77958350087 0.0 0.0 0.0 0.0
-6.17752350954 0.0 0.0 0.0 0.0 0.0
-6.77958350087 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0
#micro-SURFS
-1.02548728252 -0.945900308871 -0.851356223305 -0.626507894548 -0.49430802269 -0.621894007818
-0.972309901872 -0.892459870409 -0.799627462288 -0.55367527203 -0.522160835473 -0.628145490968
-0.964736499675 -0.878111659065 -0.783161490556 -0.544801246649 -0.571169074512 -0.662361045368
-0.946915339462 -0.868211670268 -0.764860293584 -0.582556536171 -0.626728830851 -0.730196331387
-0.958429802312 -0.870840017981 -0.748994435286 -0.638874899259 -0.685517080454 -0.789673157033
-0.974568532872 -0.884465751663 -0.74473975492 -0.691889260059 -0.752286787724 -0.860420740768
-0.996580728247 -0.899360098121 -0.782275304161 -0.771039695246 -0.840520262787 -0.945992486412
-1.0449585265 -0.911109844227 -0.840881963884 -0.847738619792 -0.924500391717 -1.03353207203
-1.10085493934 -0.939586846954 -0.910854702059 -0.940041272529 -1.00263007676 -1.1237000275
-1.10748957008 -0.990818859561 -0.978028277325 -0.999594869812 -1.07293322233 -1.18421746978
-1.1132775568 -1.05991740165 -1.06051700754 -1.06961187744 -1.16122369392 -1.30502759887
-1.16061882685 -1.14752053647 -1.13666079873 -1.18230708042 -1.27767106607 -1.40665162961
-1.24052601453 -1.22640863739 -1.25119085186 -1.29113396703 -1.39952106444 -1.53310188503
-1.3447167951 -1.34610431859 -1.3387548976 -1.40558783365 -1.52046186483 -1.67412968224
-1.4141720683 -1.41308971389 -1.46376955319 -1.53096950195 -1.64459389791 -1.83663296648
-1.49427544124 -1.51873504553 -1.55878556196 -1.63412846423 -1.78088636874 -1.99379313969
-1.5804854287 -1.6212825099 -1.65015590967 -1.77712078606 -1.92274920192 -2.12217594258
-1.68460713941 -1.70423377311 -1.74404432726 -1.87091756364 -2.05090386658 -2.2826458568
-1.73943638502 -1.78915889471 -1.85943774596 -1.9806163337 -2.18294294361 -2.48556668228
-1.83164511613 -1.89894628724 -1.94058721161 -2.11531490759 -2.32025251424 -2.61478421687
-1.86705714283 -1.97074557967 -2.0544395264 -2.20246508331 -2.43441415983 -2.83377575564
-1.9736833213 -2.07256292717 -2.13766296215 -2.35903420267 -2.5584077503 -3.01704559932
-2.04856265077 -2.12217594258 -2.21770504987 -2.4517882559 -2.84095434027 -3.17194755931
-2.10455783799 -2.16273955752 -2.29688629592 -2.55464760142 -2.93786435327 -3.29688629592
-2.11941850803 -2.29276972972 -2.33130386072 -2.66486308121 -3.15670759275 -3.61910559065
-2.15075826024 -2.21598506947 -2.41498560799 -2.75578273053 -3.3403519897 -3.71601560366
-2.28666713073 -2.37359292284 -2.511895621 -3.08762667361 -3.38865666927 -4.31807559499
-2.44012864336 -2.59379972539 -2.76177309422 -3.22116558198 -3.71601560366 -4.61910559065
-2.72147849936 -2.87874290116 -3.14198433593 -3.41498560799 -4.31807559499 -4.61910559065
-2.8197650412 -3.20413224268 -3.31807559499 -3.66486308121 0.0 0.0
-3.29688629592 -3.41498560799 -3.50516223834 -4.61910559065 0.0 0.0
-3.84095434027 -3.92013558631 -4.01704559932 0.0 0.0 0.0
-3.66486308121 -4.01704559932 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0
#midi-SURFS
-3.18177865846 -3.3735545559 -3.58506915899 -3.99998700961 -4.30976148489 -4.59773991292
-3.02600044198 -3.22183575923 -3.43696345831 -3.78176042012 -4.07801551581 -4.46995333344
-2.89331844184 -3.06819812177 -3.26172808194 -3.57873300278 -3.85789702538 -4.17105746729
-2.73886251727 -2.91052788217 -3.07620613236 -3.36427620864 -3.61731788657 -3.9210463033
-2.49391369491 -2.66437252416 -2.85427140937 -3.16028142499 -3.38008283955 -3.61881493901
-2.32388612758 -2.34256265828 -2.56582674846 -2.88371914962 -3.0932153974 -3.26596642708
-2.25446091671 -2.33699399616 -2.30792514185 -2.5457247383 -2.72554529018 -2.82650065696
-1.97104169862 -2.10279847045 -2.32635692287 -2.33419727784 -2.38886029642 -2.48897021589
-1.7817342323 -1.9120040655 -2.0531660306 -2.44609592249 -2.63747572914 -2.93991694399
-1.64462905814 -1.77620914685 -1.9092088617 -2.16801949878 -2.44392504858 -2.67550629471
