#log10(Mstrar) log10(sAM_stars)  log10(sAM_atom)
8.65 2.331759035587311                   2.535956919193268
8.850000000000001 2.386148989200592      2.5805503129959106
9.050000000000002 2.456601560115814      2.6381230652332306
9.250000000000002 2.527345448732376      2.6987290382385254
9.450000000000001 2.6028969287872314     2.768907755613327
9.650000000000002 2.6769614815711975     2.841938003897667
9.850000000000003 2.762164071202278      2.9289223551750183
10.050000000000002 2.8364883214235306    3.0148580074310303
10.250000000000002 2.874889776110649     3.0712935850024223
10.450000000000003 2.9043821543455124    3.1087296530604362
10.650000000000004 3.0095504224300385    3.18246066570282
10.850000000000003 3.130809560418129     3.264512062072754
11.050000000000002 3.240784704685211     3.2997922003269196
11.250000000000004 3.3572861552238464    3.3569224178791046
11.450000000000005 3.5106348991394043    3.4856403470039368
11.650000000000004 3.61091011762619      3.56458580493927
11.850000000000003 3.7357436418533325    3.8491746187210083
