#redshift LBG/Gyr SFRD_tot[Msun/yr/Mpc^3] SFRD_disk[Msun/yr/Mpc^3] SFRD_bulges[Msun/yr/Mpc^3]
21.7041 13.649912 -20 -20 -20
21.2779 13.645306 -20 -20 -20
20.8596 13.640565 -9.403880341510225 -9.403880341510225 -20
20.4492 13.635689 -8.279332095922587 -8.85418978454386 -8.413730542605586
20.0465 13.630672 -7.785048978507661 -8.592395575951837 -7.858619494771379
19.6513 13.62551 -7.563419259622717 -8.199663000703229 -7.677536269178483
19.2636 13.6202 -7.154237784923906 -7.8996854452428495 -7.24026600716397
18.8832 13.614737 -6.808306527654963 -7.668281050330066 -6.872822702547128
18.5099 13.609116 -6.607678324949084 -7.401786767458211 -6.683737302597779
18.1436 13.6033325 -6.324971468470619 -7.189605085986481 -6.388746085734313
17.7842 13.5973835 -6.132539003538432 -6.905767287365779 -6.212711575041042
17.4315 13.591262 -5.886358150605523 -6.673370133718096 -5.963788739204337
17.0854 13.584963 -5.658395601447747 -6.453987563427405 -5.734171204742966
16.7459 13.578485 -5.45799369833395 -6.230199799147464 -5.538373803189064
16.4127 13.571818 -5.2538853308120155 -6.034480480784105 -5.332579442921601
16.0858 13.5649605 -5.074864759840698 -5.852428360276008 -5.154163631357163
15.765 13.557904 -4.9061998847549395 -5.661300360342841 -4.990141822507711
15.4503 13.550646 -4.731021742494571 -5.491825790479598 -4.8137571551691885
15.1414 13.543177 -4.578183912859642 -5.319863701776345 -4.665041941477948
14.8384 13.535494 -4.425888154854101 -5.157463061969452 -4.5150155565966354
14.541 13.527588 -4.284128856362624 -5.0037774388669245 -4.376019486676483
14.2492 13.519454 -4.146448335904975 -4.853713586901349 -4.241309059747375
13.9629 13.511086 -4.01616298264156 -4.707854247233501 -4.114911902716463
13.682 13.502479 -3.885595003310389 -4.572467836281788 -3.985582702975822
13.4064 13.493624 -3.766195685344967 -4.440443778144075 -3.8695124974980524
13.1359 13.484511 -3.651171632576843 -4.312572483043754 -3.758004656403256
12.8705 13.475137 -3.5360934989644273 -4.192249272633465 -3.644400687725532
12.6101 13.465493 -3.4317539883442274 -4.075579327762666 -3.5436182018730804
12.3545 13.455567 -3.3317564710952325 -3.9625977858688994 -3.447510237831422
12.1038 13.44536 -3.2348767887949013 -3.85506804928091 -3.3539361680187376
11.8578 13.434859 -3.1420093048625355 -3.753236472739936 -3.2639348180650734
11.6164 13.424054 -3.053731772480694 -3.6545968451515445 -3.1790695470268098
11.3795 13.412936 -2.9720762762817468 -3.558459391523118 -3.1023689653882682
11.1471 13.401501 -2.890767580304286 -3.46727996640422 -3.024567432179598
10.919 13.389733 -2.8159706115762524 -3.3789634644741526 -2.9547537484411888
10.6952 13.377627 -2.7425590055317013 -3.2950939833682433 -2.8853459530486667
10.4757 13.365178 -2.6705566606934954 -3.2155902095558044 -2.816299094777195
10.2602 13.352364 -2.6062696669112584 -3.1376192604466495 -2.7575912384042263
10.0488 13.339184 -2.5416920588756318 -3.0643284419453978 -2.6966979297983458
9.84138 13.325624 -2.4820036650015544 -2.9933825287378775 -2.6419289171176605
9.63783 13.311673 -2.425884652664405 -2.925373747532035 -2.5912096757027876
9.43811 13.297321 -2.3726204356769363 -2.8603067825221147 -2.543523992709589
9.24214 13.282557 -2.3212268301808847 -2.7982380021757844 -2.497373141064416
9.04985 13.267367 -2.2719585532654296 -2.7392387741926276 -2.453055236001518
8.86115 13.251739 -2.228072384746719 -2.681754650094952 -2.4163752441265043
8.67605 13.235665 -2.1836527346808805 -2.627474392536162 -2.3774029370671106
8.49433 13.219121 -2.1406755997274187 -2.5764452989359925 -2.3390194433734948
8.3161 13.202108 -2.104334734626796 -2.5271519423165074 -2.3103566681469654
8.14119 13.184604 -2.0677575949737883 -2.4804489262728233 -2.280043333955528
7.96958 13.166597 -2.035248874452562 -2.435538999598981 -2.2555379153075035
7.80119 13.148074 -2.003476839298093 -2.393169676067619 -2.23091201579421
7.63595 13.129016 -1.9743278070327894 -2.352643944491342 -2.2097697399034537
7.47379 13.109408 -1.9464589858137642 -2.314389024567511 -2.189532097708043
7.31469 13.089238 -1.9204445853378511 -2.2777118912733685 -2.171691694017616
7.1586 13.068493 -1.8960680260941027 -2.242843887949853 -2.155714847678577
7.00544 13.047151 -1.8722329822625838 -2.210134393649869 -2.139278433241536
6.85509 13.025187 -1.8523964425402175 -2.1784961162016914 -2.129725270884434
6.70766 13.002607 -1.8323928664736764 -2.148752690340496 -2.118615751219536
6.56292 12.979367 -1.8114721060700505 -2.120829574896249 -2.1043313059666566
6.42093 12.955465 -1.7928635257936096 -2.0944219145622127 -2.0933657704519093
6.28162 12.930881 -1.7760626102758863 -2.0689354170482703 -2.0854059458267775
6.1449 12.905586 -1.7594650267165106 -2.0444734056975236 -2.077130409664974
6.01075 12.879568 -1.7413081700458601 -2.0215405424396398 -2.0641820661645447
5.87914 12.852808 -1.7252052376197775 -1.9991831430503268 -2.055084986903514
5.74996 12.8252735 -1.707644812428761 -1.9776662964228895 -2.0420687278868077
5.62326 12.796963 -1.6923061811116211 -1.9566491164147075 -2.033410738461875
5.49891 12.767835 -1.673160869032632 -1.9370007152245778 -2.014866542859311
5.3769 12.737875 -1.6556796536576708 -1.917921834921806 -1.9993044815051557
5.2869 12.714846 -1.615597137531087 -1.9077679539941048 -1.925670800828908
5.19813 12.691313 -1.630691801950504 -1.8857059300087977 -1.9831975076836335
5.11068 12.667295 -1.6176412949696208 -1.8661509286632634 -1.9784282425321527
5.02442 12.642754 -1.6033021413923447 -1.850043800145811 -1.966389404191459
4.93937 12.617686 -1.5908533571739816 -1.8352865177589006 -1.9569769374052857
4.85556 12.592096 -1.5760572651951914 -1.8218016723445287 -1.9404516088246373
4.77291 12.565953 -1.5628799000375249 -1.809226813360672 -1.9264837199611837
4.69142 12.539251 -1.551041634253681 -1.7974888992877216 -1.9145140328647188
4.61111 12.511991 -1.5381597206543738 -1.7866108692519873 -1.8990224194382033
4.53189 12.484135 -1.5291768230347254 -1.7758926308226863 -1.8922978808139455
4.45381 12.455694 -1.516977490062968 -1.7661192293236847 -1.8769472115082497
4.37684 12.426652 -1.508525246389938 -1.7565459214917898 -1.869946225510911
4.30093 12.396982 -1.500570951453157 -1.7470844817560278 -1.863956607033196
4.22613 12.366698 -1.494642559387267 -1.7380186534811821 -1.8621690263917112
4.15236 12.33576 -1.4868586300143523 -1.7291301029098438 -1.8558596257177324
4.07965 12.304175 -1.4800024789210342 -1.719929944632435 -1.8521616710175046
4.00794 12.271909 -1.4719500807886121 -1.7112001530652365 -1.845029450062812
3.93727 12.238973 -1.464018549121537 -1.7029240872258904 -1.8375672378073036
3.86758 12.20533 -1.4560548838872909 -1.6948135374088396 -1.8298039242496202
3.79888 12.17098 -1.4500344365256195 -1.6868108490766276 -1.826503029086961
3.73113 12.135894 -1.4417664671276949 -1.6793461048788751 -1.8171295181460407
3.66435 12.100075 -1.4369323617049394 -1.671532069543102 -1.8164215313115686
3.59853 12.06351 -1.4295866397557213 -1.6641842239249005 -1.8090787740492218
3.53363 12.026169 -1.423692260816631 -1.656790927562734 -1.8052856179846286
3.46963 11.988033 -1.4182166891237251 -1.6495932114752916 -1.8022458536832966
3.40655 11.949106 -1.4111945220575732 -1.6427493208770239 -1.7949704474349861
3.34435 11.909354 -1.4050965258588062 -1.636045484111062 -1.7897340660727359
3.28304 11.868777 -1.3972362822643722 -1.6300290105611919 -1.779260659233057
3.22258 11.827338 -1.396242638224943 -1.6234265772267928 -1.7863007755863318
3.16299 11.785044 -1.3908845189119838 -1.6173102156203993 -1.7820482971402056
3.10423 11.741858 -1.388265952270059 -1.6108951290354268 -1.7850379434863635
3.04629 11.697762 -1.3847209351645258 -1.6047787139980434 -1.7853613248394986
2.98918 11.652757 -1.3789407692051927 -1.5989268106148744 -1.7796899062167826
2.93287 11.60681 -1.3732463128151553 -1.5935370528176793 -1.7735338662038624
2.87737 11.559919 -1.374115450743402 -1.5874421159647225 -1.7851605849475294
