#will print SFR density
#redshift LBG/Gyr SFRD_tot[Msun/yr/Mpc^3] SFRD_disk[Msun/yr/Mpc^3] SFRD_bulges[Msun/yr/Mpc^3]
23.208385 13.664568 -20 -20 -20
22.821434 13.661018 -20 -20 -20
22.441162 13.657387 -20 -20 -20
22.066986 13.6536665 -20 -20 -20
21.698898 13.649857 -20 -20 -20
21.336386 13.64595 -20 -20 -20
20.979954 13.6419525 -20 -20 -20
20.628635 13.63785 -20 -20 -20
20.283388 13.633652 -20 -20 -20
19.943724 13.629354 -20 -20 -20
19.60921 13.624946 -20 -20 -20
19.280273 13.620434 -20 -20 -20
18.956495 13.615809 -7.2006344891824625 -7.2006344891824625 -20
18.637878 13.6110735 -6.609238791716426 -6.609238791716426 -20
18.324419 13.606222 -5.748646445515721 -6.874476869904397 -5.782432493943358
18.015745 13.601249 -6.177291046964889 -6.242632863458152 -7.032145514746217
17.712225 13.596158 -5.910353264437011 -6.0351557657337125 -6.512822218304314
17.413494 13.590941 -5.382209492660477 -6.144381565620998 -5.464658356745104
17.119553 13.585598 -5.530447186585423 -6.008471369618671 -5.706087684478914
16.83008 13.58012 -5.631272093511975 -5.7435013117187985 -6.273857332469105
16.545399 13.574511 -5.398463951284209 -5.524225552079155 -5.9980646634567085
16.265491 13.56877 -5.1249024627791995 -5.380601385161703 -5.4765525473908685
15.989756 13.562882 -5.125137388342264 -5.177338138513007 -6.071083930441959
15.718494 13.556853 -4.617355264331694 -5.152109551914656 -4.767265459087187
15.451697 13.550679 -4.790268723062646 -5.016323154792974 -5.181975600577283
15.188827 13.544347 -4.60864741031641 -4.9396000736498715 -4.881684171731578
14.930416 13.537866 -4.467705884218379 -4.8374469860962686 -4.709425383283428
14.676192 13.531228 -4.363288224353854 -4.69023185200893 -4.63986413153635
14.425909 13.5244255 -4.289735675601944 -4.542725041608968 -4.644789100661134
14.179574 13.517455 -4.175542798085364 -4.410466807903259 -4.554579642539231
13.937189 13.510316 -3.9461914286762174 -4.347434334840683 -4.1658521197100775
13.69875 13.503004 -4.006933462580132 -4.197838495207112 -4.455861980159157
13.464035 13.49551 -3.7266591976861565 -4.124990093854499 -3.9482475509565647
13.233052 13.487834 -3.7627104848022017 -4.026816353255372 -4.104098111286737
13.005798 13.479971 -3.620457777236049 -3.9630597050482117 -3.8835498960114387
12.782268 13.47192 -3.5706569914314192 -3.8591940522829256 -3.8845499651924764
12.562264 13.463671 -3.4956825848839213 -3.7694988595898624 -3.8257462412828303
12.345789 13.455221 -3.426377000266519 -3.6819177184409053 -3.7782244848081272
12.132667 13.446561 -3.4003637957132447 -3.5899699258930124 -3.8516551325785935
11.922902 13.437687 -3.2459613049662432 -3.519427865733998 -3.57642337517536
11.7166605 13.428604 -3.0920045221256993 -3.4684136493704694 -3.3288240491262107
11.513609 13.419294 -3.089386315373706 -3.3908685655904853 -3.389964526952363
11.313906 13.409763 -3.0543952869042186 -3.3160704553013045 -3.3987049742493247
11.117247 13.399992 -2.9860101643794987 -3.245600072594121 -3.3328555937648683
10.923783 13.389986 -2.9317923253181357 -3.191350418929787 -3.2786766518179618
10.733371 13.379733 -2.910028606574832 -3.130280759939445 -3.310374569297084
10.546011 13.36923 -2.8832880402100405 -3.0618341855606364 -3.355540763564092
10.3617 13.358475 -2.7397095155910987 -3.0211690380587024 -3.061233669824096
10.180305 13.347455 -2.7368782579199546 -2.9641971892038583 -3.1267400513567916
10.001826 13.336168 -2.711492813960338 -2.901775846301376 -3.161550319936132
9.826143 13.324603 -2.5957326197433717 -2.8611469254136925 -2.9355621248052715
9.653371 13.312762 -2.556472511929659 -2.8132143988751825 -2.9068252663939624
9.483279 13.300628 -2.536146249619671 -2.761404378368538 -2.9290218545522424
9.315872 13.288194 -2.4679274645401374 -2.727827571756088 -2.814393970590715
9.151151 13.275458 -2.43835983270111 -2.688737250669115 -2.7967398337373113
8.989112 13.262417 -2.4477144366316645 -2.6361784984259495 -2.901099862322697
8.829652 13.249057 -2.385957559538892 -2.5941965111468526 -2.8051469840825503
8.672677 13.235365 -2.3648385503762257 -2.5562266375096834 -2.812893410441884
8.51828 13.221347 -2.2705709907938383 -2.5338705443733542 -2.61292393931508
8.366278 13.20698 -2.2674890834421775 -2.496127804293485 -2.655439124678333
8.21676 13.192268 -2.252852780345463 -2.4575407182956335 -2.677876567909883
8.069636 13.177199 -2.216558607371608 -2.4232637033640527 -2.6382527211539624
7.924826 13.161759 -2.193277126160442 -2.3866302608569625 -2.6378058957777792
7.78233 13.145944 -2.1208620038903367 -2.3579447152865147 -2.4969084401235597
