#SMF all galaxies from z=0, 10
#log10(Mstar/Msun) phi phi_err redshift
#SMF all galaxies from z=0, 10
5.0625 -1.1085605804436283 -1.1265128073945332 0.0
5.1875 -1.0570507609938617 -1.0851810858302462 0.0
5.3125 -1.0290220373936183 -1.050622253378585 0.0
5.4375 -0.9799379666543511 -1.0028612018209984 0.0
5.5625 -0.9747063947587274 -0.9791412420098743 0.0
5.6875 -0.9599883906848556 -0.9773935757403542 0.0
5.8125 -0.9522881998925985 -0.9718791512570495 0.0
5.9375 -0.9670527424021355 -0.9692257715056846 0.0
6.0625 -0.9568011724240529 -0.9743913461544846 0.0
6.1875 -0.9664338687927375 -0.9919036496970846 0.0
6.3125 -1.0053905885974999 -1.0108363587846205 0.0
6.4375 -1.0442875154187388 -1.0279519067119525 0.0
6.5625 -1.048562650768343 -1.0721682933585828 0.0
6.6875 -1.0649315144152853 -1.1062078343295945 0.0
6.8125 -1.1454726637763994 -1.141984335930578 0.0
6.9375 -1.194615975542921 -1.1817355984532152 0.0
7.0625 -1.2249341902351096 -1.2144086812394674 0.0
7.1875 -1.2940827903797885 -1.2924420839255613 0.0
7.3125 -1.3486596826322779 -1.3275591509580302 0.0
7.4375 -1.400885286474695 -1.3888610912488655 0.0
7.5625 -1.4469698940006739 -1.42243209016218 0.0
7.6875 -1.4959075156182418 -1.4680423372964904 0.0
7.8125 -1.5612873962181413 -1.5279312299433587 0.0
7.9375 -1.5987443080025325 -1.5869705437703387 0.0
8.0625 -1.636111135991576 -1.6218940078177355 0.0
8.1875 -1.6606372722832967 -1.6777929652895784 0.0
8.3125 -1.780508337833584 -1.7023359063671042 0.0
8.4375 -1.7579297551372117 -1.7484676274394348 0.0
8.5625 -1.8397977630666547 -1.843276776185628 0.0
8.6875 -1.8659823459685279 -1.8771665129210415 0.0
8.8125 -1.9335429794920107 -1.8771665129210415 0.0
8.9375 -1.9208310139758729 -1.913926345776564 0.0
9.0625 -1.972505838929867 -1.9571037112603233 0.0
9.1875 -2.096922273031554 -1.9510926190084084 0.0
9.3125 -2.0311702420138844 -2.116132531584609 0.0
9.4375 -2.0628030898829532 -2.116132531584609 0.0
9.5625 -2.086606004555578 -2.116132531584609 0.0
9.6875 -2.152534518263886 -2.129428298986542 0.0
9.8125 -2.2596495705292536 -2.221861009639854 0.0
9.9375 -2.307775638346447 -2.3111818870383587 0.0
10.0625 -2.361907164510896 -2.301042255687479 0.0
10.1875 -2.432714374954747 -2.335804361946691 0.0
10.3125 -2.385601830309106 -2.480487156750748 0.0
10.4375 -2.522891005303835 -2.4754663553756973 0.0
10.5625 -2.511895621002372 -2.5698875679800586 0.0
10.6875 -2.6088056340104284 -2.6088056340104284 0.0
10.8125 -2.80220175127458 -2.7522277763127416 0.0
10.9375 -3.053257771976723 -3.0927663132603964 0.0
11.0625 -3.210865625338391 -2.983621843835328 0.0
11.1875 -3.3735929228360906 -3.0927663132603964 0.0
11.3125 -3.335804361946691 -3.1597131028910095 0.0
11.4375 -3.7160156036582968 -3.8129256166663534 0.0
11.5625 -3.8129256166663534 -4.113955612330335 0.0
11.6875 -4.414985607994316 -4.113955612330335 0.0
11.8125 -3.9378643532746533 -4.113955612330335 0.0
11.9375 0.0 -4.414985607994316 0.0
12.0625 0.0 -4.414985607994316 0.0
12.1875 0.0 0.0 0.0
12.3125 0.0 0.0 0.0
12.4375 0.0 0.0 0.0
12.5625 0.0 0.0 0.0
12.6875 0.0 0.0 0.0
12.8125 0.0 0.0 0.0
12.9375 0.0 0.0 0.0
13.0625 0.0 0.0 0.0
13.1875 0.0 0.0 0.0
13.3125 0.0 0.0 0.0
13.4375 0.0 0.0 0.0
13.5625 0.0 0.0 0.0
13.6875 0.0 0.0 0.0
13.8125 0.0 0.0 0.0
13.9375 0.0 0.0 0.0
14.0625 0.0 0.0 0.0
14.1875 0.0 0.0 0.0
14.3125 0.0 0.0 0.0
14.4375 0.0 0.0 0.0
14.5625 0.0 0.0 0.0
14.6875 0.0 0.0 0.0
14.8125 0.0 0.0 0.0
14.9375 0.0 0.0 0.0
5.0625 -1.094423927799079 -1.1170063638349532 0.1
5.1875 -1.0418896209155886 -1.0743432304336102 0.1
5.3125 -1.0098100617763264 -1.0146203346443767 0.1
5.4375 -0.9650446192209781 -0.996187317403962 0.1
5.5625 -0.9569524154978096 -0.970628482338288 0.1
5.6875 -0.9369966317434263 -0.9524378791916515 0.1
5.8125 -0.9305434003519086 -0.9388788911541242 0.1
5.9375 -0.9398958046053091 -0.9479697895558801 0.1
6.0625 -0.938153979482055 -0.9635062028694538 0.1
6.1875 -0.941936802905778 -0.9630457386292126 0.1
6.3125 -0.9750216720734107 -0.9948647599086127 0.1
6.4375 -1.0163512834559234 -1.0165247583860924 0.1
6.5625 -1.0254651421479382 -1.0472570619073391 0.1
6.6875 -1.0466987230921847 -1.0684370494458417 0.1
6.8125 -1.1305548741497962 -1.1202989837148725 0.1
6.9375 -1.1769395048655202 -1.1541989393393393 0.1
7.0625 -1.210594276075016 -1.200671710569916 0.1
7.1875 -1.2885294945625112 -1.2670002873105104 0.1
7.3125 -1.339803753375624 -1.3074364782496293 0.1
7.4375 -1.3843858860283644 -1.3831733366639454 0.1
7.5625 -1.4309085740914849 -1.42243209016218 0.1
7.6875 -1.4891580333695733 -1.5129827166435863 0.1
7.8125 -1.5347438320988354 -1.4850560479097277 0.1
7.9375 -1.5824766952880793 -1.558256717611433 0.1
8.0625 -1.6177180671635991 -1.5961001934003058 0.1
8.1875 -1.6809863214559286 -1.6508094756039848 0.1
8.3125 -1.7588874059814836 -1.7006558482490826 0.1
8.4375 -1.7865966779440041 -1.7979852668734166 0.1
8.5625 -1.8118412353741333 -1.8183885123678554 0.1
8.6875 -1.87091756364404 -1.85627703746115 0.1
8.8125 -1.9364191124004722 -1.9071297362984847 0.1
8.9375 -1.9236239141600429 -1.912558488009883 0.1
9.0625 -1.9884743466297403 -1.943693896935377 0.1
9.1875 -2.070593334309205 -2.017045599322278 0.1
9.3125 -2.017045599322278 -2.058959750801193 0.1
9.4375 -2.0628030898829532 -2.090703152696623 0.1
9.5625 -2.08254714807871 -2.140827758730636 0.1
9.6875 -2.1621325770144226 -2.1362320070414866 0.1
9.8125 -2.275106521593079 -2.2506327522098784 0.1
9.9375 -2.301042255687479 -2.278265040837909 0.1
10.0625 -2.354287767640704 -2.361907164510896 0.1
10.1875 -2.4959075156182418 -2.335804361946691 0.1
10.3125 -2.3937963089243777 -2.4282138737280707 0.1
10.4375 -2.511895621002372 -2.480487156750748 0.1
10.5625 -2.501171755610599 -2.5954416724524467 0.1
10.6875 -2.6825918481713473 -2.761773094218972 0.1
10.8125 -2.8352020113775054 -2.7337443706187283 0.1
10.9375 -3.053257771976723 -2.8586831072270282 0.1
11.0625 -3.210865625338391 -3.0725629271721093 0.1
11.1875 -3.3735929228360906 -3.1139556123303342 0.1
11.3125 -3.4149856079943155 -3.636834357610672 0.1
11.4375 -3.7160156036582968 -3.511895621002372 0.1
11.5625 -3.8129256166663534 -3.511895621002372 0.1
11.6875 -4.414985607994316 -4.414985607994316 0.1
11.8125 -4.113955612330335 0.0 0.1
11.9375 0.0 -3.9378643532746533 0.1
12.0625 0.0 -4.414985607994316 0.1
12.1875 0.0 0.0 0.1
12.3125 0.0 0.0 0.1
12.4375 0.0 0.0 0.1
12.5625 0.0 0.0 0.1
12.6875 0.0 0.0 0.1
12.8125 0.0 0.0 0.1
12.9375 0.0 0.0 0.1
13.0625 0.0 0.0 0.1
13.1875 0.0 0.0 0.1
13.3125 0.0 0.0 0.1
13.4375 0.0 0.0 0.1
13.5625 0.0 0.0 0.1
13.6875 0.0 0.0 0.1
13.8125 0.0 0.0 0.1
13.9375 0.0 0.0 0.1
14.0625 0.0 0.0 0.1
14.1875 0.0 0.0 0.1
14.3125 0.0 0.0 0.1
14.4375 0.0 0.0 0.1
14.5625 0.0 0.0 0.1
14.6875 0.0 0.0 0.1
14.8125 0.0 0.0 0.1
14.9375 0.0 0.0 0.1
5.0625 -1.0302738650560332 -1.0511856625152063 0.5
5.1875 -0.9828183385517274 -0.9833002633083039 0.5
5.3125 -0.9438406428336826 -0.926293909677375 0.5
5.4375 -0.8929328071254932 -0.9233438145167295 0.5
5.5625 -0.8745309943229036 -0.9019012475291714 0.5
5.6875 -0.8555578082348257 -0.873656030327622 0.5
5.8125 -0.8424625101446781 -0.87290746165869 0.5
5.9375 -0.8483124703881991 -0.8664733516532801 0.5
6.0625 -0.842695001842898 -0.8690602786384729 0.5
6.1875 -0.8497282645741019 -0.8815948999767642 0.5
6.3125 -0.8734063640477348 -0.8916294013395228 0.5
6.4375 -0.940332354632253 -0.9298322580906633 0.5
6.5625 -0.9525876100953595 -0.9686037957718735 0.5
6.6875 -0.996021777290693 -1.0052215037279695 0.5
