#log(SFR/Msun yr^1) vs log(stellar mass/Msun)
#"Date: 2/8/18  11:52:33 AM"
#from Brinchmann et al. (2004), Figure 17
#IMF=Kroupa
#h=0.7
#log(mass) log(SFR)
6.52293 -2.21203 
6.68795 -1.82954 
6.81005 -1.81420 
6.89689 -1.60825 
6.98469 -1.90131 
7.08884 -1.62188 
7.40283 -1.59082 
7.60297 -1.32555 
7.78572 -1.08973 
7.91669 -1.14772 
8.09943 -0.911897 
8.28223 -0.705427 
8.41309 -0.704716 
8.49143 -0.616229 
8.59612 -0.615660 
8.70055 -0.483000 
8.79634 -0.394418 
8.90099 -0.379172 
9.29282 0.00455682 
9.39754 -0.00955087 
9.47582 0.108290 
9.59798 0.0942770 
9.89405 0.374747 
9.99874 0.375316 
10.1902 0.596511 
10.3995 0.641679 
10.4779 0.715489 
10.6022 -0.399279 
10.7850 -0.192809 
10.9245 -0.192050 
11.1073 0.0290971 
11.1942 0.205692 
11.2903 0.118153 
11.4289 0.676628 
11.6057 -0.555269 
11.8936 -0.583058 
#low boundary of 0.02 probability
6.51545 -2.85786 
6.59404 -2.90146 
6.70728 -2.81278 
6.91679 -2.88503 
7.01224 -2.62033 
7.16018 -2.42872 
7.28180 -2.16388 
7.37776 -2.16336 
7.56079 -2.07430 
7.74371 -1.92654 
7.80455 -1.80879 
7.94415 -1.82271 
8.26634 -1.51274 
8.42308 -1.36512 
8.59738 -1.27611 
8.81514 -1.09881 
9.00686 -0.995026 
9.19861 -0.905922 
9.38164 -0.816866 
9.59959 -0.742297 
9.69538 -0.653715 
9.82638 -0.726387 
9.92256 -0.843279 
9.92310 -1.12214 
10.0022 -1.44460 
10.2726 -1.41378 
10.6211 -1.19173 
10.8737 -0.984878 
11.0827 -0.792942 
11.2920 -0.718421 
11.3793 -0.761977 
11.4582 -0.967024 
11.5549 -1.34810 
11.8254 -1.39066 
11.9129 -1.50760 
#upper boundary of 0.02 probability
6.51249 -1.31680 
6.57327 -1.16970 
6.66920 -1.15450 
6.80020 -1.22717 
6.89599 -1.13859 
7.14841 -0.843683 
7.28776 -0.725510 
7.37492 -0.681006 
7.44454 -0.592566 
7.79317 -0.429225 
8.08055 -0.163479 
8.26355 -0.0597458 
8.52495 0.103121 
8.83869 0.266272 
9.10003 0.458492 
9.40502 0.636273 
9.61413 0.769502 
9.90170 0.932511 
10.1283 1.06583 
10.3636 1.18453 
10.6949 1.27439 
10.9740 1.29058 
11.1221 1.40881 
11.2615 1.51230 
11.3840 1.32217 
11.4800 1.32269 
11.5930 1.52878 
11.7583 1.72048 
11.8636 1.44219 
11.8817 1.06069 
