#This relation is calculated for central galaxies with stellar masses between 10.6-11 in log10(Msun) using SDSS.
#Data from Shi et al. (2022ApJ...927..189S)
#logSFR logMHI logMHI_error logMH2 logMH2_error log(MHI+MH2) log(MHI+MH2)_error
-1.03 10.078 0.201 9.107 0.064 10.282 0.205
-1.01 10.078 0.201 9.107 0.064 10.282 0.205
-0.99 10.078 0.201 9.107 0.064 10.226 0.16
-0.97 10.169 0.158 9.217 0.098 10.226 0.16
-0.95 10.169 0.158 9.217 0.098 10.226 0.16
-0.93 10.121 0.137 9.267 0.094 10.226 0.16
-0.91 10.121 0.137 9.267 0.094 10.226 0.16
-0.89 10.121 0.137 9.267 0.094 10.226 0.16
-0.87 10.121 0.137 9.267 0.094 10.339 0.141
-0.85 10.121 0.137 9.267 0.094 10.339 0.141
-0.83 10.121 0.137 9.267 0.094 10.339 0.141
-0.81 10.192 0.139 9.331 0.083 10.339 0.141
-0.79 10.192 0.139 9.331 0.083 10.339 0.141
-0.77 10.192 0.139 9.331 0.083 10.301 0.11
-0.75 10.271 0.178 9.331 0.083 10.301 0.11
-0.73 10.271 0.178 9.331 0.083 10.301 0.11
-0.71 10.22 0.14 9.371 0.078 10.243 0.096
-0.69 10.22 0.14 9.371 0.078 10.243 0.096
-0.67 10.22 0.14 9.371 0.078 10.243 0.07
-0.65 10.143 0.123 9.412 0.071 10.243 0.07
-0.63 10.143 0.123 9.412 0.071 10.173 0.086
-0.61 10.143 0.085 9.433 0.082 10.173 0.086
-0.59 10.143 0.085 9.433 0.082 10.136 0.085
-0.57 10.076 0.095 9.376 0.087 10.136 0.085
-0.55 10.076 0.095 9.376 0.087 10.136 0.085
-0.53 10.03 0.089 9.421 0.102 10.077 0.08
-0.51 10.03 0.089 9.421 0.102 10.077 0.08
-0.49 10.03 0.089 9.421 0.102 10.085 0.096
-0.47 9.959 0.075 9.419 0.123 10.085 0.096
-0.45 9.959 0.075 9.419 0.123 10.085 0.096
-0.43 9.972 0.088 9.407 0.146 10.08 0.077
-0.41 9.972 0.088 9.407 0.146 10.053 0.069
-0.39 9.972 0.088 9.407 0.146 10.053 0.069
-0.37 9.966 0.071 9.415 0.118 10.053 0.069
-0.35 9.933 0.067 9.409 0.099 10.053 0.069
-0.33 9.933 0.067 9.409 0.099 10.053 0.069
-0.31 9.933 0.067 9.409 0.099 10.053 0.069
-0.29 9.933 0.067 9.409 0.099 10.053 0.069
-0.27 9.933 0.067 9.409 0.099 10.041 0.078
-0.25 9.933 0.067 9.409 0.099 10.036 0.066
-0.23 9.933 0.067 9.409 0.099 10.036 0.066
-0.21 9.921 0.076 9.392 0.112 10.029 0.078
-0.19 9.913 0.064 9.4 0.094 10.029 0.078
-0.17 9.913 0.064 9.4 0.094 9.94 0.061
-0.15 9.912 0.076 9.371 0.107 9.94 0.061
-0.13 9.912 0.076 9.371 0.107 9.993 0.045
-0.11 9.817 0.054 9.322 0.101 9.993 0.045
-0.09 9.817 0.054 9.322 0.101 10.072 0.085
-0.07 9.857 0.052 9.422 0.025 10.072 0.085
-0.05 9.857 0.052 9.422 0.025 10.072 0.085
-0.03 9.95 0.1 9.448 0.031 10.05 0.06
-0.01 9.95 0.1 9.448 0.031 10.077 0.057
0.01 9.95 0.1 9.448 0.031 10.077 0.057
0.03 9.881 0.092 9.508 0.045 10.084 0.051
0.05 9.899 0.08 9.557 0.062 10.084 0.051
0.07 9.899 0.08 9.557 0.062 10.087 0.059
0.09 9.897 0.07 9.581 0.063 10.119 0.061
0.11 9.897 0.07 9.581 0.063 10.119 0.061
0.13 9.89 0.081 9.601 0.069 10.119 0.061
0.15 9.914 0.093 9.642 0.068 10.119 0.061
0.17 9.914 0.093 9.642 0.068 10.093 0.057
0.19 9.914 0.093 9.642 0.068 10.127 0.059
0.21 9.914 0.093 9.642 0.068 10.127 0.059
0.23 9.894 0.08 9.611 0.064 10.127 0.059
0.25 9.936 0.08 9.634 0.06 10.175 0.064
0.27 9.936 0.08 9.634 0.06 10.175 0.064
0.29 9.936 0.08 9.634 0.06 10.175 0.064
0.31 9.986 0.089 9.68 0.055 10.175 0.064
0.33 9.986 0.089 9.68 0.055 10.175 0.064
0.35 9.986 0.089 9.68 0.055 10.175 0.064
0.37 9.986 0.089 9.68 0.055 10.199 0.061
0.39 9.986 0.089 9.68 0.055 10.157 0.059
0.41 9.986 0.089 9.68 0.055 10.14 0.063
0.43 10.01 0.082 9.708 0.056 10.14 0.063
0.45 9.935 0.086 9.707 0.046 10.173 0.065
0.47 9.904 0.089 9.727 0.047 10.213 0.072
0.49 9.904 0.089 9.727 0.047 10.209 0.082
0.51 9.937 0.087 9.761 0.054 10.209 0.082
0.53 9.984 0.096 9.793 0.061 10.214 0.093
0.55 9.981 0.109 9.785 0.069 10.214 0.093
0.57 9.981 0.109 9.785 0.069 10.214 0.093
0.59 9.99 0.123 9.779 0.078 10.214 0.093
0.61 9.99 0.123 9.779 0.078 10.214 0.093
0.63 9.99 0.123 9.779 0.078 10.214 0.093
0.65 9.99 0.123 9.779 0.078 10.214 0.093
0.67 9.99 0.123 9.779 0.078 10.261 0.096
