#From Katsianis et al. (2021; MNRAS.500.2036)
#phi is the number density in log10(Mpc^-3 dex ^-1)
#samples:
#phi1: 9.5-10
#phi2: 10-10.5
#phi3: 10.5-11
#phi4: 11-11.5
#log10(SSFR/yr^-1) phi1 phi1err phi2 phi2err phi3 phi3err phi4 phi4err
-12.900000     0 0                          0 0                           0 0                      1.38E-08  1.17E-08
-12.700000     0 0                          0 0                           0 0                      4.84E-07  1.23E-07
-12.500000     0 0                          0 0                           9.75E-07  3.25E-07      6.04E-06  5.94E-07
-12.300000     0 0                          0 0                           3.06E-05  2.02E-06      6.60E-05  2.41E-06
-12.100000     0 0                          0 0                           5.29E-04  1.74E-05      4.53E-04  1.10E-05
-11.900000     0 0                          2.69E-04  1.31E-05           1.59E-03  5.01E-05      6.69E-04  1.67E-05
-11.700000     0 0                          8.87E-04  4.04E-05           1.31E-03  3.81E-05      3.86E-04  1.10E-05
-11.500000     5.02E-05  6.99E-06          1.15E-03  5.47E-05           8.05E-04  2.44E-05      2.13E-04  6.11E-06
-11.300000     4.27E-04  4.06E-05          8.99E-04  4.51E-05           6.19E-04  1.85E-05      1.86E-04  5.41E-06
-11.100000     8.06E-04  7.00E-05          6.99E-04  3.45E-05           5.16E-04  1.54E-05      1.99E-04  5.34E-06
-10.900000     8.40E-04  7.38E-05          6.71E-04  2.96E-05           5.28E-04  1.38E-05      1.64E-04  4.83E-06
-10.700000     8.34E-04  5.31E-05          8.40E-04  3.23E-05           6.94E-04  1.81E-05      1.25E-04  3.46E-06
-10.500000     1.21E-03  7.88E-05          1.20E-03  3.94E-05           8.83E-04  2.24E-05      1.04E-04  3.08E-06
-10.300000     1.91E-03  9.66E-05          1.88E-03  5.88E-05           8.48E-04  2.30E-05      8.21E-05  2.87E-06
-10.100000     2.81E-03  1.29E-04          2.07E-03  7.18E-05           5.09E-04  1.45E-05      4.16E-05  1.63E-06
-9.900000      3.11E-03  1.28E-04          1.03E-03  3.95E-05           2.31E-04  8.25E-06      1.70E-05  9.72E-07
-9.700000      1.41E-03  8.18E-05          2.10E-04  1.19E-05           6.26E-05  3.09E-06      1.67E-06  2.83E-07
-9.500000      3.42E-04  3.68E-05          4.42E-05  4.64E-06           8.94E-06  1.28E-06      4.26E-08  4.26E-08
-9.300000      6.20E-05  1.21E-05          6.30E-06  1.87E-06           7.35E-07  3.85E-07      0 0
-9.100000      1.57E-05  7.74E-06          4.16E-06  1.57E-06           0 0                      0 0
-8.900000      5.58E-06  3.37E-06          4.54E-07  4.54E-07           0 0                      0 0
