#stacking all galaxies
#redshift Mlow Mhigh Mmed SFR sfr_errhigh sfr_errlow
1  9.4 9.7       9.54       1.42 0.87  0.63
1  9.7 9.9       9.80       0.97 0.07  0.05
1  9.9 10.1      9.99       1.10 0.04  0.04
1  10.1 10.3     10.20      1.21 0.03  0.03
1  10.3 10.5     10.40      1.26 0.03  0.02
1  10.5 10.7     10.60      1.28 0.05  0.04
1  10.7 10.9     10.80      1.30 0.03  0.03
1  10.9 11.6     11.05      1.36 0.04  0.03
2  9.9 10.1 9.99    1.42 0.04  0.05
2  10.1 10.3 10.19  1.59 0.05  0.04
2  10.3 10.5 10.39  1.72 0.03  0.02
2  10.5 10.7 10.59  1.76 0.03  0.02
2  10.7 10.9 10.79  1.79 0.02  0.03
2  10.9 11.6 11.04  1.88 0.46  0.03
3  10.1 10.3 10.19    1.92 0.08  0.09
3  10.3 10.5 10.40    2.10 0.09  0.12
3  10.5 10.7 10.60    2.09 0.05  0.05
3  10.7 10.9 10.80    2.21 0.06  0.04
3  10.9 11.6 11.05    2.36 0.03  0.03
4  10.3 10.5   10.39 2.07 0.05  0.06
4  10.5 10.7   10.58 2.21 0.07  0.07
4  10.7 10.9   10.78 2.34 0.05  0.09
4  10.9 11.6   11.06 2.42 0.05  0.07
