#This relation is calculated for central galaxies with stellar masses between 10.6-11 in log10(Msun) using SDSS.
#Data from Shi et al. (2022ApJ...927..189S)
#logSFR logMHI logMHI_error logMH2 logMH2_error log(MHI+MH2) log(MHI+MH2)_error
-0.45 9.873 0.088 9.162 0.126 9.878 0.088
-0.43 9.873 0.088 9.162 0.126 9.878 0.088
-0.41 9.85 0.075 9.125 0.106 9.886 0.066
-0.39 9.85 0.075 9.125 0.106 9.886 0.066
-0.37 9.831 0.062 9.179 0.096 9.886 0.066
-0.35 9.831 0.062 9.179 0.096 9.886 0.066
-0.33 9.831 0.062 9.179 0.096 9.886 0.066
-0.31 9.831 0.062 9.179 0.096 9.886 0.066
-0.29 9.831 0.062 9.179 0.096 9.886 0.066
-0.27 9.831 0.062 9.179 0.096 9.886 0.066
-0.25 9.831 0.062 9.179 0.096 9.886 0.066
-0.23 9.831 0.062 9.179 0.096 9.972 0.092
-0.21 9.831 0.062 9.179 0.096 9.972 0.092
-0.19 9.899 0.08 9.241 0.096 9.972 0.092
-0.17 9.899 0.08 9.251 0.111 9.972 0.092
-0.15 9.899 0.08 9.251 0.111 9.972 0.092
-0.13 9.899 0.08 9.251 0.111 10.035 0.107
-0.11 9.899 0.08 9.251 0.111 10.043 0.082
-0.09 9.947 0.114 9.243 0.096 10.043 0.082
-0.07 9.939 0.087 9.312 0.086 10.081 0.073
-0.05 9.939 0.087 9.312 0.086 10.081 0.073
-0.03 9.973 0.08 9.371 0.077 10.081 0.073
-0.01 9.973 0.08 9.371 0.077 10.073 0.081
0.01 9.973 0.08 9.371 0.077 10.138 0.074
0.03 9.966 0.089 9.353 0.083 10.14 0.066
0.05 10.029 0.087 9.419 0.061 10.166 0.064
0.07 10.037 0.077 9.398 0.058 10.166 0.064
0.09 10.061 0.079 9.432 0.045 10.202 0.062
0.11 10.061 0.079 9.432 0.045 10.153 0.057
0.13 10.102 0.078 9.44 0.051 10.131 0.056
0.15 10.043 0.072 9.44 0.04 10.15 0.054
0.17 9.995 0.08 9.464 0.042 10.15 0.054
0.19 10.014 0.075 9.492 0.047 10.15 0.054
0.21 10.014 0.075 9.492 0.047 10.151 0.051
0.23 10.014 0.075 9.492 0.047 10.157 0.047
0.25 10.007 0.07 9.511 0.05 10.157 0.047
0.27 10.007 0.065 9.538 0.052 10.145 0.049
0.29 10.007 0.065 9.538 0.052 10.145 0.049
0.31 9.988 0.068 9.539 0.057 10.163 0.049
0.33 9.988 0.068 9.539 0.057 10.163 0.049
0.35 10.008 0.065 9.558 0.056 10.163 0.049
0.37 10.008 0.065 9.558 0.056 10.144 0.046
0.39 10.008 0.065 9.558 0.056 10.156 0.053
0.41 9.983 0.061 9.578 0.054 10.176 0.052
0.43 9.993 0.071 9.583 0.063 10.167 0.055
0.45 10.011 0.067 9.612 0.064 10.167 0.055
0.47 9.977 0.078 9.638 0.063 10.167 0.055
0.49 9.977 0.078 9.638 0.063 10.164 0.052
0.51 9.977 0.078 9.638 0.063 10.148 0.056
0.53 9.967 0.075 9.65 0.057 10.147 0.062
0.55 9.934 0.079 9.679 0.063 10.147 0.062
0.57 9.917 0.086 9.724 0.051 10.152 0.058
0.59 9.917 0.086 9.724 0.051 10.152 0.058
0.61 9.906 0.08 9.744 0.053 10.193 0.063
0.63 9.906 0.08 9.744 0.053 10.229 0.061
0.65 9.924 0.097 9.815 0.036 10.211 0.067
0.67 9.974 0.097 9.833 0.036 10.211 0.067
0.69 9.938 0.105 9.84 0.041 10.211 0.067
0.71 9.938 0.105 9.84 0.041 10.216 0.076
0.73 9.938 0.105 9.84 0.041 10.212 0.092
0.75 9.944 0.119 9.839 0.047 10.255 0.086
0.77 9.932 0.142 9.836 0.056 10.255 0.086
0.79 9.984 0.128 9.878 0.06 10.255 0.086
0.81 9.984 0.128 9.878 0.06 10.23 0.1
0.83 9.984 0.128 9.878 0.06 10.23 0.1
0.85 9.931 0.142 9.894 0.069 10.23 0.1
0.87 9.931 0.142 9.894 0.069 10.23 0.1
0.89 9.931 0.142 9.894 0.069 10.23 0.1
0.91 9.931 0.142 9.894 0.069 10.191 0.117
0.93 9.931 0.142 9.894 0.069 10.269 0.128
0.95 9.862 0.16 9.888 0.086 10.269 0.128
0.97 9.972 0.174 9.934 0.103 10.269 0.128
