#"log10(Ms/Mh)(log10(Mh/Msun))  created by Plot Digitizer  2.6.8"
#"Date: 21/08/23  12:19:15 PM"
#
#
#136
#log10(Mh/Msun) log10(Ms/Mh)
8.82188 -3.05307 
8.80394 -1.63956 
9.20627 -2.56087 
9.29336 -2.52556 
9.30230 -1.61826 
9.29557 -1.48795 
9.50744 -1.49744 
9.91815 -1.36608 
9.59273 -2.60501 
9.63698 -2.77032 
9.77458 -2.90531 
10.0623 -3.20535 
9.75457 -2.56451 
9.93583 -2.71443 
10.2099 -2.69369 
10.0224 -2.53877 
10.0715 -2.35819 
10.3215 -2.55807 
10.3713 -2.53288 
10.4777 -2.65793 
10.6459 -2.66754 
10.1358 -2.87433 
9.86516 -2.16322 
9.90123 -1.82227 
10.1678 -1.47574 
10.0513 -1.96225 
10.1578 -2.10234 
10.2895 -2.33760 
10.8337 -2.88762 
11.1715 -3.23765 
11.1640 -2.92188 
10.9953 -2.78696 
10.7949 -2.52681 
10.7576 -2.53192 
10.6638 -2.45696 
10.7319 -2.35153 
10.4885 -2.22682 
10.4813 -1.99125 
10.4550 -1.63041 
10.5920 -1.61001 
10.6665 -1.54466 
10.7538 -1.55447 
10.6545 -1.64996 
10.7543 -1.69983 
10.7113 -1.84029 
10.7924 -1.88520 
10.8983 -1.86489 
10.9416 -1.77956 
10.9982 -1.93481 
10.8498 -2.21589 
10.8997 -2.24584 
10.9368 -2.15051 
11.1114 -2.19518 
11.0683 -2.34066 
11.1496 -2.42066 
11.0884 -2.69149 
11.1382 -2.69137 
11.4001 -2.73081 
11.4060 -2.66563 
11.3248 -2.59566 
11.2937 -2.62080 
11.3930 -2.51529 
11.1995 -2.41552 
11.3551 -2.39007 
11.3673 -2.30482 
11.2733 -2.16972 
11.0854 -1.91454 
11.0973 -1.76414 
11.7105 -2.45434 
11.6223 -2.19390 
11.5223 -2.12398 
11.4536 -2.06901 
11.4972 -2.06389 
11.3032 -1.84883 
11.4026 -1.78342 
11.5397 -1.78308 
11.3213 -1.70342 
11.2715 -1.71859 
11.2650 -1.63840 
11.2648 -1.59329 
11.3955 -1.56289 
11.1396 -1.44322 
11.1514 -1.27277 
11.4509 -1.38731 
11.5700 -1.56245 
11.7013 -1.67240 
11.8963 -2.15813 
11.9347 -2.41368 
12.0154 -2.34330 
12.8227 -3.25858 
13.0238 -2.09014 
11.9451 -1.89234 
12.0004 -1.68167 
12.1879 -1.83659 
12.1749 -1.70630 
12.2933 -1.69598 
12.3676 -1.58551 
12.5232 -1.53500 
12.2055 -1.55584 
12.1616 -1.47575 
12.0803 -1.40578 
11.9498 -1.49633 
11.9059 -1.42125 
11.8123 -1.39141 
11.7628 -1.47174 
11.6628 -1.38677 
11.6499 -1.29157 
11.7746 -1.30629 
11.9056 -1.33604 
11.9556 -1.38604 
11.8052 -1.17088 
11.6806 -1.15615 
11.6119 -1.12123 
11.7244 -1.20115 
12.1363 -1.38058 
12.1983 -1.30022 
12.1543 -1.21511 
12.0981 -1.17014 
12.1478 -1.13994 
12.0042 -1.06511 
11.9916 -1.02504 
12.1287 -1.02470 
12.2098 -1.05958 
12.2848 -1.11955 
12.3909 -1.17442 
12.5717 -1.18901 
12.6093 -1.24906 
12.5972 -1.34433 
12.1533 -0.949449 
12.1160 -0.964580 
11.9969 -0.774400 
11.6282 -0.509656 
11.2417 -3.65854 
10.5625 -3.64019 
11.7499 -1.36651 
11.8306 -1.29111 
