#"log10(Mcen)(log10(Mhalo))  created by Plot Digitizer  2.6.8"
#"Date: 3/08/22  4:19:43 PM"
#
#
#30
#log10(Mhalo) log10(Mcen)
#sat kin
11.7780 9.94685 
11.9076 10.1508 
12.0697 10.3300 
12.2318 10.5402 
12.4198 10.7318 
12.6143 10.9110 
12.8606 11.1273 
13.1070 11.3066 
13.3987 11.4920 
13.6840 11.6712 
#clusters
13.7682 11.8690 
13.7747 12.0420 
14.0211 12.2522 
14.0081 12.4067 
14.1767 12.2213 
13.9951 11.9740 
14.1248 11.9555 
14.2739 11.9926 
14.3323 11.7948 
14.7407 12.0791 
14.5721 12.2089 
15.0972 12.4314 
14.9352 12.5241 
14.8055 12.3881 
14.7472 12.3820 
14.6045 12.3820 
14.5267 12.4314 
14.4100 12.2769 
14.3841 12.3387 
14.3906 12.3881 
