#log_{10}(Mstar/Msun) log_{10}(med(R50)/kpc) Ngal log_{10}(sigma_R50)
7.875 0.023928107799314667 113.0 0.030234402629256727
8.125 0.020639404292328755 246.0 0.03925351809565998
8.375 0.1391785277131195 480.0 0.03388209509256983
8.625 0.25541533919419696 819.0 0.03300145548004641
8.875 0.32253715413970485 1498.0 0.03460546952611725
9.125 0.386884904783267 2088.0 0.030471976174258977
9.375 0.41726934551944767 2321.0 0.03221575403428964
9.625 0.4273724851753237 2173.0 0.03392487641182378
9.875 0.4317402296584704 1767.0 0.034638027078690105
10.125 0.44294555914654027 1574.0 0.035634566669008334
10.375 0.4673033434723316 1439.0 0.03928813983352966
10.625 0.5166444480123363 1425.0 0.030793006622088104
10.875 0.612771071960958 1064.0 0.030248286221782775
11.125 0.7344988861455367 595.0 0.030766205552970063
11.375 0.8439311722392832 175.0 0.02761251960045475
