#log_{10}(Mstar/Msun) log_{10}(med(R50)/kpc) Ngal log_{10}(sigma_R50)
7.875 -0.119904799089 113.0 0.02522485797756163
8.125 -0.13148373095100002 246.0 0.03277517247036486
8.375 -0.0215441399991 480.0 0.025524156814811353
8.625 0.110616219286 819.0 0.030217802337565488
8.875 0.18180447067400002 1498.0 0.03210325448056965
9.125 0.245269534076 2088.0 0.028540977888777574
9.375 0.275213259391 2321.0 0.029255838234251815
9.625 0.311473797717 2173.0 0.02912518997146147
9.875 0.320229889225 1767.0 0.033634289766577584
10.125 0.33405851163199995 1574.0 0.032181701083545365
10.375 0.3728846024 1439.0 0.03322321541098842
10.625 0.421590281039 1425.0 0.026337319707922975
10.875 0.5216345644575 1064.0 0.02348796950226911
11.125 0.671255386508 595.0 0.02378553958105896
11.375 0.821208933603 175.0 0.02399213603590454
