# log_{10}(Mstar/Msun)   log_{10}(med(R50)/kpc)   Ngal
7.125 -0.123809709281 6
7.375 -0.0174639469389 14
7.625 0.0905830217862 24
7.875 0.100445930553 34
8.125 0.179274741455 36
8.375 0.192147354494 36
8.625 0.265078005168 35
8.875 0.269970892655 28
9.125 0.435060324441 32
9.375 0.520843005612 31
9.625 0.490747564484 40
9.875 0.47492179152 55
10.125 0.51795334952 78
10.375 0.57065261654 104
10.625 0.660761933536 125
10.875 0.720550198496 131
11.125 0.788136620059 87
11.375 0.967633536429 43
11.625 1.0604334067 23
11.875 1.19295500589 8
12.125 0.0 0
12.375 0.0 0
12.625 0.0 0
12.875 0.0 0
