#GASSID RA DEC lg_M_star_disk lg_M_star_total lg_M_HI lg_M_mol lg_M_bar_disk lg_M_bar_total j_star_disk j_star_total j_bar_disk j_bar_total
11834 0.19954 14.27755 10.268173360891609 10.552615676107438 9.603 9.540508222052094E8 10.396346957356574 10.6238840267482 975.8215381852777 575.9659886755182 1226.8347713912074 776.0602674837922
11825 0.54247 14.1362 10.362152688765516 10.695876473508664 9.244 7.56783601179887E7 10.405959549903852 10.716742093876437 1371.3996850512601 732.7824363591883 1403.5772403075384 777.5429966397134
124028 1.50998 14.41746 9.181786627041822 9.181786627041822 9.41 1.706679889925406E8 9.712691933443784 9.712691933443784 411.1395332074946 411.1395332074946 711.7570809764941 711.7570809764941
124012 1.62208 14.18237 9.756647446718585 9.811640502800183 8.939 5.848263085711942E8 9.873208516472564 9.915869263548409 541.498845762459 500.64303679635776 566.7244983784499 529.3258472002432
11910 1.63573 15.66799 10.17159340458887 10.259274842074134 9.418 2.2464971441718453E8 10.269621504382187 10.340956407208342 617.0043815360171 509.81488944275884 819.5310243230209 698.9434348514
11956 2.08654 15.15601 9.901780955578841 9.901780955578841 9.163 5.524424386906154E8 10.020909430824377 10.020909430824377 501.1615532969596 501.1615532969596 600.3914361027737 600.3914361027737
12044 5.13605 15.34736 10.02727040799346 10.02727040799346 9.9 4.514805209789866E9 10.413069735287008 10.413069735287008 688.4132019486975 688.4132019486975 1155.3644461342801 1155.3644461342801
124007 5.81194 14.80954 9.274505208668534 9.274505208668534 9.48 2.2198577458333233E8 9.79101803184954 9.79101803184954 216.95661250132426 216.95661250132426 624.5721952626272 624.5721952626272
124000 5.93277 14.30672 9.258500637800806 9.295781239909367 9.4 2.713217419547646E8 9.738447174607684 9.751151233646333 451.00903985899316 416.5381987597742 761.8631169429771 739.1624860535595
124025 6.40208 14.11529 8.993048303626367 8.993048303626367 9.48 3.8098967966212976E8 9.735761793154495 9.735761793154495 151.48702463999365 151.48702463999365 480.76757000074355 480.76757000074355
12062 6.48359 15.63752 10.081600200795995 10.081600200795995 9.824 1.0488924516523527E9 10.344742243453632 10.344742243453632 411.0057865147562 411.0057865147562 1097.9268561033387 1097.9268561033387
11994 6.49573 14.34799 10.166079803842834 10.166079803842834 10.26 1.0919560196580856E9 10.60547854322918 10.60547854322918 887.1595746477986 887.1595746477986 2739.2002511703145 2739.2002511703145
3163 7.19513 15.0915 10.59039316529149 10.62811337480687 9.562 2.8388079492998137E9 10.66934236111463 10.701015330197935 1024.9671071242412 941.6908945539741 1158.6585101268888 1074.1420801072209
124003 7.40992 0.41037 9.24450565226638 9.24450565226638 9.04 3.559653333687232E8 9.555352584288414 9.555352584288414 284.9789984949747 284.9789984949747 402.44788861540917 402.44788861540917
3151 7.92941 14.48647 -1 10.553356721441537 8.917 1.2381817392009956E8 -1 10.568150199851857 -1 2110.543770868902 -1 2083.590079921724
3189 10.09787 14.61375 10.010334726720867 10.033736973737003 9.72 1.220174561725847E9 10.268247899204598 10.281325938075105 1493.9266402366475 1417.1725802792307 2061.2785973476857 1996.1461571992518
27219 10.35548 13.72639 10.027874396201323 10.027874396201323 9.154 1.0364962084076148E9 10.13430287454949 10.13430287454949 568.4923996119599 568.4923996119599 648.1023981649487 648.1023981649487
27207 11.63148 14.98497 9.949477565112195 10.386288991007927 9.98 2.8376841418355722E9 10.391497313064345 10.602800932745238 723.6116403597692 429.0290626745461 2053.231478514203 1341.1937668009432
27204 11.89638 14.15513 10.033781254558692 10.175569318953267 10.05 2.193326775563735E9 10.44947032264862 10.50950583413698 883.8520650070266 660.9949429895748 1627.168211446058 1412.7803691017887
124002 12.2654 15.48553 9.235230754804824 9.235230754804824 8.984 2.245356774358605E8 9.511151376493697 9.511151376493697 201.98107383282672 201.98107383282672 360.07734823999607 360.07734823999607
3233 12.89187 13.91464 10.191994736705645 10.191994736705645 9.258 2.628718354591183E9 10.314572846193855 10.314572846193855 445.774150984542 445.774150984542 552.8506452290862 552.8506452290862
124027 13.11632 14.51829 9.792670678186331 9.792670678186331 9.7 3.836134060377584E8 10.125599086328224 10.125599086328224 814.7387439694619 814.7387439694619 1334.5280390678442 1334.5280390678442
3261 13.88588 15.77582 10.038929439060208 10.038929439060208 9.958 1.1707014583629384E9 10.386749858532154 10.386749858532154 394.7986601630082 394.7986601630082 1154.7569253680672 1154.7569253680672
3305 14.29028 14.65185 10.321322810926263 10.607527590173236 10.13 2.016645514704987E9 10.614732171806724 10.783434872024388 1611.867375627908 953.2451135519916 2751.8939860215264 1923.7890868023521
3284 15.72436 14.19455 10.353061840281242 10.632506351934609 9.182 1.7298550443767745E9 10.4204211226926 10.669200074539948 937.3064979575455 750.6095475987806 941.4913854122765 761.1781463236199
3439 17.27486 14.75578 9.531024100076392 10.30078838316387 9.535 5.993356290553855E8 9.935665470671854 10.401668891428931 1135.904773598444 445.6207103015704 1419.975217391148 669.44169035805
3465 18.09092 15.01085 9.998006465622863 10.078321601634316 9.405 4.341425671736572E8 10.140465808901913 10.199775037409147 321.1583086394519 271.8344052058573 608.3706121678647 533.065160165658
3645 18.7573 15.4135 9.908206824133043 10.278186454516295 9.501 1.785238423619564E8 10.098721817281259 10.369821365303759 839.3050804294887 473.4660068731719 1158.3203291544196 711.1581997791761
101021 19.22327 0.15313 9.27252817878009 9.27252817878009 9.155 1.7257449990230468E8 9.599286740994058 9.599286740994058 252.81985517704516 252.81985517704516 501.24294635169343 501.24294635169343
3524 19.31707 14.62238 10.465373165060289 10.637084078920154 9.42 8.39094663116887E8 10.526201027433762 10.678968267785086 458.36119779066036 526.5848602084865 596.2563863615696 618.5137072272194
