#data from Kurapati et al. (2018)
#IDGalaxy Mstar errup errdn Mgas errup errdn Mbar errup errdn jstar errup errdn jgas errup errdn  jbar  errup errdn
  KK246         7.70   0.114 0.155   8.11     0.119  0.165  8.25    0.094 0.121  1.10  0.081 0.100   1.96     0.062  0.073    1.84   0.062 0.073
  DDO47         7.55   0.114 0.155   8.85     0.119  0.165  8.87    0.114 0.156  2.06  0.062 0.072   2.43     0.061  0.071    2.42   0.061 0.071
  UGC4115       7.57   0.114 0.155   8.71     0.119  0.165  8.74    0.112 0.152  1.74  0.073 0.088   2.11     0.064  0.075    2.09   0.064 0.075
  UGC3501       7.09   0.121 0.168   8.07     0.119  0.165  8.11    0.110 0.147  1.36  0.062 0.073   1.45     0.063  0.073    1.44   0.063 0.073 
  J07374724     6.07   0.114 0.155   7.38     0.119   0.165 7.41    0.115 0.156  0.92  0.063 0.074   1.22     0.063   0.074   1.21   0.063 0.074
  J09263343     6.09   0.114 0.155   7.85     0.119   0.165 7.86    0.118 0.162  1.33  0.080 0.098   1.52     0.073   0.088   1.52   0.073 0.088
  UGC5288       8.14   0.114 0.155   9.08     0.119   0.165 9.13    0.109 0.146  2.16  0.062 0.072   2.73     0.061   0.071   2.70   0.061 0.071
  UGC4148       7.46   0.114 0.155   9.10     0.119   0.165 9.11    0.117 0.161  2.24  0.062 0.072   2.53     0.061   0.071   2.53   0.061 0.071
  J063023       8.22   0.115 0.157   9.29     0.119  0.165  9.33    0.111 0.150  2.22  0.063 0.073   2.67     0.061  0.071    2.65   0.061 0.071
  J062624       7.73   0.115 0.157   8.95     0.119  0.165  8.97    0.114 0.154  2.37  0.062 0.072   2.41     0.062  0.072    2.41   0.062 0.072
  J09291155     7.43   0.114 0.155   8.68     0.119  0.165  8.70    0.114 0.155  2.23  0.063 0.073   2.32     0.062  0.073    2.32   0.062 0.073  
