#   Mstar      err     Mgas       err    Mbar       err     jstar      err      jgas     err    jbar      err    Rd    rstar   rgas   rbar  
   9.0e+06  2.3e+06   5.3e+07  9.4e+06   6.2e+07  9.6e+06      7.9     10.2     10.1      3.5      9.8     3.30   0.68   0.79   0.81   0.80  
   7.9e+07  5.1e+07   2.4e+08  1.5e+08   3.2e+08  1.6e+08     41.3     21.6     71.3     25.1     63.9    19.70   0.69   0.96   0.99   0.99  
   6.0e+07  8.9e+07   2.1e+07  3.1e+07   8.1e+07  9.4e+07     47.9     47.8     63.6     50.6     52.0    37.70   0.58   0.93   0.93   0.93  
   3.3e+07  9.6e+06   1.4e+08  3.1e+07   1.8e+08  3.3e+07     39.5     19.8     62.5      8.3     58.2     7.80   0.82   0.98   0.85   0.88  
   4.2e+07  2.9e+07   1.2e+08  7.7e+07   1.6e+08  8.2e+07     48.7     23.7     64.8     26.0     60.5    20.10   0.80   0.90   0.92   0.92  
   1.5e+07  3.5e+06   2.6e+08  4.1e+07   2.8e+08  4.1e+07     31.8     16.1    154.0      8.5    147.6     8.30   0.54   0.99   0.81   0.82  
   8.4e+07  2.2e+07   2.7e+08  5.2e+07   3.6e+08  5.7e+07     64.3     14.0    108.5     12.8     98.0    10.60   1.03   0.99   0.87   0.89  
   1.6e+07  4.3e+06   4.5e+07  6.9e+06   6.1e+07  8.1e+06      0 0              21.4      2.0       0      0      0.50   0       0.74  0       
   1.4e+07  4.0e+06   3.7e+07  6.4e+06   5.2e+07  7.6e+06      7.2      9.0      9.2      1.5      8.7     2.70   0.82   0.23   0.21   0.21  
   3.6e+07  9.7e+06   5.4e+07  8.2e+06   9.0e+07  1.3e+07     17.4      4.9     24.3      3.3     21.5     4.80   0.40   0.03   0.84   0.15  
   5.0e+05  1.3e+05   1.7e+06  3.0e+05   2.2e+06  3.2e+05      0 0     0         1.2      1.3       0     0      0.22     0     0.87     0    
   7.7e+06  2.0e+06   4.6e+06  8.1e+05   1.2e+07  2.2e+06      0 0     0         6.7      2.1        0     0     0.52      0    0.75      0   
   1.8e+08  4.8e+07   7.2e+08  1.3e+08   9.0e+08  1.4e+08     58.0     26.2    142.4     27.7    125.5    23.10   0.90   1.00   0.97   0.97  
   8.8e+07  2.3e+07   2.4e+08  4.3e+07   3.3e+08  4.8e+07     66.3     12.8    153.0     16.6    130.0    13.50   0.94   0.99   0.70   0.75  
   9.3e+06  2.5e+06   3.9e+07  7.6e+06   4.9e+07  8.0e+06      8.8     10.8      9.7      3.2      9.6     3.30   0.89   0.07   0.11   0.10  
   4.1e+07  2.6e+07   2.0e+08  1.2e+08   2.4e+08  1.3e+08     83.0     34.5    141.3     53.5    131.6    45.00   1.13   0.25   0.79   0.77  
   7.4e+08  2.0e+08   1.8e+09  3.0e+08   2.5e+09  3.6e+08    198.6    104.5    345.2     41.6    303.6    43.40   2.78   0.89   0.79   0.77  
   4.2e+07  2.7e+07   1.1e+08  7.0e+07   1.6e+08  7.5e+07     40.9     29.7     45.2     16.9     44.1    14.70   1.34   0.77   0.97   0.94  
   1.4e+08  6.0e+07   5.1e+08  1.3e+08   6.5e+08  1.4e+08     55.7     25.3    146.3     26.1    126.4    22.00   1.33   1.00   0.98   0.99  
   1.1e+09  4.0e+08   1.2e+09  1.9e+08   2.4e+09  4.5e+08    161.5     18.1    300.1     12.6    234.6    17.30   2.37   1.00   0.91   0.95  
   3.4e+08  1.2e+08   5.2e+08  8.0e+07   8.6e+08  1.5e+08     96.3     17.1    159.9      8.1    134.9    10.20   2.66   0.99   0.10   0.21  
