#Data from Obreschkow & Glazebrook (2014, ApJ...784...26O)
#stellar masses assume Kroupa IMF.
#Anlysis of angular momentum of THINGS galaxies.
#NGC       Type     beta    R   Rflat    V       Mb       Mstar     Mgas  MHI      MH2       jb     js   jgas jHI    jH2
628       Sc       0.04    2.3 0.8     217      10.27    10.1      9.8   9.7      9.0       3.07   2.98 3.23 3.28   2.98
925       SBcd     0.05    4.1 6.5     136      10.16    9.9       9.8   9.8      8.4       3.01   2.94 3.09 3.10   2.95
2403      SBc      0.02    1.6 1.7     134      9.91     9.7       9.5   9.5      7.3       2.85   2.62 3.04 3.08   2.61
2841      Sb       0.10    4.0 0.6     302      10.88    10.8      10.1  10.1     8.5       3.53   3.40 3.91 3.94   3.40
2976      Sc       0.00    0.9 1.2     92       9.18     9.1       8.4   8.3      7.8       2.05   2.03 2.11 2.21   1.93
3184      SBc      0.02    2.4 2.8     210      10.41    10.3      9.7   9.6      9.2       3.09   3.03 3.25 3.32   2.97
3198      SBc      0.03    3.2 2.8     150      10.41    10.1      10.1  10.1     8.8       3.24   2.97 3.45 3.49   3.02
3351      SBb      0.14    2.2 0.7     196      10.44    10.4      9.4   9.2      9.0       2.94   2.91 3.10 3.27   2.75
3521      SBbc     0.16    2.9 1.4     227      10.81    10.7      10.1  10.0     9.6       3.14   3.06 3.38 3.46   2.98
3627      SBb      0.22    2.8 1.2     192      10.62    10.6      9.4   9.0      9.1       2.84   2.84 2.82 2.93   2.77
4736      Sab      0.32    1.1 0.2     156      10.32    10.3      9.0   8.7      8.6       2.37   2.34 2.63 2.86   2.36
5055      Sbc      0.17    3.2 0.7     192      10.91    10.8      10.2  10.1     9.7       3.30   3.18 3.59 3.69   3.08
5194      SBc      0.09    2.8 0.8     219      10.66    10.6      9.8   9.5      9.4       3.19   3.18 3.25 3.12   3.36
6946      SBc      0.10    2.5 1.4     186      10.62    10.5      10.0  9.8      9.6       3.06   3.02 3.17 3.32   2.91
7331      SAb      0.16    3.3 1.3     244      10.99    10.9      10.2  10.1     9.7       3.38   3.35 3.52 3.59   3.30
7793      Scd      0.01    1.3 1.5     115      9.69     9.5       9.2   9.1      8.6       2.49   2.43 2.61 2.66   2.40
