#Mstar/Msun  re_bulge/kpc for bulges
#From Lange et al. (2016, MNRAS, 462, 1470)
#Stellar masses adopt a Chabrier IMF.
#Mstar/Msun  re_bulge/kpc
#90th percentile
117273144 0.343205 
169194784 0.367417 
275827872 0.402376 
406245344 0.445904 
676222976 0.517294 
995651520 0.553756 
1466267904 0.606621 
2248479232 0.649303 
3519508224 0.711167 
5848320512 0.678118 
7935963136 0.701386 
11447206912 0.733742 
17212971008 0.851463 
23405043712 1.10920 
29920311296 1.33309 
36030201856 1.84035 
56483766272 2.39645 
78372200448 3.08587 
113243766784 3.92759 
139056054272 4.94386 
181434499072 6.01038 
205222625280 6.90026 
171100241920 7.83785 
128693149696 7.66530 
98683994112 6.67945 
67010179072 6.09736 
48339337216 5.25314 
25200959488 4.79895 
17469196288 4.53472 
11863455744 4.18756 
7735554048 3.86742 
5251664384 3.44987 
3221079808 3.11401 
2323600128 2.68285 
1514792320 2.42124 
987316160 2.13531 
772875200 1.92609 
524704640 1.71814 
302876128 1.60575 
218598032 1.46556 
136815584 1.30763 
113800208 1.13919 
78869744 1.05192 
69699240 0.874944 
57956580 0.736314 
54438672 0.612330 
52152580 0.475144 
65129200 0.404032 
81401000 0.376775 
110334520 0.343264 
#68th percentile
110525824 0.417630 
146961376 0.431985 
216315616 0.446704 
265324080 0.495284 
415349824 0.548767 
541599808 0.622539 
901254080 0.697645 
1274758400 0.791248 
2163957248 0.846676 
3671539200 0.855212 
6106546176 0.904678 
10795190272 0.956838 
15584189440 1.09774 
21190334464 1.43003 
23011282944 1.62311 
27676448768 1.95108 
31961106432 2.34559 
37663268864 2.78737 
28368893952 3.20377 
18898984960 3.35894 
13108707328 3.40144 
9849679872 2.96415 
7403914752 2.70505 
5345884672 2.58547 
3415281408 2.36056 
2785006592 2.17871 
1640443136 2.01273 
985808192 1.79605 
697250432 1.65835 
402311040 1.47999 
232203008 1.36732 
151284352 1.15148 
116078248 1.07529 
89001616 0.926246 
74029600 0.806934 
70956952 0.663324 
66656720 0.558030 
75212008 0.485727 
83182912 0.437704 
110525824 0.417630 
#50th percentile
115217952 0.463262 
156298880 0.462861 
199584016 0.490001 
282268320 0.549371 
407447648 0.623044 
553512064 0.731603 
751249344 0.774367 
1128835328 0.828899 
1697064704 0.939950 
2655846656 1.00603 
3754205952 1.06471 
5990977536 1.03904 
10172014592 1.13778 
15293927424 1.30518 
15946446848 1.48158 
15967585280 1.72127 
18433929216 1.99893 
20435380224 2.34858 
14183051264 2.54873 
9443748864 2.52242 
7396373504 2.41035 
5021394944 2.15011 
3207323392 1.91831 
2134717952 1.81290 
1449702144 1.67411 
836728768 1.54666 
523743072 1.39600 
363056448 1.31914 
241592464 1.21822 
174384880 1.12476 
139383792 1.07473 
109087976 0.947315 
90764736 0.854347 
83599304 0.770281 
75411544 0.655603 
76866272 0.570823 
85012488 0.514387 
92148688 0.474376 
99945000 0.468827 
119999176 0.463209 
