#From Lange et al. (2016, MNRAS, 462, 1470)
#Stellar masses adopt a Chabrier IMF.
#stellar mass/Msun (re/kpc)
#90th percentile
108375944 0.677418 
180244656 0.750729 
230150608 0.832286 
367503168 0.911866 
552218496 1.04617 
846731520 1.17293 
1352607232 1.40888 
2204868352 1.65379 
3181238272 1.91941 
5081077248 2.22738 
7479763968 2.44063 
14060928000 3.03380 
22928721920 3.85963 
35167977472 4.63634 
46804484096 6.10716 
50811076608 7.33976 
42347462656 8.72356 
30590183424 8.82851 
21645856768 8.33938 
13019675648 8.15567 
9027420160 7.70404 
6519733248 7.44627 
3921327360 7.19900 
2004688384 7.12347 
1157511552 6.65380 
770602432 6.28570 
427044736 5.35563 
241552736 4.72318 
148191440 4.07026 
109151792 3.38780 
87216712 2.88502 
71070272 2.09152 
68193328 1.80125 
66763096 1.48150 
66722288 1.29057 
64008304 1.06150 
67964384 0.843368 
83231144 0.726071 
101963616 0.677476 
#68th percentile
112942360 0.777591 
166235040 0.823151 
270936256 0.933481 
460047744 1.13414 
813449728 1.33113 
1353641472 1.67407 
2345440256 1.98763 
3454264576 2.41537 
6493873664 3.03712 
9562439680 3.56558 
12211944448 4.09166 
15915860992 4.69523 
19120191488 5.20575 
18364905472 5.64237 
14388515840 5.57980 
10603936768 5.27036 
8308384256 5.27218 
6645843456 5.71585 
4336472576 5.71931 
2716428544 5.52906 
1772313344 5.40664 
1204440704 5.40960 
818396928 5.22906 
567420928 4.88302 
355295744 4.30577 
246300320 3.88451 
188981648 3.38516 
151057888 3.12438 
106851640 2.72306 
92616640 2.34548 
85326616 2.02008 
83541304 1.68070 
80163608 1.46418 
81776680 1.33548 
76898968 1.19053 
80020776 0.979106 
83299024 0.872713 
97980776 0.814351 
108442224 0.777635 
#50th percentile
132936880 0.842566 
169709712 0.892114 
260220480 1.00021 
398962432 1.09591 
509478656 1.24323 
637612992 1.45988 
797729280 1.60003 
1039417984 1.73347 
1327278592 1.94402 
1994703360 2.30860 
2652554752 2.53000 
3122144256 2.74140 
3750914560 3.07463 
4505395200 3.29337 
4071587840 3.61118 
4073040384 3.91383 
4244225280 4.39046 
3260167680 4.92727 
2660269568 4.87234 
2001320576 4.87431 
2001320576 4.87431 
1416511104 4.87670 
905592960 4.76886 
681138624 4.55634 
555690176 4.30304 
409528256 4.06440 
301749440 3.66644 
231573936 3.34550 
181387072 3.12357 
150996320 2.84982 
115868472 2.54125 
104594640 2.16373 
100386192 1.97371 
94379248 1.68041 
88749840 1.49802 
92390408 1.35069 
90457296 1.12376 
94134320 0.934881 
108503024 0.882475 
130254920 0.832958 
