#z = [0.02, 0.08]
#z = [0.08,0.14]
#z = [0.14,0.2]
#10^34 h70 W Mpc−3
#band wavelength (1) (2) (3) (1) (2) (3) (1) (2) (3)
 FUV  0.154 0.6 0.7 0.7 0.6 0.7 0.7 0.5 0.6 0.6
 NUV 0.230 0.7 0.7 0.7 0.8 0.8 0.8 0.6 0.7 0.8
 u 0.356 1.1 1.1 1.2 1.1 1.1 1.2 0.9 1.0 1.0
 g 0.470 2.5 2.8 2.7 2.6 2.8 2.8 2.0 2.4 2.4
 r 0.616 3.4 3.8 3.7 3.9 4.2 4.1 3.3 4.1 4.0
 i 0.749 3.9 4.1 4.2 4.5 4.6 4.8 4.0 4.7 4.9
 z 0.895 3.9 4.3 4.3 4.6 5.1 4.9 4.2 5.1 5.0
 Z 0.880 4.0 4.3 4.3 4.8 5.1 5.1 4.3 5.1 5.2
 Y 1.021 4.2 4.5 4.5 4.9 5.2 5.3 4.5 5.3 5.4
 J 1.253 3.9 4.2 4.2 4.7 5.2 5.0 4.4 5.6 5.3
 H 1.643 3.6 3.7 3.8 4.3 4.5 4.6 4.0 4.8 4.9
 K 2.150 2.5 2.6 2.7 3.3 3.5 3.6 3.4 4.1 4.2
 W1 3.370 0.8 0.9 0.9 1.1 1.2 1.2 1.1 1.4 1.3
 W2 4.620 0.4 0.4 0.4 0.5 0.6 0.6 0.6 0.7 0.7
 W3 12.10 0.3 0.4 0.4 0.5 0.6 0.5 0.5 0.7 0.6
 W4 22.80 0.4 0.4 0.5 0.6 0.5 0.7 0.6 0.5 1.0
 PACS100 101.0 2.0 2.3 2.7 2.8 3.2 4.0 3.1 3.8 5.3
 PACS160 161.0 1.4 1.5 1.9 2.2 2.2 3.0 2.4 2.7 4.1
 SPIRE250 249.0 0.5 0.6 0.6 0.8 1.0 0.9 0.9 1.3 1.2
 SPIRE350 357.0 0.2 0.2 0.3 0.3 0.4 0.5 0.4 0.5 0.6
 SPIRE500 504.0 0.1 0.1 0.1 0.1 0.1 0.3 0.2 0.1 0.4
#
#z=[0.45,0.56]
#z=[0.56,0.68]
#z=[0.68,0.82]
#z=[0.82,0.99]
#10^34 h70 W Mpc−3
#band wavelength (1) (2) (3) (1) (2) (3) (1) (2) (3) (1) (2) (3)
FUV      0.153 0.5 0.7 0.7 0.3 0.5 0.7 0.2 0.2 0.7 0.1 0.1 0.8
NUV      0.225 0.9 1.4 1.4 1.1 1.8 1.9 1.2 2.0 2.2 1.3 2.1 2.5
u∗       0.381 1.2 1.4 1.3 1.5 1.9 1.8 1.8 2.5 2.3 2.4 3.0 2.9
g+       0.478 1.4 1.8 1.6 1.7 2.2 2.1 1.9 2.5 2.4 2.6 2.8 3.0
r+       0.630 3.0 3.7 3.4 3.1 3.9 3.8 3.0 3.5 3.8 3.2 3.6 3.8
i+       0.768 4.0 4.7 4.5 4.6 5.8 5.6 4.9 6.4 6.2 5.6 6.5 6.6
z+       0.920 4.4 5.1 5.0 5.0 6.2 6.1 5.7 6.9 7.2 7.3 8.6 8.6
Y        1.021 4.4 5.2 5.0 5.1 6.4 6.1 5.4 7.3 6.8 7.0 8.8 8.3
J        1.252 4.4 5.5 5.0 5.1 6.7 6.3 5.9 7.5 7.4 8.0 9.2 9.5
H        1.643 4.3 5.6 4.9 5.1 7.1 6.3 5.8 7.9 7.3 7.7 9.7 9.1
K        2.150 4.0 4.9 4.6 5.1 6.3 6.2 5.8 7.6 7.3 8.1 10.1 9.6
IRAC1    3.560 1.8 2.5 2.1 2.8 3.8 3.4 3.7 5.1 4.6 6.2 7.6 7.3
IRAC2    4.510 1.1 1.5 1.3 1.6 2.0 1.9 2.0 2.6 2.5 3.6 4.5 4.3
IRAC3    5.760 0.6 1.0 1.0 0.9 1.4 1.7 1.1 1.8 2.1 1.8 2.5 3.0
IRAC4    7.960 0.5 0.7 0.9 0.5 0.7 1.1 0.6 0.9 1.3 1.0 1.4 1.9
MIPS24   23.68 0.5 0.7 1.0 0.5 0.8 1.5 0.6 1.0 1.9 1.0 1.5 2.7
MIPS70   71.42 0.8 4.7 16.8 0.7 6.2 27.9 0.9 7.8 36.6 1.3 9.4 47.1
PACS100  101.0 3.9 7.1 26.0 5.1 9.7 42.8 5.8 12.3 55.7 8.5 15.4 71.3
PACS160  161.0 3.8 7.2 28.2 5.2 10.1 47.0 6.3 13.0 61.6 9.5 17.5 79.3
SPIRE250 249.0 2.1 4.4 9.7 3.1 6.4 16.3 3.8 8.6 21.3 6.2 12.7 28.2
SPIRE350 357.0 0.7 2.1 7.8 1.2 3.2 13.3 1.4 4.3 17.4 2.6 6.8 22.9
SPIRE500 504.0 0.2 0.8 6.6 0.3 1.2 11.2 0.4 1.6 14.7 0.7 2.6 19.1
