# Gunawardhana et al. (2013)
# Densities phi in Mpc^-3 dex^-1.
# z<0.1
#  logL        log phi    Lower Error   Upper Error
   3.02e+01  -4.741e-01   2.0         3.010e-01
   3.06e+01  -7.781e-01   3.010e-01   1.761e-01
   3.10e+01  -8.362e-01   1.895e-01   1.315e-01
   3.14e+01  -1.189e+00   1.558e-01   1.144e-01
   3.18e+01  -1.426e+00   9.915e-02   8.067e-02
   3.22e+01  -1.340e+00   4.576e-02   4.139e-02
   3.26e+01  -1.249e+00   2.701e-02   2.543e-02
   3.30e+01  -1.467e+00   1.628e-02   1.569e-02
   3.34e+01  -1.565e+00   1.062e-02   1.037e-02
   3.38e+01  -1.778e+00   9.804e-03   9.588e-03
   3.42e+01  -2.114e+00   1.085e-02   1.058e-02
   3.46e+01  -2.466e+00   1.430e-02   1.385e-02
   3.50e+01  -2.980e+00   2.422e-02   2.294e-02
   3.54e+01  -3.690e+00   5.899e-02   5.192e-02
   3.58e+01  -4.542e+00   1.558e-01   1.144e-01
#  0.1<z<0.15
   3.35e+01  -2.260e+00   1.890e-02   1.810e-02
   3.39e+01  -2.202e+00   8.713e-03   8.541e-03
   3.43e+01  -2.262e+00   7.916e-03   7.775e-03
   3.47e+01  -2.477e+00   9.100e-03   8.913e-03
   3.51e+01  -2.917e+00   1.375e-02   1.333e-02
   3.55e+01  -3.613e+00   3.160e-02   2.946e-02
   3.59e+01  -4.549e+00   9.915e-02   8.067e-02
   3.63e+01  -5.389e+00   3.010e-01   1.761e-01
   3.67e+01  -5.999e+00   2.0         3.010e-01
#  0.17<z0.24
   3.39e+01  -2.960e+00   2.046e-02   1.954e-02
   3.43e+01  -2.551e+00   8.923e-03   8.743e-03
   3.47e+01  -2.563e+00   7.342e-03   7.219e-03
   3.51e+01  -2.886e+00   8.824e-03   8.648e-03
   3.55e+01  -3.484e+00   1.536e-02   1.484e-02
   3.59e+01  -4.291e+00   4.460e-02   4.044e-02
   3.63e+01  -5.327e+00   1.411e-01   1.063e-01
   3.67e+01  -5.776e+00   2.574e-01   1.605e-01
   3.71e+01  -5.893e+00   3.010e-01   1.761e-01
#  0.24<z<0.34
   3.39e+01  -4.731e+00   3.010e-01   1.761e-01
   3.43e+01  -3.375e+00   2.124e-02   2.025e-02
   3.47e+01  -2.870e+00   8.714e-03   8.543e-03
   3.51e+01  -2.927e+00   7.846e-03   7.706e-03
   3.55e+01  -3.507e+00   1.168e-02   1.138e-02
   3.59e+01  -4.397e+00   2.843e-02   2.669e-02
   3.63e+01  -5.267e+00   8.307e-02   6.970e-02
   3.67e+01  -5.663e+00   1.761e-01   1.249e-01
   3.71e+01  -6.276e+00   3.010e-01   1.761e-01
   3.75e+01  -6.428e+00   3.740e-01   1.979e-01
