H-alpha Luminosity Function from Ly et al (2007)

Dust extinction correction: yes
H0=      70.0000
Omega_M=     0.300000
Omega_Lambda=     0.700000
<z>=     0.400000
[min(z),max(z)]     0.390000     0.410000
##########
Log(L(Halpha) [erg s^-1])    dn/dLog(L)        Error
      39.6000    0.0295121   0.00437232
      40.0000    0.0151356   0.00184683
      40.4000    0.0131826   0.00127183
      40.8000    0.0104713  0.000748898
      41.2000   0.00831764   0.00168236
      41.6000   0.00288403  0.000831320
      42.0000   0.00123027  0.000507532
