#From David Sobral.
#Phi is in units of Mpc^-3 dex^-1.
#
# Bin_LogL_unc   Bin_LogL_corr   Delta_Bin   N_sources   Poiss_err   Obs_Phi   err_obs_phi   Corr_Phi   err_corr_phi   Volume_top_hat
41.60   42.00   0.075         8   2        -2.18   0.19        -1.93   0.19     7989
41.75   42.15   0.075         11   3        -2.34   0.16        -2.07   0.16     15979
41.90   42.30   0.05         47   7        -2.24   0.07        -2.19   0.07     67000
42.00   42.40   0.05         91   9        -2.36   0.05        -2.31   0.05     209005
42.10   42.50   0.05         107   10        -2.48   0.04        -2.41   0.05     326701
42.20   42.60   0.05         158   12        -2.60   0.04        -2.50   0.04     633453
42.30   42.70   0.05         163   12        -2.68   0.04        -2.59   0.05     772174
42.40   42.80   0.05         100   10        -2.89   0.05        -2.73   0.06     772174
42.50   42.90   0.05         51   7        -3.18   0.07        -2.88   0.14     772174
42.60   43.00   0.05         30   5        -3.41   0.09        -3.09   0.17     772174
42.70   43.10   0.05         16   4        -3.68   0.12        -3.33   0.22     772174
42.80   43.20   0.05         7   2        -4.04   0.21        -3.67   0.31     772174
42.90   43.30   0.05         3   1        -4.41   0.37        -4.01   0.51     772174
43.00   43.40   0.05         2   1        -4.59   0.53        -4.22   0.68     772174
43.20   43.60   0.10         3   1        -4.41   0.37        -4.63   0.41     772174
