#160 microns luminosity function taken from Marchetti et al. (2016)  Fig. 14
#0.02<z<0.2
#
#"log(phi/Mpc^-3 dex^-1)(log(160 microns[W/hz]))  created by Plot Digitizer  2.6.6"
#"Date: 5/17/18  9:22:47 PM"
#
#
#66
#log(160 microns[W/hz]) log(phi/Mpc^-3 dex^-1)
#Marchetti et al. (2016)
#dm = 0.15
22.9512 -2.01651 -2.16592 -1.89431 
23.1279 -1.92091 -2.00245 -1.85304 
23.2560 -2.16497 -2.21917 -2.05627 
23.4426 -2.09651 -2.19151 -2.05574 
23.5999 -2.15035 -2.16387 -2.09594 
23.7767 -2.12266 -2.17695 -2.09547 
23.9634 -2.12210 -2.17642 -2.12207 
24.1209 -2.32533 -2.33885 -2.27098 
24.2782 -2.37917 -2.43347 -2.35195 
24.4258 -2.50095 -2.55512 -2.47370 
24.6423 -2.74475 -2.79910 -2.69039 
24.8001 -3.11094 -3.16526 -3.08375 
24.9679 -3.61291 -3.68084 -3.53142 
25.1359 -4.19636 -4.30500 -4.12848 
25.3036 -4.61684 -4.77987 -4.50820 
#Patel et al. (2013)
#dm = 0.4
23.0785 -1.71736 -2.53223 -1.45933 
23.4930 -2.87044 -3.12849 -2.66676 
23.8855 -2.57048 -2.71990 -2.42119 
24.2885 -2.65075 -2.73223 -2.54208 
24.6723 -3.08416 -3.17914 -3.02978 
25.0960 -3.85697 -4.03357 -3.70761 
25.5008 -5.05082 -5.58045 -4.81992 
