#24 microns luminosity function taken from Marchetti et al. (2016)  Fig. 14
#0.02<z<0.1
#"log(phi Mpc^-3 dex^-1)(log(24 microns[W/Hz]))  created by Plot Digitizer  2.6.6"
#"Date: 5/17/18  9:11:50 PM"
#
#
#87
#log(24 microns[W/Hz]) log(phi Mpc^-3 dex^-1)
#Marchetti et al. (2016)
#dm = 0.15
21.5164 -2.15433 -2.26294 -2.01849 
21.6709 -2.31776 -2.42644 -2.19554 
21.8357 -2.08740 -2.18246 -2.00592 
22.0098 -2.15583 -2.22373 -2.06074 
22.1644 -2.27853 -2.37362 -2.23785 
22.3483 -2.18403 -2.23826 -2.15684 
22.4932 -2.32027 -2.38820 -2.26601 
22.6575 -2.44300 -2.52451 -2.41584 
22.8314 -2.56575 -2.68795 -2.44350 
22.9859 -2.78351 -2.86499 -2.71564 
23.1500 -3.01488 -3.08278 -2.94700 
23.3141 -3.24624 -3.35489 -3.19195 
23.4778 -3.70848 -3.92579 -3.57264 
23.6326 -3.68179 -3.85836 -3.55954 
#Marleau et al. (2007)
#dm = 0.4
21.5170 -1.74692 -2.05929 -1.57034 
21.9133 -1.99257 -2.06048 -1.87032 
22.2904 -2.10237 -2.19743 -2.03447 
22.6867 -2.33444 -2.41598 -2.21222 
23.0634 -2.71584 -2.75661 -2.62084 
23.4881 -3.27394 -3.35539 -3.20603 
23.8641 -4.15781 -4.26654 -4.03564 
24.2593 -5.04174 -5.20476 -4.87878 
24.6740 -5.89857 -6.22450 -5.58619 
#Rodighiero et al. (2010)
21.7779 -1.99216 -2.11432 -1.84272 
22.2322 -2.22441 -2.27876 -2.04787 
22.7346 -2.64694 -2.74203 -2.48395 
23.2372 -2.87934 -2.98798 -2.77064 
23.7295 -3.57344 -3.77715 -3.39687 
24.2216 -4.40335 -4.75643 -4.00949 
