#0.02<z<0.1
#"log(phi Mpc^-3 dex^-1)(log(250 microns[W/Hz]))  created by Plot Digitizer  2.6.6"
#"Date: 5/17/18  9:44:42 PM"
#
#
#39
#log(250 microns[W/Hz]) log(phi Mpc^-3 dex^-1)
#Marchetti et al. (2016)
#dm = 0.15
22.6512 -2.12053 -2.28723 -1.98420 
22.8172 -1.95314 -2.08958 -1.87742 
23.0011 -2.08871 -2.17966 -2.01303 
23.1499 -2.07292 -2.13348 -1.99708 
23.3250 -2.16307 -2.25398 -2.10254 
23.5000 -2.16231 -2.22299 -2.10174 
23.6399 -2.11625 -2.16167 -2.10102 
23.8151 -2.25186 -2.31246 -2.22152 
23.9905 -2.49352 -2.56928 -2.46322 
24.1570 -2.70492 -2.79576 -2.64432 
24.3151 -3.12848 -3.21936 -3.06784 
24.4995 -3.53678 -3.68826 -3.43076 
24.6489 -4.03614 -4.33920 -3.86951 
