#500 microns luminosity function taken from Marchetti et al. (2016), Fig. 14
#0.02<z<0.1
#"log(phi Mpc^-3 dex^-1)(log(500 microns[W/Hz]))  created by Plot Digitizer  2.6.6"
#"Date: 5/17/18  9:36:19 PM"
#
#
#63
#log(500 microns[W/Hz]) log(phi Mpc^-3 dex^-1)
#Marchetti et al. (2016)
#dm = 0.2
22.0660 -2.04167 -2.16071 -1.92262 
22.2362 -1.96726 -2.02679 -1.86310 
22.4170 -2.14583 -2.19048 -2.08631 
22.5766 -2.14583 -2.20536 -2.08631 
22.7255 -2.07143 -2.11607 -2.02679 
22.8957 -2.14583 -2.17560 -2.11607 
23.0660 -2.20536 -2.25000 -2.19048 
23.2255 -2.47321 -2.56250 -2.44345 
23.4170 -2.62202 -2.66667 -2.57738 
23.5660 -3.03869 -3.12798 -3.00893 
23.7255 -3.64881 -3.79762 -3.55952 
23.9064 -3.73810 -3.94643 -3.57440 
#Negrello et al. (2013)
#dm = 0.3
21.9064 -1.46131 -1.66964 -1.32738 
22.2043 -1.71429 -1.90774 -1.59524 
22.5128 -1.93750 -2.04167 -1.89286 
22.8000 -2.04167 -2.10119 -1.98214 
23.0979 -2.32440 -2.38393 -2.25000 
23.4277 -2.87500 -2.93452 -2.80060 
23.7149 -3.64881 -3.79762 -3.66369 
24.0128 -4.58631 -4.80952 -4.45238 
24.3213 -5.73214 -5.98512 -5.46429 
