#MUV Phi(e-4) DPhi(e-4)
-26.250000 0.000779 0.000312
-25.250000 0.001248 0.000395
-24.250000 0.003998 0.000698
-23.625000 0.003814 0.001368
-23.375000 0.007518 0.001934
-23.125000 0.010085 0.002234
-22.875000 0.017880 0.003007
-22.625000 0.058422 0.005385
-22.375000 0.134275 0.008168
-22.125000 0.279290 0.011739
-21.875000 0.620395 0.017471
-21.625000 1.288814 0.025040
-21.375000 2.457250 0.034234
-21.125000 3.947743 0.042811
-20.875000 5.975566 0.060299
-20.625000 8.272593 0.069875
-20.375000 11.279287 0.079628
-20.125000 15.581880 0.100776
