# 250mu LF at 0<z<2 from Eales etal 2010 (A&A 518, L23) (HERMES SDP)
# datapoints measured off Fig.4 by CGL
#
# mixture of spec & photo-z
# 
# assume H0=72, Omega=0.28, Lambda=0.72
#
# L250 is Lnu(250mu) in units W Hz^-1
# phi = dn/dlog10(L) in Mpc^-3 dex^-1, errors on phi in same units
# errors include Poiison noise, photom errors & false ID rate
#
# L250		phi		err
#
# 0<z<0.2
6.522E+22 3.864E-03 3.864E-03
1.430E+23 8.613E-03 3.303E-03
3.135E+23 4.891E-03 1.338E-03
6.579E+23 6.491E-03 1.051E-03
1.442E+24 2.194E-03 3.553E-04
3.162E+24 6.440E-04 1.043E-04
6.637E+24 7.716E-05 2.959E-05
3.054E+25 1.227E-05 1.227E-05
#
# 0.2<z<0.4
1.442E+24 7.077E-04 5.192E-04
3.162E+24 9.391E-04 1.700E-04
6.933E+24 2.392E-04 4.061E-05
1.455E+25 7.021E-05 1.137E-05
#
# 0.4<z<0.8
3.303E+24 2.093E-03 1.084E-03
6.933E+24 5.590E-04 1.167E-04
1.520E+25 1.981E-04 3.586E-05
3.190E+25 3.629E-05 1.392E-05
6.994E+25 5.250E-06 5.250E-06
#
# 0.8<z<1.2
6.933E+24 8.216E-03 3.303E-03
1.520E+25 5.087E-04 1.211E-04
3.190E+25 1.720E-04 2.441E-05
6.994E+25 3.987E-05 1.091E-05
#
# 1.2<z<1.6
1.520E+25 1.905E-03 1.333E-03
3.332E+25 1.424E-04 5.006E-05
6.994E+25 5.814E-05 1.384E-05
1.533E+26 6.966E-06 3.834E-06
#
# 1.6<z<2.0
3.332E+25 4.019E-04 4.019E-04
6.994E+25 8.479E-05 3.102E-05
1.533E+26 2.374E-05 7.610E-06
3.361E+26 2.143E-06 2.143E-06
