# K-band LF at z=1-3 from Caputi etal (2006, MN 366, 609)
# 1/Vmax LFs from Fig.6 (data in email from Caputi 24/7/08)
#
# based on sample of 2905 gals in in GOODS/CDFS field with K(Vega)<21.5
# BVIzJHK & SPITZER 3.6, 4.5mu photom
# 24% spec-z, 22% COMBO17 photo-z, 55% HYPERZ/BPZ photo-z
# rest-frame K mags by k-correcting from closest band using best-fit SED
#
# Vega mags
# assume Omega=0.3, Lambda=0.7, H0=70
#
# phi is dn/dMag in Mpc^-3 mag^-1
#
# 	   M_K		log10(phi)	err_up		err_dn
# z=1.0 (0.75<z<1.25)
          -26.25       -4.3845153       0.19792814        0.3740194
          -25.75       -3.4144785       0.07517537       0.09096963
          -25.25       -3.2804837       0.06519338        0.0767383
          -24.75        -3.015052       0.06069784       0.07058108
          -24.25       -2.8800897       0.06069784       0.07058108
          -23.75       -2.8234285       0.06069784       0.07058108
          -23.25       -2.6283013       0.06069784       0.07058108
          -22.75       -2.5924253       0.06069784       0.07058108
          -22.25       -2.5229321       0.06069784       0.07058108
# z=1.5 (1.25<z<1.75)
          -26.25       -4.3836555       0.17609126          0.30103
          -25.75       -3.5348508       0.07488132       0.09053891
          -25.25       -3.3666221       0.06259831       0.07316561
          -24.75       -3.2038165       0.06069784       0.07058108
          -24.25       -2.9855088       0.06069784       0.07058108
          -23.75       -2.8759971       0.06069784       0.07058108
# z=2.0 (1.75<z<2.25)
          -26.75       -5.0294376          0.30103       0.76195389
          -26.25       -4.1843396       0.13923802       0.20618481
          -25.75       -3.6211977       0.07832715         0.095632
          -25.25       -3.4984699        0.0687792       0.08175968
          -24.75       -3.4088422       0.06249757       0.07302793
          -24.25       -3.3134952       0.06069784       0.07058108
# z=2.5 (2.0<z<3.0)
          -26.75       -4.6965495       0.16969718       0.28239391
          -26.25       -4.1511619       0.09869742        0.1279342
          -25.75       -3.9919833       0.08365655       0.10371064
          -25.25       -3.6124474       0.06069784       0.07058108





