# K-band LF at z=0.5-3 from Cirasuolo etal (2010, MN 401, 1166)
# 1/Vmax LFs from Fig.8 (data in email from Michele Cirasuolo 12/4/2011)
#
# based on sample of 50,000 gals in 0.7 deg^2 of UKIDSS UDS/SXDS field with K(AB)<23
# # BVIzJHK + ugriz + SPITZER 3.6,4.5mu + GALEX FUV,NUV photom
# photo-z's from HYPERZ
# rest-frame K mags by k-correcting from closest band using best-fit SED
# involves extrapolating to longer wavelengths from obs fluxes for z>1
#
# Vega mags used below (AB= Vega+1.9)
# assume Omega=0.3, Lambda=0.7, H0=70
#
# phi is dn/dMag in Mpc^-3 mag^-1
# errors are on log10(phi)
#
# M_K(lo) M_K(up) log10(phi) err_up    err_dn
#
# z=0.5 (0.25<z<0.75)
-20.00 -20.50    -2.2426    0.0191    0.0157 0.5
-20.50 -21.00    -2.3398    0.0182    0.0127 0.5
-21.00 -21.50    -2.4383    0.0233    0.0107 0.5
-21.50 -22.00    -2.5065    0.0122    0.0104 0.5
-22.00 -22.50    -2.5729    0.0114    0.0112 0.5
-22.50 -23.00    -2.6406    0.0256    0.0123 0.5
-23.00 -23.50    -2.6913    0.0148    0.0129 0.5
-23.50 -24.00    -2.7187    0.0241    0.0134 0.5
-24.00 -24.50    -2.7966    0.0252    0.0147 0.5
-24.50 -25.00    -2.9616    0.0243    0.0178 0.5
-25.00 -25.50    -3.2043    0.0719    0.0251 0.5
-25.50 -26.00    -3.7276    0.1663    0.0553 0.5
-26.00 -26.50    -4.4620    0.2591    0.2279 0.5
-26.50 -27.00    -5.2859    0.1979    0.3740 0.5
#
# z=1.0 (0.75<z<1.25)  
-21.50 -22.00    -2.5340    0.0767    0.0175 1.0
-22.00 -22.50    -2.5987    0.0119    0.0104 1.0
-22.50 -23.00    -2.6965    0.0125    0.0089 1.0
-23.00 -23.50    -2.7824    0.0151    0.0096 1.0
-23.50 -24.00    -2.8636    0.0230    0.0106 1.0
-24.00 -24.50    -2.9208    0.0121    0.0112 1.0
-24.50 -25.00    -3.0345    0.0170    0.0128 1.0
-25.00 -25.50    -3.2677    0.0251    0.0169 1.0
-25.50 -26.00    -3.6412    0.0638    0.0274 1.0
-26.00 -26.50    -4.2448    0.1804    0.0693 1.0
-26.50 -27.00    -5.3736    0.2942    0.3740 1.0
-27.00 -27.50    -5.8129    0.2323    0.5333 1.0
#  
# z=1.5 (1.25<z<1.75) 
-22.50 -23.00    -2.8555    0.0741    0.0205 1.5
-23.00 -23.50    -2.8454    0.0282    0.0111 1.5
-23.50 -24.00    -2.9030    0.0168    0.0098 1.5
-24.00 -24.50    -2.9990    0.0116    0.0106 1.5
-24.50 -25.00    -3.0823    0.0256    0.0118 1.5
-25.00 -25.50    -3.2510    0.0211    0.0143 1.5
-25.50 -26.00    -3.5002    0.0593    0.0201 1.5
-26.00 -26.50    -4.0764    0.0809    0.0402 1.5
-26.50 -27.00    -4.7984    0.0830    0.0928 1.5
-27.00 -27.50    -6.2378    0.3010   12.0000 1.5
#  
# z=2.0 (1.75<z<2.25)  
-23.50 -24.00    -3.1328    0.0623    0.0185 2.0
-24.00 -24.50    -3.1725    0.0380    0.0143 2.0
-24.50 -25.00    -3.3377    0.0243    0.0154 2.0
-25.00 -25.50    -3.5054    0.0217    0.0182 2.0
-25.50 -26.00    -3.7682    0.0286    0.0249 2.0
-26.00 -26.50    -4.1543    0.0774    0.0416 2.0
-26.50 -27.00    -4.8043    0.1111    0.0928 2.0
-27.00 -27.50    -5.7374    0.3154    0.5333 2.0
-27.50 -28.00    -5.9804    0.3740    0.7230 2.0
#  
# z=2.5 (2.25<z<2.75)  
-24.00 -24.50    -3.3416    0.1122    0.0240 2.5
-24.50 -25.00    -3.4269    0.0223    0.0187 2.5
-25.00 -25.50    -3.6320    0.0298    0.0219 2.5
-25.50 -26.00    -3.8746    0.0396    0.0286 2.5
-26.00 -26.50    -4.2372    0.0465    0.0433 2.5
-26.50 -27.00    -4.9480    0.1347    0.1132 2.5
-27.00 -27.50    -5.4454    0.2341    0.2574 2.5
#  
# z=3.0 (2.75<z<3.25)  
-24.50 -25.00    -3.6648    0.1210    0.0318 3.0
-25.00 -25.50    -3.7775    0.1117    0.0318 3.0
-25.50 -26.00    -4.1075    0.0462    0.0381 3.0
-26.00 -26.50    -4.4451    0.0719    0.0575 3.0
-26.50 -27.00    -5.0270    0.2060    0.1479 3.0
-27.00 -27.50    -5.4078    0.2442    0.2574 3.0
-27.50 -28.00    -6.2829    0.3010    0.3740 3.0
