# rest-frame K-band LF from MUNICS survey (Drory etal 2003, astro-ph/0306299)
# photometric redshifts for 5000 galaxies
# data as in Fig.10 (email from Drory 1/12/03)
#
# assumes Omega0=0.3, Lambda0=0.7, H0=100
#       magnitudes are MK - 5 log h
#       lf is in h^3 Mpc^-3 mag^-1
#
# z     MK     lf         dlf
# z=0.5 (0.4<z<0.6) (lines 11-22)
0.500  -26.75  0.000e+00  0.000e+00
0.500  -26.25  2.958e-05  2.958e-05
0.500  -25.75  5.915e-05  4.183e-05
0.500  -25.25  1.779e-04  7.262e-05
0.500  -24.75  5.943e-04  1.329e-04
0.500  -24.25  1.850e-03  2.349e-04
0.500  -23.75  3.195e-03  3.089e-04
0.500  -23.25  4.709e-03  3.758e-04
0.500  -22.75  5.357e-03  4.015e-04
0.500  -22.25  6.390e-03  4.474e-04
0.500  -21.75  1.332e-02  1.050e-03
0.500  -21.25  1.244e-02  1.457e-03
# z=0.7 (0.6<z<0.8) (lines 24-32)				   
0.700  -26.75  0.000e+00  0.000e+00
0.700  -26.25  1.897e-05  1.897e-05
0.700  -25.75  3.798e-05  2.686e-05
0.700  -25.25  1.909e-04  6.037e-05
0.700  -24.75  5.749e-04  1.050e-04
0.700  -24.25  1.346e-03  1.608e-04
0.700  -23.75  2.624e-03  2.250e-04
0.700  -23.25  3.449e-03  2.585e-04
0.700  -22.75  5.017e-03  3.446e-04
# z=0.9 (0.8<z<1.0) (lines 34-41)				   
0.900  -26.75  0.000e+00  0.000e+00
0.900  -26.25  0.000e+00  0.000e+00
0.900  -25.75  4.364e-05  2.519e-05
0.900  -25.25  2.038e-04  5.445e-05
0.900  -24.75  8.036e-04  1.084e-04
0.900  -24.25  1.473e-03  1.473e-04
0.900  -23.75  2.276e-03  1.884e-04
0.900  -23.25  4.426e-03  4.074e-04
# z=1.1 (1.0<z<1.2) (lines 43-49)				   
1.100  -26.75  0.000e+00  0.000e+00
1.100  -26.25  3.642e-05  2.102e-05
1.100  -25.75  6.104e-05  2.730e-05
1.100  -25.25  2.687e-04  5.728e-05
1.100  -24.75  8.001e-04  9.923e-05
1.100  -24.25  1.592e-03  1.453e-04
1.100  -23.75  3.102e-03  2.905e-04




